location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"""""",narrator_3cf4a301,,,,,,
"""""",narrator_f2dbf16d,,,,,,
"A """"",A_8f70a9b9,,,,,,
"Q """"",Q_bc96a1a8,,,,,,
"""""",narrator_4c40851f,,,,,,
"Q """"",Q_b47f6fd4,,,,,,
"Q """"",Q_f3f1fcdd,,,,,,
"A """"",A_021c6799,,,,,,
"""""",narrator_8628294b,,,,,,
"Q """"",Q_f4ade5ac,,,,,,
"A """"",A_1ce089a8,,,,,,
"Q """"",Q_37eadd2d,,,,,,
"A """"",A_f75d236b,,,,,,
"A """"",A_4d9de1d5,,,,,,
"Q """"",Q_f2373a50,,,,,,
"A """"",A_32af0107,,,,,,
"A """"",A_fdb5deff,,,,,,
"Q """"",Q_49f1b459,,,,,,
"Q """"",Q_5dcb27fe,,,,,,
"Q """"",Q_9d35665d,,,,,,
"""""",narrator_029928ed,,,,,,
"Q """"",Q_b8f9b005,,,,,,
"Q """"",Q_fb4d266c,,,,,,
"A """"",A_4f8f863e,,,,,,
"Q """"",Q_9e8e5aaa,,,,,,
"""""",narrator_38ffe79e,,,,,,
"A """"",A_de4eee89,,,,,,
"Q """"",Q_717c43a9,,,,,,
"""""",narrator_a71dc04d,,,,,,
"Q """"",Q_0bc28cc0,,,,,,
"""""",narrator_9e5ffa26,* Splash* * * Slurp * * Splash*,,,,,
"A """"",A_751ef829,,,,,,
"Q """"",Q_23e1563c,,,,,,
"""""",narrator_51bd9fb6,,,,,,
"""""",narrator_62850c9a,,,,,,
"Q """"",Q_dadcd127,,,,,,
"Q """"",Q_89aedcc3,,,,,,
"A """"",A_171808c8,,,,,,
"""""",narrator_7e13ad0e,,,,,,
"A """"",A_bde12114,,,,,,
"""""",narrator_c6eafd83,,,,,,
"Q """"",Q_a7ad0729,,,,,,
"A """"",A_31acf5b5,,,,,,
"Q """"",Q_a355fc83,,,,,,
"Q """"",Q_fc30f169,,,,,,
"Q """"",Q_56960ca0,,,,,,
"""""",narrator_5f5e10b8,* Slurp * * Slurp * * Slurp*,,,,,
"A """"",A_d13b85e4,Una schifezza...,,,,,
"""""",narrator_a09a6064,,,,,,
"""""",narrator_b0baf4c9,,,,,,
"Q """"",Q_db8e315b,,,,,,
"A """"",A_63b5182b,,,,,,
"Q """"",Q_003d16f8,,,,,,
"""""",narrator_a7d048d8,* Slurp * * Slurp * * Slurp*,,,,,
"""""",narrator_5368ec5f,,,,,,
"Q """"",Q_43b8e35f,,,,,,
"""""",narrator_88a646a4,,,,,,
"Q """"",Q_fc258378,,,,,,
"""""",narrator_24b07c0c,,,,,,
"Q """"",Q_ff2bae82,,,,,,
"""""",narrator_8cd8b0a7,,,,,,
"A """"",A_a6215162,,,,,,
"A """"",A_9ad3894f,,,,,,
"Q """"",Q_b887031b,,,,,,
"""""",narrator_b7c25340,,,,,,
"Q """"",Q_1490f52c,,,,,,
"A """"",A_e5586deb,Non...,,,,,
"Q """"",Q_7ba3daf6,,,,,,
"""""",narrator_df07528e,,,,,,
"A """"",A_d4357dd5,,,,,,
"A """"",A_bd6b42f7,,,,,,
"Q """"",Q_49066c1a,,,,,,
"Q """"",Q_851a238b,,,,,,
"""""",narrator_520e3616,,,,,,
"""""",narrator_bd68848a,,,,,,
"Q """"",Q_b266e2fd,,,,,,
"""""",narrator_d21b396e,,,,,,
"""""",narrator_b55b4c9d,,,,,,
"Q """"",Q_d9df3ce3,,,,,,
"""""",narrator_dc4aebf8,,,,,,
"A """"",A_5a668a8b,,,,,,
"""""",narrator_8ac650e3,,,,,,
"Q """"",Q_bb086d3b,,,,,,
"Q """"",Q_52a4492d,,,,,,
"A """"",A_72383250,,,,,,
"""""",narrator_d21b396e_1,,,,,,
"""""",narrator_8ecdd469,,,,,,
"""""",narrator_8a278a2a,,,,,,
"""""",narrator_85728e4b,,,,,,
"A """"",A_b33eebde,,,,,,
"Q """"",Q_c5879dc0,,,,,,
"""""",narrator_a8be08f1,,,,,,
"A """"",A_c53d4663,,,,,,
"A """"",A_8d674c59,,,,,,
"""""",narrator_f38a4be6,,,,,,
"""""",narrator_f38a4be6_1,,,,,,
"""""",narrator_f38a4be6_2,,,,,,
"A """"",A_c80f918a,,,,,,
"""""",narrator_c050dc5a,,,,,,
"Q """"",Q_f9d57fb4,,,,,,
"A """"",A_d2c1d9a4,,,,,,
