"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"""""","narrator_K5X5oAjA","","","","","",""
"S """"","S_Ksg5BuSC","","","","","",""
"""""","narrator_UMfuLgcK","","","","","",""
"S """"","S_64MCR5vf","","","","","",""
"""""","narrator_XqqeMauT","","","","","",""
"S """"","S_dHEPwcca","","","","","",""
"""""","narrator_PqBNNck6","","","","","",""
"""""","narrator_Z8gT4PNj","","","","","",""
"""""","narrator_jvYVFzwQ","","","","","",""
"S """"","S_YQRjughy","","","","","",""
"""""","narrator_47Ce8v3B","","","","","",""
"""""","narrator_EVbGn2YM","","","","","",""
"""""","narrator_i2Vnvv5p","","","","","",""
"S """"","S_iSaoydPG","","","","","",""
"S """"","S_EajBgTih","","","","","",""
"""""","narrator_6tDRvcv6","","","","","",""
"S """"","S_ms3eVxEt","","","","","",""
"S """"","S_dBoijBmC","","","","","",""
"""""","narrator_CtZiTa2H","","","","","",""
"S """"","S_rddHwPeD","","","","","",""
"S """"","S_HnePsXQU","","","","","",""
"S """"","S_4gGX9MXm","","","","","",""
"S """"","S_hwmhss6e","","","","","",""
"S """"","S_6oe5UoSB","","","","","",""
"""""","narrator_jKHFegUs","","","","","",""
"S """"","S_Tp7RUWjm","","","","","",""
"S """"","S_g3HozMNv","","","","","",""
"""""","narrator_SjsG2DAM","","","","","",""
"S """"","S_9XLf2MwA","","","","","",""
"""""","narrator_DLcnPCVS","","","","","",""
"""""","narrator_MEUVSeDG","","","","","",""
"""""","narrator_XHe7YJv6","","","","","",""
"""""","narrator_PATh2s8L","","","","","",""
"""""","narrator_7aFZiPor","","","","","",""
"S """"","S_iDcup4W7","","","","","",""
"""""","narrator_EkfdoffQ","","","","","",""
"S """"","S_CgkbPL3z","","","","","",""
"S """"","S_YiZESXDP","","","","","",""
"S """"","S_EvQipfT4","","","","","",""
"S """"","S_HiwPQsd9","","","","","",""
"S """"","S_LZAtxjhk","","","","","",""
"""""","narrator_scRaLUYu","","","","","",""
"""""","narrator_ijDZhR75","","","","","",""
"""""","narrator_A9dF4QVf","","","","","",""
"""""","narrator_bhru9QGZ","","","","","",""
"S """"","S_7wttuKDt","","","","","",""
"""""","narrator_83PZoZEm","","","","","",""
"S """"","S_kHb7XLuJ","","","","","",""
"""""","narrator_ECh6atSz","","","","","",""
"S """"","S_FvWJx4v5","","","","","",""
"S """"","S_mc6JETmK","","","","","",""
"""""","narrator_3mEm4Dav","","","","","",""
"S """"","S_nURRGF94","","","","","",""
"S """"","S_W78nxz9k","","","","","",""
"""""","narrator_kBhhGsPy","","","","","",""
"S """"","S_CS89RqQe","","","","","",""
"S """"","S_PCNpfqjE","","","","","",""
"""""","narrator_g3fUBSwJ","","","","","",""
"S """"","S_sYF4pD7h","","","","","",""
"S """"","S_9MBst25F","","","","","",""
"""""","narrator_FUmVSN85","","","","","",""
"S """"","S_sAQXWXxs","","","","","",""
"S """"","S_ES4gzbAp","","","","","",""
"S """"","S_YdPZJnDc","","","","","",""
"S """"","S_9EBpJbxV","","","","","",""
"S """"","S_iojRbqLo","","","","","",""
"""""","narrator_p7uCwDVF","","","","","",""
"""""","narrator_tCCyeiHW","","","","","",""
"S """"","S_mNuUXJ7w","","","","","",""
"S """"","S_LodsEXgz","","","","","",""
"""""","narrator_NLavSqxA","","","","","",""
"S """"","S_Fv9soQvK","","","","","",""
"""""","narrator_gS64RfjV","","","","","",""
"""""","narrator_6NEwh2SH","","","","","",""
"S """"","S_jTiNvh8r","","","","","",""
"""""","narrator_XU4Y5HBK","","","","","",""
"S """"","S_oUA7ZyKX","","","","","",""
"""""","narrator_NMkUy4Ej","","","","","",""
"""""","narrator_ZS7VvcNc","","","","","",""
"S """"","S_mVrUauML","","","","","",""
"S """"","S_nfgmQup7","","","","","",""
"S """"","S_8HghbZNN","","","","","",""
"""""","narrator_H7jCKjso","","","","","",""
"S """"","S_XERbNrZ5","","","","","",""
"S """"","S_fjLm3YiS","","","","","",""
"S """"","S_4a2XVAZV","","","","","",""
"S """"","S_WK8BUC7Q","","","","","",""
"S """"","S_sCGWePZb","","","","","",""
"""""","narrator_3ysEZqQa","","","","","",""
"S """"","S_jjMEc7A3","","","","","",""
"""""","narrator_3o5r7YCf","","","","","",""
"S """"","S_RD8rBZ6v","","","","","",""
"""""","narrator_ohwdcX6y","","","","","",""
"""""","narrator_buoLnEuD","","","","","",""
"""""","narrator_WXGuBPay","","","","","",""
"S """"","S_rmCoZo2G","","","","","",""
"S """"","S_Ljwdzrd9","","","","","",""
"S """"","S_ZnxxznVU","","","","","",""
"S """"","S_8abuY5rq","","","","","",""
"""""","narrator_rnPbmGXc","","","","","",""
"""""","narrator_feJxmFko","","","","","",""
"S """"","S_Mf5HRqhM","","","","","",""
"S """"","S_hgyvjbsL","","","","","",""
"S """"","S_DpxuBrXK","","","","","",""
"""""","narrator_KJTPBhxV","","","","","",""
"S """"","S_W3FANEBd","","","","","",""
"""""","narrator_HwyMHPhy","","","","","",""
"""""","narrator_oHoto8Xo","","","","","",""
"""""","narrator_iWMf5wwL","","","","","",""
"S """"","S_tsbrCKwD","","","","","",""
"S """"","S_nAcDP7pX","","","","","",""
"S """"","S_ULr7buyr","","","","","",""
"""""","narrator_6qSPb7p9","","","","","",""
"""""","narrator_72Eu5ye7","","","","","",""
"S """"","S_K5xTVKkb","","","","","",""
"S """"","S_SyCX89GB","","","","","",""
"S """"","S_mP9ZKM3g","","","","","",""
"centered """"","centered_SJxeXf3e","","","","","",""
"centered """"","centered_Nt75eDT2","","","","","",""
"S """"","S_KD3sXAgs","","","","","",""
"S """"","S_TdzGoQAX","","","","","",""
"""""","narrator_USdazeYF","","","","","",""
"S """"","S_gEppVcev","","","","","",""
"A """"","A_YaEv6rfV","","","","","",""
"S """"","S_hEL9CULg","","","","","",""
"""""","narrator_q6RhseEa","","","","","",""
"S """"","S_L3R8NhcB","","","","","",""
"""""","narrator_fRmcYx88","","","","","",""
"S """"","S_pAXPtCDb","","","","","",""
"S """"","S_bJ4ni7GT","","","","","",""
"S """"","S_S4Sq3otu","","","","","",""
"S """"","S_5LohD4Kq","","","","","",""
"""""","narrator_hKWxbZ4K","","","","","",""
"S """"","S_RW3zDNTr","","","","","",""
"A """"","A_AGHGEnyL","","","","","",""
"S """"","S_BvdLh4hH","","","","","",""
"""""","narrator_SsCTBrmC","","","","","",""
"S """"","S_S3SYLgdR","","","","","",""
"""""","narrator_auttfMMx","","","","","",""
"""""","narrator_Dfk6XbZt","","","","","",""
"S """"","S_PVoakBWM","","","","","",""
"""""","narrator_KDYkVBeT","","","","","",""
"""""","narrator_cySpQoVT","","","","","",""
"S """"","S_rV7nbh2A","","","","","",""
"""""","narrator_TGVFURxb","","","","","",""
"S """"","S_ovuNn8RK","","","","","",""
"""""","narrator_S9BQGGkZ","","","","","",""
"S """"","S_79eDSWkv","","","","","",""
"""""","narrator_CE8nmVph","","","","","",""
"""""","narrator_Kb8EYeko","","","","","",""
"S """"","S_nS8gN7y5","","","","","",""
"""""","narrator_7h4YEsKp","","","","","",""
"""""","narrator_4U78iNzB","","","","","",""
"S """"","S_tQTWbYwx","","","","","",""
"""""","narrator_fxc6AzFg","","","","","",""
"S """"","S_hTCRZ99d","","","","","",""
"S """"","S_BnEaFU9i","","","","","",""
"S """"","S_EyDtPHBx","","","","","",""
"""""","narrator_33KCCStR","","","","","",""
"S """"","S_XupbV49A","","","","","",""
"A """"","A_rWHBkkpt","","","","","",""
"S """"","S_FgCLCth9","","","","","",""
"A """"","A_UxxpFvcM","","","","","",""
"S """"","S_XVBg8uSv","","","","","",""
"""""","narrator_pZfg7xae","","","","","",""
"A """"","A_tD7EaDuu","","","","","",""
"S """"","S_osPq66SW","","","","","",""
"""""","narrator_7aWxJrcP","","","","","",""
"S """"","S_RW9Ky2zV","","","","","",""
"""""","narrator_DUXbxYyA","","","","","",""
"A """"","A_cZY7ZQ9j","","","","","",""
"A """"","A_XgxeU5tt","","","","","",""
"A """"","A_jST4JVYh","","","","","",""
"""""","narrator_BmhVyfTe","","","","","",""
"S """"","S_Xj6XT74P","","","","","",""
"A """"","A_959qmEkR","","","","","",""
"""""","narrator_5Yri3NLz","","","","","",""
"A """"","A_FqFwVRKE","","","","","",""
"""""","narrator_fJEvWduL","","","","","",""
"A """"","A_JWB6JnWE","","","","","",""
"A """"","A_ExnDv6Nz","","","","","",""
"S """"","S_tAVugs88","","","","","",""
"""""","narrator_YhVjKn3d","","","","","",""
"A """"","A_KozSkyQD","","","","","",""
"S """"","S_BCrKexwU","","","","","",""
"""""","narrator_RhdkTPHm","","","","","",""
"""""","narrator_rhGWhTbt","","","","","",""
"S """"","S_YpjD8pDn","","","","","",""
"A """"","A_XazrsLHt","","","","","",""
"S """"","S_rU2EcUAv","","","","","",""
"""""","narrator_oxqiQv68","","","","","",""
"S """"","S_CYpttrCQ","","","","","",""
"A """"","A_Kgpz6NP3","","","","","",""
"""""","narrator_X9iM6Cpa","","","","","",""
"A """"","A_LmEckXZW","","","","","",""
"A """"","A_ieWKMVn9","","","","","",""
"S """"","S_kmJejqbx","","","","","",""
"""""","narrator_3Rpq5qBy","","","","","",""
"""""","narrator_Zk4cAgV8","","","","","",""
"S """"","S_Z6kLDMpP","","","","","",""
"""""","narrator_mCUJZYU3","","","","","",""
"A """"","A_MrJxHSGp","","","","","",""
"S """"","S_m7iteK4T","","","","","",""
"""""","narrator_PQVq3qbH","","","","","",""
"A """"","A_AK9tSUYQ","","","","","",""
"A """"","A_ED5cdLQr","","","","","",""
"S """"","S_9Dd8jUNW","","","","","",""
"""""","narrator_Jx4bMVsS","","","","","",""
"A """"","A_KDwurjZo","","","","","",""
"""""","narrator_PGjVJRgs","","","","","",""
"S """"","S_9ywkrySw","","","","","",""
"S """"","S_5qc8htJj","","","","","",""
"""""","narrator_YYTaa5AY","","","","","",""
"""""","narrator_bhZ5hkVD","","","","","",""
"A """"","A_rqeSQgwL","","","","","",""
"S """"","S_ViQzG7fT","","","","","",""
"S """"","S_qWLTsMtJ","","","","","",""
"""""","narrator_SmZRzmEY","","","","","",""
"""""","narrator_hrRDrHLL","","","","","",""
"A """"","A_VUwQK62n","","","","","",""
"S """"","S_gXPzCf8Z","","","","","",""
"S """"","S_5hUXWhkj","","","","","",""
"A """"","A_hhKQXNP8","","","","","",""
"S """"","S_m3smFguc","","","","","",""
"S """"","S_ibv4HxaS","","","","","",""
"S """"","S_SS76nxRG","","","","","",""
"""""","narrator_7yn8D39H","","","","","",""
"""""","narrator_JT3QK6nW","","","","","",""
"S """"","S_r3GTYBya","","","","","",""
"""""","narrator_kGkS57Ge","","","","","",""
"S """"","S_4GM52z77","","","","","",""
"A """"","A_XtYpHNQm","","","","","",""
"S """"","S_K8JuYAGV","","","","","",""
"Z """"","Z_JEUyzDok","","","","","",""
"""""","narrator_pczbGkUU","","","","","",""
"Z """"","Z_TQ5L6jFz","","","","","",""
"""""","narrator_cURfUC8N","","","","","",""
"S """"","S_MndFaopy","","","","","",""
"Z """"","Z_4ZFJVdWr","","","","","",""
"""""","narrator_c6zyQZs7","","","","","",""
"Z """"","Z_GuPsx9Ak","","","","","",""
"S """"","S_fqvgeyFQ","","","","","",""
"Z """"","Z_pGir5xob","","","","","",""
"S """"","S_nQ2UnhdF","","","","","",""
"""""","narrator_j3VD7rUB","","","","","",""
"Z """"","Z_ZgizrqNg","","","","","",""
"""""","narrator_heVkMpth","","","","","",""
"S """"","S_3xwos2TG","","","","","",""
"""""","narrator_kP6LSZAQ","","","","","",""
"Z """"","Z_kMVTFDwB","","","","","",""
"S """"","S_qaU2ijyx","","","","","",""
"S """"","S_R9Pf3fc5","","","","","",""
"""""","narrator_SUnJu3oa","","","","","",""
"S """"","S_qYsndWsk","","","","","",""
"""""","narrator_rV2j8o3E","","","","","",""
"S """"","S_s7cpbhfy","","","","","",""
"Z """"","Z_QY3Ftvmn","","","","","",""
"""""","narrator_PDm9pc6g","","","","","",""
"S """"","S_47LLgc5z","","","","","",""
"S """"","S_fiVgS4J8","","","","","",""
"A """"","A_GMqT7jWV","","","","","",""
"""""","narrator_cLAkBZVS","","","","","",""
"S """"","S_bYkmREVi","","","","","",""
"S """"","S_CQt3o4Ro","","","","","",""
"S """"","S_EVNcKdYZ","","","","","",""
"""""","narrator_HQKcdKun","","","","","",""
"S """"","S_ocXGQ33g","","","","","",""
"S """"","S_sQksY3Mm","","","","","",""
"""""","narrator_hAeJMmjL","","","","","",""
"S """"","S_TvV9tpgZ","","","","","",""
"""""","narrator_dCGzqWtG","","","","","",""
"""""","narrator_aPquet3A","","","","","",""
"Z """"","Z_dMnJCsuT","","","","","",""
"""""","narrator_3U7WWA2y","","","","","",""
"S """"","S_6pwtpVcf","","","","","",""
"S """"","S_AvPfaanb","","","","","",""
"S """"","S_L8XioU5J","","","","","",""
"""""","narrator_QmNN7rju","","","","","",""
"S """"","S_dUi53fR6","","","","","",""
"""""","narrator_JDfuCvDi","","","","","",""
"S """"","S_M8aDX22z","","","","","",""
"""""","narrator_q2QjHUN2","","","","","",""
"A """"","A_bj2ZXD3r","","","","","",""
"S """"","S_KadvpybK","","","","","",""
"""""","narrator_8W4PwnG9","","","","","",""
"""""","narrator_BHHoySH6","","","","","",""
"S """"","S_9Pm8T9SJ","","","","","",""
"""""","narrator_6vtjTNqg","","","","","",""
"S """"","S_YQVNy5s6","","","","","",""
"""""","narrator_5h7VszdB","","","","","",""
"S """"","S_taZoe8Zv","","","","","",""
"""""","narrator_NNTBerfg","","","","","",""
"S """"","S_92BDCGdV","","","","","",""
"""""","narrator_oTVTHpYb","","","","","",""
"S """"","S_ETrhb7An","","","","","",""
"S """"","S_PpBwSBPj","","","","","",""
"S """"","S_ERYaXS6i","","","","","",""
"""""","narrator_8MnmN5nM","","","","","",""
"S """"","S_HdZB4caq","","","","","",""
"""""","narrator_dYpRk2Da","","","","","",""
"""""","narrator_YANHQ8rk","","","","","",""
"""""","narrator_coFwtBAb","","","","","",""
"""""","narrator_QWbFJK6j","","","","","",""
"""""","narrator_coS9wuSJ","","","","","",""
"""""","narrator_PhSw6bWF","","","","","",""
"S """"","S_sBC3JgSE","","","","","",""
"""""","narrator_PoFWXbT6","","","","","",""
"S """"","S_4h8ezf7z","","","","","",""
"""""","narrator_XrY3qEpf","","","","","",""
"S """"","S_BXRbz4kz","","","","","",""
"""""","narrator_btcRV4nd","","","","","",""
"S """"","S_iwGeB4gU","","","","","",""
"""""","narrator_XjpaReTt","","","","","",""
"S """"","S_MXaxbteh","","","","","",""
"""""","narrator_fiHigRkQ","","","","","",""
"S """"","S_Tzf8wR2J","","","","","",""
"S """"","S_ConQGjXU","","","","","",""
"S """"","S_TsQR6iDq","","","","","",""
"""""","narrator_WPdSgZ8R","","","","","",""
"S """"","S_Jt3gSjUR","","","","","",""
"A """"","A_ASYuVuiq","","","","","",""
"S """"","S_3nv7Ld5Z","","","","","",""
"""""","narrator_tEDaso8e","","","","","",""
"""""","narrator_hDbaLike","","","","","",""
"S """"","S_igDQEirm","","","","","",""
"A """"","A_qJvmUyLo","","","","","",""
"""""","narrator_GigniaZP","","","","","",""
"S """"","S_kauL4jdH","","","","","",""
"A """"","A_sCb474g6","","","","","",""
"S """"","S_sJ4pLiSD","","","","","",""
"""""","narrator_qu5hwqD6","","","","","",""
"""""","narrator_P8qR7Hjh","","","","","",""
"""""","narrator_YJnpVuv6","","","","","",""
"S """"","S_tcMqjoq4","","","","","",""
"A """"","A_hay5ynJz","","","","","",""
"S """"","S_tnANQBLb","","","","","",""
"S """"","S_UEX7hNMh","","","","","",""
"""""","narrator_M7dRDLZT","","","","","",""
"S """"","S_YDUkWyND","","","","","",""
"S """"","S_hYK6WQAb","","","","","",""
"S """"","S_ra3n2qvP","","","","","",""
"""""","narrator_HBhFkGSs","","","","","",""
"S """"","S_pgJFtsWZ","","","","","",""
"A """"","A_bUdDZEhK","","","","","",""
"""""","narrator_RPCqXZpm","","","","","",""
"S """"","S_be7VuSaV","","","","","",""
"""""","narrator_ZQWXWsiW","","","","","",""
"S """"","S_Tr7AiciM","","","","","",""
"S """"","S_7RPiNh8z","","","","","",""
"S """"","S_r2qpjs5H","","","","","",""
"S """"","S_th2b834K","","","","","",""
"""""","narrator_55yEHWwM","","","","","",""
"""""","narrator_d5UcyQtf","","","","","",""
"""""","narrator_Qm5mHDY5","","","","","",""
"S """"","S_Lr9k3QHB","","","","","",""
"""""","narrator_qcwcXPK9","","","","","",""
"S """"","S_UFHZTZnD","","","","","",""
"S """"","S_G66amgyJ","","","","","",""
"""""","narrator_ofMK3uvC","","","","","",""
"S """"","S_DnxUZYQY","","","","","",""
