"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"""""","narrator_03504faf","","","","","",""
"A """"","A_42f384d9","","","","","",""
"""""","narrator_b1d7e9bd","","","","","",""
"S1 """"","S1_f7ea6b08","","","","","",""
"S1 """"","S1_bde3b4df","","","","","",""
"""""","narrator_be96f1fd","","","","","",""
"S1 """"","S1_b9a3c8a7","","","","","",""
"S1 """"","S1_0829bf39","","","","","",""
"S1 """"","S1_eef219b5","","","","","",""
"""""","narrator_15361b75","","","","","",""
"""""","narrator_00f1e567","","","","","",""
"S1 """"","S1_ed9f6893","","","","","",""
"""""","narrator_9f3219c6","","","","","",""
"Q """"","Q_d0d84f09","","","","","",""
"""""","narrator_9b2a9638","","","","","",""
"Q """"","Q_cc165f49","","","","","",""
"Q """"","Q_322f8d53","","","","","",""
"Q """"","Q_31870112","","","","","",""
"S1 """"","S1_389c8c7d","","","","","",""
"""""","narrator_d5b4a96d","","","","","",""
"S1 """"","S1_beb75d1e","","","","","",""
"S1 """"","S1_f6d7775e","","","","","",""
"""""","narrator_ee000350","","","","","",""
"S1 """"","S1_bc5e620c","","","","","",""
"S1 """"","S1_1c6552a2","","","","","",""
"S1 """"","S1_98a97124","","","","","",""
"S1 """"","S1_3a6f9689","","","","","",""
"""""","narrator_02e3589c","","","","","",""
"S1 """"","S1_cc147078","","","","","",""
"Q """"","Q_3380629b","","","","","",""
"Q """"","Q_eca5b468","","","","","",""
"""""","narrator_abdbfeb9","","","","","",""
"Q """"","Q_8b8128f5","","","","","",""
"Q """"","Q_5523b44a","","","","","",""
"S1 """"","S1_dc381174","","","","","",""
"Q """"","Q_1abf6c39","","","","","",""
"""""","narrator_c56dba18","","","","","",""
"S1 """"","S1_082d782d","","","","","",""
"""""","narrator_6c7e36b7","","","","","",""
"S1 """"","S1_9f163d05","","","","","",""
"Q """"","Q_3f34b1e4","","","","","",""
"S1 """"","S1_7e805395","","","","","",""
"A """"","A_d0f5abdb","","","","","",""
"""""","narrator_ccfe4be2","","","","","",""
"S1 """"","S1_fcd16600","","","","","",""
"S1 """"","S1_bf1fcb51","","","","","",""
"""""","narrator_fa5e4b32","","","","","",""
"S1 """"","S1_df9b1916","","","","","",""
"Q """"","Q_138a9b8c","","","","","",""
"S1 """"","S1_2e9547d9","","","","","",""
"Q """"","Q_f68d402f","","","","","",""
"S1 """"","S1_6014897a","","","","","",""
"S1 """"","S1_6e0ae222","","","","","",""
"""""","narrator_09e77e9c","","","","","",""
"S1 """"","S1_2d79fa98","","","","","",""
"""""","narrator_9802ee09","","","","","",""
"Q """"","Q_92ccdc3c","","","","","",""
"""""","narrator_04b165cc","","","","","",""
"""""","narrator_2505cf78","","","","","",""
"S1 """"","S1_e91cba7e","","","","","",""
"Q """"","Q_e398888a","","","","","",""
"""""","narrator_5cedea6f","","","","","",""
"S1 """"","S1_12623ed1","","","","","",""
"S1 """"","S1_b7d8a88d","","","","","",""
"""""","narrator_639f83ed","","","","","",""
"S1 """"","S1_c497e8c3","","","","","",""
"""""","narrator_bfff91e1","","","","","",""
"S1 """"","S1_3c687d76","","","","","",""
"""""","narrator_73f1eb66","","","","","",""
"S1 """"","S1_2108d64a","","","","","",""
