location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"SO """"",SO_bbc675d7,,,,,,
"S """"",S_300727a2,,,,,,
"""""",narrator_918b9db4,,,,,,
"U """"",U_c5eab20e,,,,,,
"Os """"",Os_7c91d0ed,,,,,,
"S """"",S_e2742005,,,,,,
"S """"",S_d3c4572c,,,,,,
"""""",narrator_918b9db4_1,,,,,,
"S """"",S_3c2a4c6c,,,,,,
"Os """"",Os_232797af,,,,,,
"U """"",U_dbeac97a,,,,,,
"U """"",U_12b89cef,,,,,,
"U """"",U_480af677,,,,,,
"""""",narrator_5d0d2701,,,,,,
"S """"",S_b3d72936,,,,,,
"S """"",S_1974c06a,,,,,,
"""""",narrator_3aef211f,,,,,,
"Os """"",Os_f109abd5,,,,,,
"U """"",U_9dfcff05,,,,,,
"""""",narrator_04ab023d,,,,,,
"Os """"",Os_627e2964,,,,,,
"U """"",U_2d1e8b9b,,,,,,
"S """"",S_2d17e463,,,,,,
"S """"",S_717aa0cc,,,,,,
"""""",narrator_ce73d6d3,,,,,,
"""""",narrator_c81c33a6,,,,,,
"M """"",M_decb41e8,,,,,,
"H """"",H_9bd0bbfb,,,,,,
"M """"",M_23f1b32c,,,,,,
"""""",narrator_0b11b693,,,,,,
"H """"",H_64c8e53a,,,,,,
"M """"",M_c8731247,,,,,,
"H """"",H_1ae85d91,,,,,,
"H """"",H_fb80f153,,,,,,
"H """"",H_4fdfe33a,,,,,,
"M """"",M_da006fb6,,,,,,
"""""",narrator_c6d221f0,,,,,,
"Os """"",Os_a32d7fed,,,,,,
"U """"",U_d6272864,,,,,,
"G """"",G_4c1b8fb6,,,,,,
"Ze """"",Ze_0c5d64d1,,,,,,
"G """"",G_3ba1d4bf,,,,,,
"Ze """"",Ze_315d912c,,,,,,
"S """"",S_ea1260ba,,,,,,
"""""",narrator_15332d22,,,,,,
"S """"",S_972c3bd1,,,,,,
"SO """"",SO_eb97efa7,,,,,,
"S """"",S_94141daa,,,,,,
"S """"",S_99eca60c,,,,,,
"S """"",S_30555016,,,,,,
"SO """"",SO_1693dac1,,,,,,
"U """"",U_ff9e6ef8,,,,,,
"""""",narrator_6dc60d7c,,,,,,
"U """"",U_7094ac85,,,,,,
"U """"",U_a6ebf833,,,,,,
"S """"",S_5bc0fbff,,,,,,
"Os """"",Os_03476570,,,,,,
"""""",narrator_0b430ec6,,,,,,
"S """"",S_f864e78a,,,,,,
"Os """"",Os_03ff4eab,,,,,,
"""""",narrator_a2d6988b,,,,,,
"U """"",U_c35643db,,,,,,
"""""",narrator_dbbe8bd6,,,,,,
"Ze """"",Ze_5c46f446,,,,,,
"U """"",U_77cf24cd,,,,,,
"M """"",M_b5b2c3c7,,,,,,
"H """"",H_6de845e6,,,,,,
"M """"",M_2a6648a8,,,,,,
"Os """"",Os_263a3952,,,,,,
"U """"",U_cb7533b9,,,,,,
"U """"",U_a622407e,,,,,,
"M """"",M_c87f677f,,,,,,
"G """"",G_03e97733,,,,,,
"H """"",H_06518371,,,,,,
"S """"",S_460f7f7f,,,,,,
"""""",narrator_0088a422,,,,,,
"S """"",S_6e6b6a95,,,,,,
"""""",narrator_5427cef2,,,,,,
"""""",narrator_f3e6955e,,,,,,
"U """"",U_d9a12d8b,,,,,,
"S """"",S_fe12fd60,,,,,,
"U """"",U_2a01c32d,,,,,,
"U """"",U_dcb0bc03,,,,,,
"S """"",S_a21759d5,,,,,,
"S """"",S_af7f78ac,,,,,,
"U """"",U_42cb984e,,,,,,
"U """"",U_7f5b939e,,,,,,
"""""",narrator_51d8c41c,,,,,,
"U """"",U_aba35598,,,,,,
"U """"",U_29f65e11,,,,,,
"S """"",S_614922a0,,,,,,
"S """"",S_3a5816e3,,,,,,
"""""",narrator_dd299b1e,,,,,,
"M """"",M_5d722853,,,,,,
"U """"",U_ce3c0b16,,,,,,
"U """"",U_61915868,,,,,,
"U """"",U_a0bb1f16,,,,,,
"S """"",S_e291cd71,,,,,,
"U """"",U_1b065e8c,,,,,,
"""""",narrator_ed6cba17,,,,,,
"U """"",U_10d67c50,,,,,,
"U """"",U_7aa68cb5,,,,,,
"U """"",U_346546b1,,,,,,
"""""",narrator_c2f2f558,,,,,,
"S """"",S_614922a0_1,,,,,,
"S """"",S_c704ee55,,,,,,
"S """"",S_1cd2ae3f,,,,,,
"""""",narrator_e0d2382e,,,,,,
"S """"",S_e962b4dc,,,,,,
"S """"",S_a57be329,,,,,,
"""""",narrator_de871a88,,,,,,
"""""",narrator_4646576d,,,,,,
"Os """"",Os_c19ca641,,,,,,
"""""",narrator_40309264,,,,,,
"U """"",U_d35661eb,,,,,,
"H """"",H_961c0f94,,,,,,
"Os """"",Os_ebab2a2c,,,,,,
"Os """"",Os_32de168f,,,,,,
"M """"",M_95ceb04f,,,,,,
"Ze """"",Ze_2bc14d34,,,,,,
"G """"",G_b49b156b,,,,,,
"""""",narrator_2d7b50fa,,,,,,
"SO """"",SO_8991eb22,,,,,,
"SO """"",SO_21e464de,,,,,,
"S """"",S_fb308650,,,,,,
"""""",narrator_7882a302,,,,,,
"SO """"",SO_2884b3bd,,,,,,
"Os """"",Os_a4de90de,,,,,,
"Os """"",Os_4d73a3d3,,,,,,
"G """"",G_2639c8bb,,,,,,
"G """"",G_29016c23,,,,,,
"""""",narrator_d9ea77f1,,,,,,
"Os """"",Os_0ff42ee9,,,,,,
"S """"",S_a54f7df1,,,,,,
"S """"",S_ed2b0982,,,,,,
"""""",narrator_b6c2309b,,,,,,
"Os """"",Os_ad0dd7f2,,,,,,
"S """"",S_9b0e1cf8,,,,,,
"S """"",S_e5e4411a,,,,,,
"S """"",S_b624367f,,,,,,
"M """"",M_9bf83aec,,,,,,
"""""",narrator_75d3bcfb,,,,,,
"M """"",M_1e58a68e,,,,,,
"H """"",H_42881194,,,,,,
"S """"",S_196e32cf,,,,,,
"U """"",U_fdf89e2d,,,,,,
"U """"",U_609bf124,,,,,,
"""""",narrator_62f72c4d,,,,,,
"M """"",M_d7dbaedd,,,,,,
"U """"",U_44429c8d,,,,,,
"U """"",U_e053f52d,,,,,,
"""""",narrator_6783dd3d,,,,,,
"""""",narrator_215c8bfd,,,,,,
"M """"",M_79320454,,,,,,
"M """"",M_39cd1060,,,,,,
"U """"",U_96b9b15c,,,,,,
"G """"",G_639bab86,,,,,,
"G """"",G_b998c445,,,,,,
"H """"",H_d8e72d57,,,,,,
"G """"",G_f812e98b,,,,,,
"SO """"",SO_13e1e4a7,,,,,,
"SO """"",SO_e887e6d6,,,,,,
"SO """"",SO_39cdfd38,,,,,,
"S """"",S_9c756088,,,,,,
"U """"",U_26967d39,,,,,,
