location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"S """"",S_RLbJDoY6,,,,,,
"S """"",S_JtT5ZA4a,,,,,,
"S """"",S_HpiYS7wf,,,,,,
"centered """"",centered_cMA8MZYT,,,,,,
"Os """"",Os_HKwRA2Pw,,,,,,
"""""",narrator_P9uSwcHQ,,,,,,
"S """"",S_sBnFkH3P,,,,,,
"Os """"",Os_bVoccpir,,,,,,
"S """"",S_qnCeCm4i,,,,,,
"S """"",S_LPCwuyJT,,,,,,
"Os """"",Os_HZXLj8zz,,,,,,
"""""",narrator_QGZQvEpD,,,,,,
"Os """"",Os_WeH8Vk2G,,,,,,
"S """"",S_ESfqZwYx,,,,,,
"S """"",S_tdQDgtx9,,,,,,
"Os """"",Os_H8e8MC76,,,,,,
"S """"",S_Aqz2h8Zx,,,,,,
"Os """"",Os_ttehYxbd,,,,,,
"Os """"",Os_EQRR97XY,,,,,,
"S """"",S_eqJuWSA8,,,,,,
"Os """"",Os_pnBzhVVS,,,,,,
"Os """"",Os_ooVDKs6u,,,,,,
"S """"",S_mHW3MutC,,,,,,
"S """"",S_FU9UCzG4,,,,,,
"Os """"",Os_9UtYM7Bd,,,,,,
"S """"",S_fs5jfn5J,,,,,,
"Os """"",Os_gtt5LQjt,,,,,,
"S """"",S_YJDehTJv,,,,,,
"Os """"",Os_kTUxubki,,,,,,
"Os """"",Os_LxSwB7VN,,,,,,
"S """"",S_NBrQ6aDE,,,,,,
"Os """"",Os_cBhKoBxo,,,,,,
"S """"",S_75b6Ftbk,,,,,,
"S """"",S_4mi8NMtn,,,,,,
"Os """"",Os_rf5GrVrM,,,,,,
"centered """"",centered_F5nQjyC4,,,,,,
"""""",narrator_gcDuwFM8,,,,,,
"S """"",S_j8t7kHNN,,,,,,
"S """"",S_aTDckZzQ,,,,,,
"S """"",S_AVzUePvq,,,,,,
"S """"",S_UhxdhUiq,,,,,,
"S """"",S_Cud3Xsba,,,,,,
"S """"",S_5ntQCa3q,,,,,,
"S """"",S_HUR3M4YD,,,,,,
"""""",narrator_X8U9q6Kr,,,,,,
"S """"",S_FnFQj4K2,,,,,,
"S """"",S_EcLhjvvh,,,,,,
"""""",narrator_KUigezbC,,,,,,
"S """"",S_SPTxSy3T,,,,,,
"S """"",S_UQos6sq9,,,,,,
"""""",narrator_UvAUgmzW,,,,,,
"""""",narrator_cSYYFmyh,,,,,,
"S """"",S_jxPyCkWP,,,,,,
"S """"",S_GgPPNYfj,,,,,,
"S """"",S_8G6N2zCC,,,,,,
"S """"",S_AH3yVaPB,,,,,,
"""""",narrator_jK2KGMPt,,,,,,
"S """"",S_tmKw9QFC,,,,,,
"""""",narrator_DxmHqrnS,,,,,,
"S """"",S_TJGmPvDQ,,,,,,
"S """"",S_3GPzYN2s,,,,,,
"S """"",S_oPm4SN73,,,,,,
"S """"",S_eRmCEdFn,,,,,,
"S """"",S_tkv75WjY,,,,,,
"""""",narrator_QhfsMENE,,,,,,
"S """"",S_dreaFtX8,,,,,,
"S """"",S_fuQaGADc,,,,,,
"""""",narrator_5o6SVBjq,,,,,,
"S """"",S_fnMNyTSQ,,,,,,
"S """"",S_HnMEUmEi,,,,,,
"""""",narrator_5J6p99aG,,,,,,
"""""",narrator_muLaywNa,,,,,,
"S """"",S_Kdygkh8t,,,,,,
"""""",narrator_pHgVxijT,,,,,,
"S """"",S_iqHi729e,,,,,,
"""""",narrator_tC5tgzFa,,,,,,
"S """"",S_8q8oFXdP,,,,,,
"S """"",S_GF8RdzbR,,,,,,
"S """"",S_K5hodwEK,,,,,,
"""""",narrator_L2w5z7Pt,,,,,,
"S """"",S_N6Cw86tx,,,,,,
"""""",narrator_9bnNvwa2,,,,,,
"S """"",S_VfUvkKxm,,,,,,
"S """"",S_AzExKe2p,,,,,,
"""""",narrator_tWLTAaUG,,,,,,
"S """"",S_LbKJw9fu,,,,,,
"S """"",S_KuxU3vxa,,,,,,
"C1 """"",C1_JmHMhVoG,,,,,,
"S """"",S_DzE2RMmy,,,,,,
"""""",narrator_UvAUDJiP,,,,,,
"""""",narrator_DfxmdWC3,,,,,,
"S """"",S_5z2ok8yw,,,,,,
"S """"",S_VQaCCK6S,,,,,,
"""""",narrator_UwgGBfLA,,,,,,
"""""",narrator_kggYpE7Y,,,,,,
"""""",narrator_WB7hgu6A,,,,,,
"S """"",S_H6NacB3s,,,,,,
"""""",narrator_YGHoXGk7,,,,,,
"S """"",S_3M6YUvvm,,,,,,
"S """"",S_qExZACKg,,,,,,
"S """"",S_tVFnD2YF,,,,,,
"""""",narrator_pYdpVegZ,,,,,,
"S """"",S_Mg7kYbbM,,,,,,
"""""",narrator_NAMZjABr,,,,,,
"S """"",S_pqVfs5hw,,,,,,
"""""",narrator_jXvX9Sr7,,,,,,
"S """"",S_YXonzdYz,,,,,,
"A """"",A_hUNKsLPZ,,,,,,
"""""",narrator_kSX2DbSa,,,,,,
"A """"",A_fyTqAwHv,,,,,,
"S """"",S_UQShXLZt,,,,,,
"A """"",A_PNUNBCT5,,,,,,
"S """"",S_eaGzYogq,,,,,,
"""""",narrator_UsQrDJQY,,,,,,
"S """"",S_MUkPzcQq,,,,,,
"S """"",S_XvdDKtz7,,,,,,
"A """"",A_jGGf7Tw6,,,,,,
"As """"",As_gFtZbXYn,,,,,,
"S """"",S_qJXXnAP3,,,,,,
"S """"",S_RTMLqKyR,,,,,,
"As """"",As_AXwHov7P,,,,,,
"S """"",S_XG27ApnX,,,,,,
"As """"",As_Za4KnWby,,,,,,
"""""",narrator_ecxYMUsi,,,,,,
"S """"",S_AssvCk5Z,,,,,,
"As """"",As_HdWeRmaM,,,,,,
"S """"",S_rHDdPPFH,,,,,,
"As """"",As_ZPC7XuNv,,,,,,
"""""",narrator_qAqph7Wi,,,,,,
"S """"",S_Zbt6AvEu,,,,,,
"S """"",S_8y7jaYtj,,,,,,
"As """"",As_CueemAU4,,,,,,
"S """"",S_Cq99dtax,,,,,,
"""""",narrator_entRcju9,,,,,,
"""""",narrator_CLbE9KeC,,,,,,
"S """"",S_8CUAt9Nd,,,,,,
"As """"",As_rARUii3t,,,,,,
"S """"",S_Eq7g9ZXo,,,,,,
"As """"",As_WLxqohi7,,,,,,
"S """"",S_9T8VJtbj,,,,,,
"S """"",S_JXk5xPFN,,,,,,
"S """"",S_4Gsh4gNs,,,,,,
"As """"",As_VcLNGq3z,,,,,,
"""""",narrator_nywHsc3U,,,,,,
"S """"",S_Ws9F4ZMx,,,,,,
"As """"",As_D45ymxLv,,,,,,
"S """"",S_pfy8VEN6,,,,,,
"S """"",S_Ce8hySPu,,,,,,
"S """"",S_kxTxMrY4,,,,,,
"S """"",S_XKmHEkvR,,,,,,
"S """"",S_kbUgnpEb,,,,,,
"As """"",As_TPsNXbSt,,,,,,
"S """"",S_ba2irkzd,,,,,,
"As """"",As_qZPeffDM,,,,,,
"S """"",S_kWZ4jgsN,,,,,,
"""""",narrator_UTuQh4QD,,,,,,
"S """"",S_q6Y3mRE4,,,,,,
"S """"",S_AErTWiKi,,,,,,
"""""",narrator_7qD6q8xt,,,,,,
"As """"",As_jyhJbMLK,,,,,,
"S """"",S_bicDFNzw,,,,,,
"S """"",S_Gkv7i5Cp,,,,,,
"""""",narrator_Kx6Xasww,,,,,,
"S """"",S_jWj7iyQk,,,,,,
"""""",narrator_PFqdu6fz,,,,,,
"S """"",S_biAb3cvy,,,,,,
"As """"",As_DfhnG7fN,,,,,,
"S """"",S_VUXrk8uG,,,,,,
"""""",narrator_FvHDXSbX,,,,,,
"As """"",As_GyhLDk2x,,,,,,
"S """"",S_gbA7T2xd,,,,,,
"As """"",As_cZjzmD8R,,,,,,
"""""",narrator_itYFbCJm,,,,,,
"As """"",As_JMv7SG3V,,,,,,
"S """"",S_dpsoTnfy,,,,,,
"""""",narrator_eKhB9Jqm,,,,,,
"As """"",As_Uqqg5QQP,,,,,,
"""""",narrator_TjXEhTgB,,,,,,
"S """"",S_efpaWxXR,,,,,,
"As """"",As_oC4ggnXN,,,,,,
"S """"",S_d48Weak8,,,,,,
"S """"",S_syqBdfup,,,,,,
"As """"",As_tMXsxLXm,,,,,,
"""""",narrator_B2Z9QY3A,,,,,,
"S """"",S_KwZ7GfRw,,,,,,
"""""",narrator_R9vsabU3,,,,,,
"As """"",As_RJVqyiRG,,,,,,
"""""",narrator_5oFfN5YG,,,,,,
"S """"",S_6UdsSN78,,,,,,
"""""",narrator_6x5WAXhC,,,,,,
"S """"",S_YdfRP7oB,,,,,,
"As """"",As_QNb2DzR5,,,,,,
"S """"",S_e2wn9dhY,,,,,,
"S """"",S_3oECu5KT,,,,,,
"""""",narrator_dg7Zo5L4,,,,,,
"S """"",S_f86phF4X,,,,,,
"S """"",S_ZFMWDKGo,,,,,,
"As """"",As_gyT93Ee2,,,,,,
"S """"",S_DJsU4dTN,,,,,,
"As """"",As_FbYrAVMP,,,,,,
"S """"",S_7v6bUo2i,,,,,,
"As """"",As_AvP4LScf,,,,,,
"S """"",S_N3zhgx48,,,,,,
"As """"",As_KBp4FYYf,,,,,,
"As """"",As_ffHxZxjJ,,,,,,
"S """"",S_AHypop5V,,,,,,
"S """"",S_S3sJAMNJ,,,,,,
"S """"",S_88GPwzZ4,,,,,,
"S """"",S_A98rFA26,,,,,,
"""""",narrator_FngdB8YD,,,,,,
"As """"",As_GG5AstiE,,,,,,
"S """"",S_pgspknjx,,,,,,
"S """"",S_FvLPDnyi,,,,,,
"As """"",As_qz78YCMc,,,,,,
"S """"",S_YMxr8MyT,,,,,,
"""""",narrator_PDQ8fNs3,,,,,,
"S """"",S_fStw9F7x,,,,,,
"""""",narrator_GdrtjmPR,,,,,,
"""""",narrator_Ad74EWUk,,,,,,
"As """"",As_gfSHfYEo,,,,,,
"S """"",S_BCrZb3m8,,,,,,
"As """"",As_KjkTuJNp,,,,,,
"S """"",S_ruhwnLRZ,,,,,,
"S """"",S_BGwLCTvf,,,,,,
"As """"",As_qPTfSeQ8,,,,,,
"S """"",S_c4MfNXwR,,,,,,
"S """"",S_AVQfDPoV,,,,,,
"""""",narrator_hpDeJcNn,,,,,,
"S """"",S_5UFhBzAi,,,,,,
"S """"",S_ACGKe8Bu,,,,,,
"As """"",As_fn23n6RZ,,,,,,
"S """"",S_RR3QoE9C,,,,,,
"S """"",S_FVeY4hGa,,,,,,
"""""",narrator_QHKV6qwa,,,,,,
"""""",narrator_MMkvWD63,,,,,,
"S """"",S_MJ2FoshX,,,,,,
"""""",narrator_qhEZL8Fz,,,,,,
"S """"",S_XPTiAxkZ,,,,,,
"S """"",S_HFsqxaYH,,,,,,
"S """"",S_P4qvPFE6,,,,,,
"""""",narrator_Jd69nqoL,,,,,,
"S """"",S_d8KUmHeL,,,,,,
"""""",narrator_gejiuWdQ,,,,,,
"S """"",S_Wddujt6b,,,,,,
"""""",narrator_ZyNynW2D,,,,,,
"""""",narrator_q5CLkhof,,,,,,
"S """"",S_hykUYuN4,,,,,,
"""""",narrator_eNHn8jhq,,,,,,
"S """"",S_sTamgJoc,,,,,,
"S """"",S_86RvpEPT,,,,,,
"S """"",S_AxznF5GT,,,,,,
"""""",narrator_oqdZ94VP,,,,,,
"C1 """"",C1_CPBHbB9T,,,,,,
"S """"",S_8X7qfwBe,,,,,,
"S """"",S_jLPtKLEF,,,,,,
"""""",narrator_YiVXdFgH,,,,,,
"S """"",S_rgw7rEsc,,,,,,
"""""",narrator_EdicE6gX,,,,,,
"C1 """"",C1_DPLUHcSV,,,,,,
"""""",narrator_PXCyC4NN,,,,,,
"S """"",S_qtJozLRF,,,,,,
"""""",narrator_rXTnVMSG,,,,,,
"S """"",S_LBXkuiek,,,,,,
"S """"",S_MeBusgjp,,,,,,
"""""",narrator_76FKvgE2,,,,,,
"S """"",S_EgFcApf6,,,,,,
"S """"",S_RS3ZF8D3,,,,,,
"""""",narrator_Xfm2JS5F,,,,,,
"S """"",S_54Dda7a2,,,,,,
"S """"",S_Ex59Hn3R,,,,,,
"S """"",S_iTVnKUky,,,,,,
"""""",narrator_ehXYzfEE,,,,,,
"S """"",S_NDnZAJ5h,,,,,,
"A """"",A_fu2J8wbF,,,,,,
"A """"",A_hcpqAVTP,,,,,,
"A """"",A_6DLJMh79,,,,,,
"A """"",A_q5KHiRjq,,,,,,
"""""",narrator_GfB86GGc,,,,,,
"Aside2 """"",Aside2_rycP9Qxf,,,,,,
"""""",narrator_TPQqFwfD,,,,,,
"Aside5 """"",Aside5_XfgZTVBW,,,,,,
"Aside11 """"",Aside11_6h7AcA4k,,,,,,
"""""",narrator_d8zjftG7,,,,,,
"Aside5 """"",Aside5_gAyvFpi6,,,,,,
"Aside10 """"",Aside10_rKd5JKeN,,,,,,
"Aside2 """"",Aside2_GBEAJBgG,,,,,,
"Aside4 """"",Aside4_LmVheUvz,,,,,,
