location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"S """"",S_a5b20d19,,,,,,
"S """"",S_577c3240,,,,,,
"""""",narrator_a8104300,,,,,,
"S """"",S_1a570732,,,,,,
"SO """"",SO_b1c57a77,,,,,,
"S """"",S_107c850e,,,,,,
"SO """"",SO_98068b0e,,,,,,
"SO """"",SO_c7bc6e2e,,,,,,
"""""",narrator_6ee0922c,,,,,,
"S """"",S_77be4da4,,,,,,
"SO """"",SO_46cf909a,,,,,,
"SO """"",SO_72525ca3,,,,,,
"""""",narrator_288c51fc,,,,,,
"SO """"",SO_b3cb8f56,,,,,,
"S """"",S_c4309808,,,,,,
"""""",narrator_07f84538,,,,,,
"S """"",S_9d8780b0,,,,,,
"S """"",S_0c1937e3,,,,,,
"S """"",S_1ed5d83b,,,,,,
"S """"",S_aaef1d71,,,,,,
"S """"",S_44f38e3b,,,,,,
"S """"",S_7d340f1e,,,,,,
"S """"",S_5d045a01,,,,,,
"""""",narrator_c40c833f,,,,,,
"S """"",S_c9c21439,,,,,,
"SO """"",SO_96e00cf6,,,,,,
"S """"",S_17da383c,,,,,,
"""""",narrator_bbfd9a31,,,,,,
"S """"",S_4adc337b,,,,,,
"S """"",S_dde9a751,,,,,,
"""""",narrator_27a684f3,,,,,,
"SO """"",SO_f23996a4,,,,,,
"S """"",S_7bc81093,,,,,,
"SO """"",SO_50a208b9,,,,,,
"S """"",S_907796fd,,,,,,
"""""",narrator_8915e2ee,,,,,,
"S """"",S_07056188,,,,,,
"""""",narrator_b612113f,,,,,,
"S """"",S_672c5434,,,,,,
"S """"",S_193aeb25,,,,,,
"SO """"",SO_1cb3f52e,,,,,,
"SO """"",SO_73473102,,,,,,
"S """"",S_5930431a,,,,,,
"S """"",S_76899eb5,,,,,,
"S """"",S_dcee780d,,,,,,
"""""",narrator_e410b06e,,,,,,
"S """"",S_262b6927,,,,,,
"S """"",S_471f9b94,,,,,,
"SO """"",SO_53e20002,,,,,,
"SO """"",SO_cb8c57bc,,,,,,
"SO """"",SO_6637f9d6,,,,,,
"SO """"",SO_05372c95,,,,,,
"SO """"",SO_a7737b58,,,,,,
"SO """"",SO_5563a9c2,,,,,,
"SO """"",SO_373d02c4,,,,,,
"""""",narrator_f8816e5d,,,,,,
"S """"",S_ff14c055,,,,,,
"S """"",S_7e709808,,,,,,
"S """"",S_3d258c3a,,,,,,
"SO """"",SO_3d53b9fc,,,,,,
"S """"",S_cc2014ef,,,,,,
"SO """"",SO_6637f9d6_1,,,,,,
"""""",narrator_b900b818,,,,,,
"""""",narrator_818d9a1f,,,,,,
"S """"",S_a575a0a9,,,,,,
"S """"",S_0019c795,,,,,,
"""""",narrator_3c135a2f,,,,,,
"S """"",S_d879de08,,,,,,
"S """"",S_ba4612b8,,,,,,
"S """"",S_531d28f2,,,,,,
"""""",narrator_579691e0,,,,,,
"S """"",S_dc88c703,,,,,,
"""""",narrator_579691e0_1,,,,,,
"""""",narrator_5303d52f,,,,,,
"S """"",S_50cb1957,,,,,,
"S """"",S_827e5f89,,,,,,
"""""",narrator_579691e0_2,,,,,,
"S """"",S_abcfc449,,,,,,
"""""",narrator_579691e0_3,,,,,,
"S """"",S_7fdde720,,,,,,
"S """"",S_4b724e51,,,,,,
"S """"",S_f24e33fc,,,,,,
"""""",narrator_579691e0_4,,,,,,
"S """"",S_cc2014ef_1,,,,,,
"S """"",S_676277b5,,,,,,
"S """"",S_a6e670de,,,,,,
"S """"",S_0282210a,,,,,,
"SO """"",SO_6637f9d6_2,,,,,,
"""""",narrator_fa81bcd5,,,,,,
"S """"",S_9cfdfb44,,,,,,
"S """"",S_b2f9b6c5,,,,,,
"SO """"",SO_56184ffd,,,,,,
"""""",narrator_73ef5fc9,,,,,,
"SO """"",SO_4b8f25e0,,,,,,
"SO """"",SO_c14f3609,,,,,,
"S """"",S_dd5591a0,,,,,,
"""""",narrator_84924453,,,,,,
"S """"",S_bbe8c2eb,,,,,,
"S """"",S_7df32698,,,,,,
"SO """"",SO_7e7bf5e5,,,,,,
"""""",narrator_82c97fd8,*Squish* * Squish* * Smack*,,,,,
"S """"",S_d3398289,,,,,,
"""""",narrator_c913f999,,,,,,
"SO """"",SO_0af36d7e,,,,,,
"S """"",S_f21060fa,,,,,,
"""""",narrator_69d93fca,,,,,,
"S """"",S_df361622,,,,,,
"""""",narrator_ed0b3fa1,,,,,,
"S """"",S_71066d64,,,,,,
"SO """"",SO_77eea03c,,,,,,
"S """"",S_47d16cd1,,,,,,
"SO """"",SO_6bd9f11a,,,,,,
"S """"",S_ac0ea141,,,,,,
"S """"",S_0f042e3b,,,,,,
"SO """"",SO_c10eda69,,,,,,
"""""",narrator_862e902d,,,,,,
"""""",narrator_88acb735,,,,,,
"SO """"",SO_9d2c4787,,,,,,
"SO """"",SO_817748a5,,,,,,
"S """"",S_805ca0fe,,,,,,
"""""",narrator_bd7e9e8b,,,,,,
"S """"",S_46de6da0,,,,,,
"S """"",S_e38d8da6,,,,,,
"SO """"",SO_7c7da523,,,,,,
"""""",narrator_78c9ab1b,,,,,,
"S """"",S_e3d523fc,,,,,,
"S """"",S_93965721,,,,,,
"SO """"",SO_18f6819a,,,,,,
"S """"",S_dde9a751_1,,,,,,
"""""",narrator_c1ae8da3,,,,,,
"SO """"",SO_731c7415,,,,,,
"S """"",S_bdd99c2d,,,,,,
"S """"",S_7442a708,,,,,,
"SO """"",SO_b8e1b013,,,,,,
"S """"",S_85dee37a,,,,,,
"S """"",S_2f04d506,,,,,,
"SO """"",SO_6637f9d6_3,,,,,,
"SO """"",SO_e1b2329d,,,,,,
"SO """"",SO_83b688b7,,,,,,
"""""",narrator_fb8541a0,,,,,,
"S """"",S_f3d275ef,,,,,,
"S """"",S_41d89724,,,,,,
"SO """"",SO_f5b2b517,,,,,,
"S """"",S_16b59fd6,,,,,,
"""""",narrator_ade03af1,,,,,,
"""""",narrator_5d77d591,*Slap* * Slap* * Smack*,,,,,
"S """"",S_80213b97,,,,,,
"S """"",S_98715049,,,,,,
"""""",narrator_6ffa2222,,,,,,
"""""",narrator_858329c5,,,,,,
"S """"",S_ae4a7ac1,,,,,,
"""""",narrator_a06673ed,,,,,,
"S """"",S_3ad9891f,,,,,,
"""""",narrator_43b36333,,,,,,
"""""",narrator_720b779c,,,,,,
"SO """"",SO_0158a78c,,,,,,
"S """"",S_b8fb2399,,,,,,
"""""",narrator_fd47112c,,,,,,
"S """"",S_23de1e34,,,,,,
"SO """"",SO_9f6eac34,,,,,,
"""""",narrator_4c09ada9,*Ppppppschsch * *Squish* * Smack*,,,,,
"S """"",S_5fd97094,,,,,,
"S """"",S_12c2e795,,,,,,
"S """"",S_bd5c4ef4,,,,,,
"SO """"",SO_a5177080,,,,,,
"""""",narrator_5deb2e1a,,,,,,
"S """"",S_224077d0,,,,,,
"""""",narrator_3668d8c8,,,,,,
"S """"",S_57739189,,,,,,
"S """"",S_4c50f187,,,,,,
"SO """"",SO_5f9015e4,Io... io...,,,,,
"S """"",S_50c5778f,,,,,,
"SO """"",SO_2fe5da1a,,,,,,
"SO """"",SO_162be0c6,,,,,,
"SO """"",SO_1aea6416,,,,,,
"SO """"",SO_bc24c89e,,,,,,
"""""",narrator_8b412a3b,,,,,,
"S """"",S_9baf0fff,,,,,,
"SO """"",SO_40f6e0b7,,,,,,
"SO """"",SO_e45d1d7c,,,,,,
"""""",narrator_73f3e3dc,,,,,,
"S """"",S_84810b42,,,,,,
