location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"S1 """"",S1_809adfca,,,,,,
"S1 """"",S1_ce97b969,,,,,,
"""""",narrator_02fbe18d,,,,,,
"S1 """"",S1_1cca68a2,,,,,,
"""""",narrator_b054e07c,,,,,,
"H """"",H_fa944330,,,,,,
"S1 """"",S1_0a545336,,,,,,
"S1 """"",S1_ff7ce4b9,,,,,,
"H """"",H_62a4710c,,,,,,
"S1 """"",S1_997223bf,,,,,,
"S1 """"",S1_bafae301,,,,,,
"H """"",H_f99dcffc,,,,,,
"S1 """"",S1_6206a5e7,,,,,,
"""""",narrator_b578eb4c,,,,,,
"S1 """"",S1_0d59f5b4,,,,,,
"H """"",H_c8369225,,,,,,
"""""",narrator_1f190cb3,,,,,,
"S1 """"",S1_f0dbde56,,,,,,
"""""",narrator_fbba3ba6,,,,,,
"S1 """"",S1_ba3f5788,,,,,,
"""""",narrator_6693b0db,,,,,,
"S1 """"",S1_dcbeb5b6,,,,,,
"H """"",H_fc1225b8,,,,,,
"S1 """"",S1_a715bd1c,,,,,,
"S1 """"",S1_5b92e04e,,,,,,
"S1 """"",S1_ed2da89f,,,,,,
"S1 """"",S1_090286f4,,,,,,
"S1 """"",S1_f7e45d5a,,,,,,
"""""",narrator_b4303a3b,,,,,,
"H """"",H_37f824fc,,,,,,
"S1 """"",S1_6388e5dc,,,,,,
"H """"",H_e9c2a719,,,,,,
"S1 """"",S1_d8e5e163,,,,,,
"H """"",H_8fef9ef9,,,,,,
"""""",narrator_c033265b,,,,,,
"S1 """"",S1_480dd457,,,,,,
"S1 """"",S1_238d4eb9,,,,,,
"""""",narrator_b59acb40,,,,,,
"H """"",H_7df53dcb,,,,,,
"S1 """"",S1_320d1cfb,,,,,,
"H """"",H_43670c80,,,,,,
"S1 """"",S1_acb3a4e2,,,,,,
"H """"",H_64f22019,,,,,,
"S1 """"",S1_b3568f2a,,,,,,
"S1 """"",S1_72e8d4ac,,,,,,
"S1 """"",S1_ca112359,,,,,,
"S1 """"",S1_dfed5f8b,,,,,,
"""""",narrator_cbc6a8c5,,,,,,
"H """"",H_5569f889,,,,,,
"H """"",H_c266b086,,,,,,
"H """"",H_5fc613e8,,,,,,
"""""",narrator_3dc181ad,,,,,,
"S1 """"",S1_9fb169b4,,,,,,
"S1 """"",S1_8a01be33,,,,,,
"""""",narrator_ed044c53,,,,,,
"S1 """"",S1_bcb9cdd9,,,,,,
"S1 """"",S1_1cf59e5d,,,,,,
"H """"",H_059777fa,,,,,,
"""""",narrator_61a08172,,,,,,
"S1 """"",S1_d4eaef17,,,,,,
"""""",narrator_56a063f1,,,,,,
"""""",narrator_9c1412c9,,,,,,
"H """"",H_7f1596e9,,,,,,
"S1 """"",S1_7d5e3d3b,,,,,,
"H """"",H_e087bc39,,,,,,
"S1 """"",S1_b9cbe67a,,,,,,
"H """"",H_e358e88b,,,,,,
"H """"",H_6f54bbaa,,,,,,
"S1 """"",S1_9a8dfd66,,,,,,
"""""",narrator_5aeab54c,,,,,,
"S1 """"",S1_d8e12649,,,,,,
"H """"",H_b5174f5e,,,,,,
"H """"",H_530f870f,,,,,,
"S1 """"",S1_d85539a5,,,,,,
"""""",narrator_835aaf8b,,,,,,
"H """"",H_5a9e5d17,,,,,,
"S1 """"",S1_128d6f60,,,,,,
"S1 """"",S1_2ca883e6,,,,,,
"H """"",H_7164cef9,,,,,,
"S1 """"",S1_b76e8a1d,,,,,,
"""""",narrator_8f5a2051,,,,,,
"S1 """"",S1_79bd86c8,,,,,,
"""""",narrator_4ce8f55f,,,,,,
"H """"",H_5776e2e3,,,,,,
"S1 """"",S1_2a650f24,,,,,,
"H """"",H_9938dd59,,,,,,
"H """"",H_2e563ab5,,,,,,
"S1 """"",S1_fb80997c,,,,,,
"S1 """"",S1_238407f5,,,,,,
"""""",narrator_cfad4f50,,,,,,
"S1 """"",S1_facc2e94,,,,,,
"H """"",H_e6149f14,,,,,,
"S1 """"",S1_3a0c7504,,,,,,
"H """"",H_38ee1793,,,,,,
"""""",narrator_99c415d0,,,,,,
"S1 """"",S1_06e225de,,,,,,
"""""",narrator_ccbb15d7,,,,,,
"H """"",H_04f34863,,,,,,
"S1 """"",S1_651a19a1,,,,,,
"H """"",H_d7b54b13,,,,,,
"S1 """"",S1_a1e0a52a,,,,,,
"H """"",H_a08c3cb7,,,,,,
"H """"",H_3796180c,,,,,,
"S1 """"",S1_f8328671,,,,,,
"""""",narrator_b0e31848,,,,,,
"S1 """"",S1_81fc435f,,,,,,
"H """"",H_e6c89661,,,,,,
"S1 """"",S1_6a7d6074,,,,,,
"S1 """"",S1_b3cd6fba,,,,,,
"""""",narrator_918cee84,,,,,,
"H """"",H_47b8adce,,,,,,
"S1 """"",S1_842e2b49,,,,,,
"H """"",H_95f98e54,,,,,,
"S1 """"",S1_06e4b935,(Hee-hee-hee.),,,,,
"""""",narrator_7432143a,,,,,,
"H """"",H_967fe5e3,,,,,,
"S1 """"",S1_f543db19,,,,,,
"H """"",H_e6ac7167,,,,,,
"S1 """"",S1_a7148439,,,,,,
"H """"",H_8bfd2760,,,,,,
"S1 """"",S1_b25167e4,,,,,,
"H """"",H_f21682bc,,,,,,
"S1 """"",S1_a672e97e,,,,,,
"H """"",H_cc3ac10d,,,,,,
"S1 """"",S1_15bcfdf9,,,,,,
"H """"",H_aaf9ba35,,,,,,
"H """"",H_9c15276a,,,,,,
"S1 """"",S1_5d145602,,,,,,
"S1 """"",S1_fec934d2,,,,,,
"H """"",H_292a8bc5,,,,,,
"""""",narrator_23860ff2,,,,,,
"S1 """"",S1_942b1434,,,,,,
"S1 """"",S1_0f5afcbf,,,,,,
"H """"",H_52a17785,,,,,,
"S1 """"",S1_5387a9de,,,,,,
"""""",narrator_b0e31848_1,,,,,,
"H """"",H_b98609c0,,,,,,
"S1 """"",S1_fa1ec4e0,,,,,,
"""""",narrator_57249a36,,,,,,
"H """"",H_24f2f8ad,,,,,,
"H """"",H_07214329,,,,,,
"""""",narrator_7b9f7172,,,,,,
"S1 """"",S1_59135373,,,,,,
"""""",narrator_46fd73b4,,,,,,
"H """"",H_369f310f,,,,,,
"H """"",H_4f47762c,,,,,,
"""""",narrator_3dd28618,,,,,,
"S1 """"",S1_e76afcbd,,,,,,
"H """"",H_b94ef4e5,,,,,,
"""""",narrator_46fd73b4_1,,,,,,
"S1 """"",S1_585c469b,,,,,,
"""""",narrator_ae119923,,,,,,
"S1 """"",S1_bff334e5,,,,,,
"S1 """"",S1_84d66687,,,,,,
"""""",narrator_46fd73b4_2,,,,,,
"H """"",H_ff1d45fd,,,,,,
"""""",narrator_ff834091,,,,,,
"H """"",H_074eb673,,,,,,
"S1 """"",S1_502b45dc,,,,,,
"S1 """"",S1_7f6e4b6c,,,,,,
"S1 """"",S1_c49406c1,,,,,,
"H """"",H_291ad264,,,,,,
"S1 """"",S1_5a656ef1,,,,,,
