"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"S """"","S_5a6723ea","","","False","","",""
"S """"","S_83cc49b8","","","False","","",""
"S """"","S_c5ce5e66","","","False","","",""
"C """"","C_ebb29fb2","","","False","","",""
"S """"","S_fbf8b831","","","False","","",""
"C """"","C_370eb75c","","","False","","",""
"S """"","S_7ffdecc6","","","False","","",""
"S """"","S_fd2ec4e0","","","False","","",""
"S """"","S_c5d24243","","","False","","",""
"S """"","S_82a93d5b","","","False","","",""
"S """"","S_a8b3f742","","","False","","",""
"S """"","S_59817a33","","","False","","",""
"C """"","C_7e5f91ca","","","False","","",""
"S """"","S_a75fadfe","","","False","","",""
"C """"","C_42538697","","","False","","",""
"S """"","S_c0c81ded","","","False","","",""
"C """"","C_a34f7c5a","","","False","","",""
"S """"","S_f5a5934a","","","False","","",""
"S """"","S_9587c939","","","False","","",""
"S """"","S_11eb1b6c","","","False","","",""
"S """"","S_22b7dbe1","","","False","","",""
"""""","narrator_c580741a","","","False","","",""
"""""","narrator_ac87733f","","","False","","",""
"C """"","C_5758f7f9","","","False","","",""
"S """"","S_68fa137f","","","False","","",""
"C """"","C_94a7f783","","","False","","",""
"centered """"","centered_58aa6f77","","","False","","",""
"centered """"","centered_1d04c013","","","False","","",""
"S """"","S_a7aedf11","","","False","","",""
"S """"","S_2f900e6c","","","False","","",""
"S """"","S_e9e12dd6","","","False","","",""
"""""","narrator_5aada39d","","","False","","",""
"S """"","S_8c562373","","","False","","",""
"S """"","S_131ab461","","","False","","",""
"""""","narrator_b6759ead","","","False","","",""
"S """"","S_19c12d4e","","","False","","",""
"S """"","S_aba7ed9e","","","False","","",""
"""""","narrator_694e6b1c","","","False","","",""
"S """"","S_40fac1e0","","","False","","",""
"S1 """"","S1_d9427941","","","False","","",""
"S1 """"","S1_e5f0d0ea","","","False","","",""
"S1 """"","S1_0fa06229","","","False","","",""
"S1 """"","S1_d9ea607f","","","False","","",""
"S1 """"","S1_1619a309","","","False","","",""
"""""","narrator_54d49166","","","False","","",""
"S1 """"","S1_70617264","","","False","","",""
"S1 """"","S1_fadc8ff1","","","False","","",""
"""""","narrator_ed8aa206","","","False","","",""
"S1 """"","S1_dd1d5000","","","False","","",""
"S1 """"","S1_82b01b91","","","False","","",""
"S1 """"","S1_6100f894","","","False","","",""
"S1 """"","S1_647fdeb4","","","False","","",""
"S1 """"","S1_2c2fb4ba","","","False","","",""
"""""","narrator_57812c0e","","","False","","",""
"S1 """"","S1_76ff12b3","","","False","","",""
"S1 """"","S1_ec907576","","","False","","",""
"S1 """"","S1_062a80d2","","","False","","",""
"S1 """"","S1_09246d99","","","False","","",""
"S1 """"","S1_7accca80","","","False","","",""
"S1 """"","S1_d6e56206","","","False","","",""
"""""","narrator_8e2c9099","","","False","","",""
"centered """"","centered_2ddfbf53","","","False","","",""
"S1 """"","S1_f98c0c50","","","False","","",""
