location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"""""",narrator_b232f796,,,,,,
"L """"",L_3c430fcd,,,,,,
"L """"",L_d8427cdc,,,,,,
"L """"",L_af422b08,,,,,,
"S1 """"",S1_2063f4de,,,,,,
"L """"",L_7d4df61f,,,,,,
"S1 """"",S1_c9d31ddf,,,,,,
"""""",narrator_d5a82785,,,,,,
"L """"",L_b285a6fb,,,,,,
"S1 """"",S1_248a8cb4,,,,,,
"""""",narrator_b1a20967,,,,,,
"S1 """"",S1_c70c6ef5,,,,,,
"S1 """"",S1_8c0fdac5,,,,,,
"S1 """"",S1_30bd8cf5,,,,,,
"""""",narrator_9ba4bbc5,,,,,,
"S1 """"",S1_9b8392e5,,,,,,
"L """"",L_891b8b19,,,,,,
"L """"",L_255c8c6a,,,,,,
"""""",narrator_1d899329,,,,,,
"L """"",L_1757cce2,,,,,,
"S1 """"",S1_0e7a1229,,,,,,
"""""",narrator_0664942a,,,,,,
"S1 """"",S1_da2911c3,,,,,,
"S1 """"",S1_16691aff,,,,,,
"L """"",L_4c8ba2fb,,,,,,
"S1 """"",S1_01777292,,,,,,
"S1 """"",S1_bf3625ea,,,,,,
"L """"",L_d85e3e7c,,,,,,
"""""",narrator_72f16301,,,,,,
"""""",narrator_383c759c,,,,,,
"L """"",L_7e27a0b3,,,,,,
"""""",narrator_a797f5f0,,,,,,
"S1 """"",S1_be86c17b,,,,,,
"L """"",L_46051973,,,,,,
"S1 """"",S1_57b3c9c8,,,,,,
"S1 """"",S1_93f61e36,,,,,,
"S1 """"",S1_4c4de2b4,,,,,,
"S1 """"",S1_4597c4d3,,,,,,
"L """"",L_0565786d,,,,,,
"S1 """"",S1_55d626d7,,,,,,
"S1 """"",S1_266db1e9,,,,,,
"""""",narrator_7e20db87,,,,,,
"L """"",L_a6fab628,,,,,,
"S1 """"",S1_1106b981,,,,,,
"S1 """"",S1_dac7fa5d,,,,,,
"S1 """"",S1_b6158e95,,,,,,
"S1 """"",S1_dd98b014,,,,,,
"""""",narrator_c9b182ee,,,,,,
"L """"",L_24847058,,,,,,
"S1 """"",S1_6530ee2c,,,,,,
"L """"",L_c09b3d37,,,,,,
"S1 """"",S1_b97c37ae,,,,,,
"L """"",L_2f1d77a0,,,,,,
"""""",narrator_9c5bb83a,,,,,,
"S1 """"",S1_392ea53a,,,,,,
"L """"",L_57add02d,,,,,,
"S1 """"",S1_2a0eeced,,,,,,
"L """"",L_71a2cc65,,,,,,
"S1 """"",S1_920e740e,Veramente?,,,,,
"L """"",L_31892db3,,,,,,
"L """"",L_81f85fe8,,,,,,
"S1 """"",S1_26bdf469,,,,,,
"L """"",L_6e768231,,,,,,
"S1 """"",S1_02848b2a,,,,,,
"L """"",L_1665b459,,,,,,
"S1 """"",S1_11a2f6d2,,,,,,
"S1 """"",S1_8c62881b,,,,,,
"""""",narrator_b4e4a19a,,,,,,
"S1 """"",S1_a80ef16b,,,,,,
"""""",narrator_4ff50928,,,,,,
"L """"",L_cb644b5b,,,,,,
"S1 """"",S1_cf1b1f6c,,,,,,
"L """"",L_b4ea86ca,,,,,,
"S1 """"",S1_b184cb52,,,,,,
"S1 """"",S1_e228b047,,,,,,
"""""",narrator_0e5846d0,,,,,,
"L """"",L_c00dab5b,,,,,,
"S1 """"",S1_37385c82,,,,,,
"""""",narrator_c94e1f4d,,,,,,
"L """"",L_9497faa3,,,,,,
"L """"",L_f226f2e8,,,,,,
"S1 """"",S1_4418495b,*Lick* * Squish* * Smack*,,,,,
"""""",narrator_ba1c288f,,,,,,
"L """"",L_3eb6970c,,,,,,
"S1 """"",S1_8af60b4b,,,,,,
"S1 """"",S1_320c7ba2,,,,,,
"L """"",L_7a70f283,,,,,,
"L """"",L_dcc61130,,,,,,
"S1 """"",S1_97a5c434,,,,,,
"S1 """"",S1_0e2844ac,,,,,,
"L """"",L_f742690b,,,,,,
"S1 """"",S1_fe925d2a,,,,,,
"""""",narrator_6caa35a5,,,,,,
"S1 """"",S1_c2a2f780,,,,,,
"L """"",L_d69bc5d3,,,,,,
"""""",narrator_5bbc4a42,,,,,,
"S1 """"",S1_32bccc52,,,,,,
"S1 """"",S1_e7aac84a,,,,,,
"S1 """"",S1_22739528,,,,,,
"L """"",L_1ed29873,,,,,,
"S1 """"",S1_00ccc8c0,,,,,,
"S1 """"",S1_372c749b,,,,,,
"L """"",L_e12ac2d5,,,,,,
"""""",narrator_ded8d4de,,,,,,
"L """"",L_5c5af44b,,,,,,
"""""",narrator_03e6f28b,,,,,,
"S1 """"",S1_ec12befb,,,,,,
"S1 """"",S1_32436de3,,,,,,
"""""",narrator_01794ef2,,,,,,
"L """"",L_4ae4e81d,,,,,,
"""""",narrator_521fb106,,,,,,
"L """"",L_ef5fb673,,,,,,
"L """"",L_c6833e41,,,,,,
"S1 """"",S1_b6cb7263,Ha-ha-ha!,,,,,
"L """"",L_9ab42a79,,,,,,
"L """"",L_fe28f0ac,,,,,,
"L """"",L_f4f07631,,,,,,
"S1 """"",S1_d8bd3197,,,,,,
"L """"",L_e831ffe2,,,,,,
"""""",narrator_cfec0415,,,,,,
"S1 """"",S1_5b4cfb35,,,,,,
"S1 """"",S1_be8f4eec,,,,,,
"S1 """"",S1_52dfb436,,,,,,
"S1 """"",S1_347104de,,,,,,
"S1 """"",S1_0e971280,,,,,,
"L """"",L_af338b06,,,,,,
"""""",narrator_5be3a4fc,,,,,,
