location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"L """"",L_7409269b,,,,,,
"S """"",S_e529eafb,,,,,,
"L """"",L_1483b056,,,,,,
"S """"",S_561a3986,,,,,,
"S """"",S_42b53831,,,,,,
"L """"",L_0e7078b8,,,,,,
"S """"",S_74824b26,,,,,,
"L """"",L_2863de9c,,,,,,
"S """"",S_7a281af6,,,,,,
"L """"",L_ecdecaf4,,,,,,
"S """"",S_ab966468,,,,,,
"L """"",L_79c1afde,,,,,,
"S """"",S_08732e20,,,,,,
"L """"",L_5542942e,,,,,,
"L """"",L_14c90766,,,,,,
"S """"",S_3d75361d,,,,,,
"L """"",L_1c4a498a,,,,,,
"S """"",S_082838d1,,,,,,
"""""",narrator_97a63ed9,,,,,,
"S """"",S_504090b0,,,,,,
"L """"",L_f2947235,,,,,,
"""""",narrator_026ba0b7,,,,,,
"L """"",L_b932dab5,,,,,,
"L """"",L_77c32195,,,,,,
"L """"",L_d936bea1,,,,,,
"S """"",S_54a4af46,,,,,,
"L """"",L_990924a1,,,,,,
"L """"",L_c269332b,,,,,,
"S """"",S_faa7e995,,,,,,
"""""",narrator_c2313114,,,,,,
"S """"",S_74754ed1,,,,,,
"L """"",L_8ab56b7a,,,,,,
"S """"",S_f2789a72,,,,,,
"L """"",L_f91cb7ca,,,,,,
"S """"",S_406dab7a,,,,,,
"L """"",L_1372bfcb,,,,,,
"""""",narrator_879cfb7d,,,,,,
"S """"",S_69112a26,,,,,,
"S """"",S_db1c1c8c,,,,,,
"L """"",L_b9543fe3,,,,,,
"S """"",S_5fa9e5aa,,,,,,
"L """"",L_ad695f8d,,,,,,
"""""",narrator_af4f7443,,,,,,
"S """"",S_25997af8,,,,,,
"L """"",L_68fb918c,,,,,,
"S """"",S_514bb024,,,,,,
"L """"",L_39f9a958,,,,,,
"S """"",S_21c4d939,,,,,,
"L """"",L_c97fb941,,,,,,
"S """"",S_2dab1cf0,,,,,,
"S """"",S_6f1685a7,,,,,,
"L """"",L_da89c847,,,,,,
"S """"",S_72a78174,,,,,,
"""""",narrator_defffd74,,,,,,
"S """"",S_83630689,,,,,,
"S """"",S_e8953136,,,,,,
"S """"",S_fc190dc1,,,,,,
"L """"",L_0412edfd,,,,,,
"S """"",S_f9bf8c2c,,,,,,
"S """"",S_62da0592,,,,,,
"S """"",S_bb9dcdb2,,,,,,
"L """"",L_fc48dcac,,,,,,
"L """"",L_22abab7c,,,,,,
"S """"",S_356c2885,,,,,,
"S """"",S_7a879ed1,,,,,,
"L """"",L_7191c354,,,,,,
"L """"",L_677bf643,,,,,,
"L """"",L_0ec24985,,,,,,
"L """"",L_6bcf0766,,,,,,
"L """"",L_3b475d7e,,,,,,
"L """"",L_b24f6804,,,,,,
"L """"",L_7b83776b,,,,,,
"L """"",L_de0c8da0,,,,,,
"L """"",L_83ce4d90,,,,,,
"L """"",L_ee4cb81c,,,,,,
"""""",narrator_f434ebc6,,,,,,
"S """"",S_6d019b86,,,,,,
"L """"",L_222450bd,,,,,,
"L """"",L_b2e167a1,,,,,,
"""""",narrator_baead47e,,,,,,
"L """"",L_835c63ef,,,,,,
"""""",narrator_ef41f359,,,,,,
"S """"",S_325715e3,,,,,,
"L """"",L_2d696f00,,,,,,
"S """"",S_274f0226,,,,,,
"L """"",L_99bd4694,,,,,,
"L """"",L_5d07e4db,,,,,,
"S """"",S_c1ffb508,,,,,,
"S """"",S_e1253365,,,,,,
"L """"",L_e6ace859,,,,,,
"L """"",L_803b6c4b,,,,,,
"L """"",L_de7101fc,,,,,,
"L """"",L_7e0c1381,,,,,,
"L """"",L_16865f8a,,,,,,
"S """"",S_7c0c9786,,,,,,
"L """"",L_9209fe96,,,,,,
"S """"",S_04c1e2ed,,,,,,
"L """"",L_f5deb2af,,,,,,
"S """"",S_76d95800,,,,,,
"S """"",S_a6a2a204,,,,,,
"L """"",L_53a2cccd,,,,,,
"L """"",L_790c183b,,,,,,
"S """"",S_9fdde3ff,,,,,,
"L """"",L_ddfb3e14,,,,,,
"S """"",S_5db5285e,,,,,,
"L """"",L_95dd2813,,,,,,
"S """"",S_6abb02e2,,,,,,
"S """"",S_99bc6656,,,,,,
"S """"",S_1a42aca8,,,,,,
"S """"",S_17f6ca1c,,,,,,
"""""",narrator_12427031,,,,,,
"S """"",S_573fb175,,,,,,
"L """"",L_42233617,,,,,,
"L """"",L_4c3b8299,,,,,,
"S """"",S_a3f7fe57,,,,,,
"L """"",L_df323f27,(Va bene allora.),,,,,
"S """"",S_0e0f56c6,,,,,,
"centered """"",centered_bc1ba3a5,,,,,,
"centered """"",centered_924c2d07,,,,,,
"S """"",S_3961c381,,,,,,
"L """"",L_f6e1b4fd,,,,,,
"S """"",S_158ccbbd,,,,,,
"L """"",L_40d4785f,,,,,,
"L """"",L_4acf4677,,,,,,
"L """"",L_3d5cead8,,,,,,
"L """"",L_8e8ef174,,,,,,
"L """"",L_2dd2a134,,,,,,
"S """"",S_022c0507,,,,,,
"S """"",S_b05f1f35,,,,,,
"L """"",L_42342747,,,,,,
"S """"",S_df423e9f,,,,,,
"S """"",S_df3b0ac0,,,,,,
"L """"",L_87043bec,,,,,,
"""""",narrator_b802652d,,,,,,
"S """"",S_aeab5bc1,,,,,,
"S """"",S_5dcec42f,,,,,,
"S """"",S_63701f77,,,,,,
"""""",narrator_7cbb5235,,,,,,
"S """"",S_23af42ff,,,,,,
"S1 """"",S1_ff3ce155,,,,,,
"S """"",S_efd6c992,,,,,,
"S """"",S_cebc157e,,,,,,
"""""",narrator_db441d2e,,,,,,
"S """"",S_1750003c,,,,,,
"""""",narrator_92c5413b,,,,,,
"S """"",S_ccea1056,,,,,,
"S1 """"",S1_e23b477b,,,,,,
"S1 """"",S1_809e032b,,,,,,
"""""",narrator_d2593cba,,,,,,
"""""",narrator_34160e81,,,,,,
"S1 """"",S1_918550ee,,,,,,
"""""",narrator_9e37a584,,,,,,
"S """"",S_20b7eab0,,,,,,
"S1 """"",S1_2786f0d7,,,,,,
"S1 """"",S1_c9ae351a,,,,,,
"S """"",S_b5b20d86,,,,,,
"S """"",S_efe31d7b,,,,,,
"""""",narrator_359ab41f,,,,,,
"S1 """"",S1_334029a3,,,,,,
"""""",narrator_a78dd02b,,,,,,
"""""",narrator_d2593cba_1,,,,,,
"S1 """"",S1_6a8b7901,,,,,,
"""""",narrator_c1a6b8e6,,,,,,
"S1 """"",S1_3fba4ee5,,,,,,
"""""",narrator_57cc54ec,,,,,,
"""""",narrator_77066e69,,,,,,
"S1 """"",S1_aa2dc38a,,,,,,
"S """"",S_3af5efb9,,,,,,
"S1 """"",S1_16672882,,,,,,
"""""",narrator_922e22d0,,,,,,
"S """"",S_06b1ca7b,,,,,,
"""""",narrator_81a6ba17,,,,,,
"""""",narrator_d9b55159,,,,,,
"S1 """"",S1_ab488739,,,,,,
"""""",narrator_ee26a5ab,,,,,,
"S1 """"",S1_4a11e79f,,,,,,
"""""",narrator_f3d1cf79,,,,,,
"S """"",S_6b022822,,,,,,
"S1 """"",S1_ad8335ca,,,,,,
"S """"",S_23439a06,,,,,,
"S1 """"",S1_89798c65,,,,,,
"""""",narrator_c204c199,,,,,,
"S1 """"",S1_cadd3377,,,,,,
"S1 """"",S1_c21fee1e,,,,,,
"""""",narrator_6abd7d42,,,,,,
"S """"",S_dbfef925,,,,,,
"S1 """"",S1_bcecd883,,,,,,
"S1 """"",S1_f6814d57,,,,,,
"S """"",S_eb090ceb,,,,,,
"""""",narrator_0e50f4a6,,,,,,
"S1 """"",S1_d315a4fd,,,,,,
"S1 """"",S1_3ef42d52,,,,,,
"S """"",S_044560d7,,,,,,
"S1 """"",S1_877d76bd,,,,,,
"""""",narrator_25e7df10,,,,,,
"S """"",S_110ae60d,,,,,,
"S1 """"",S1_803b85a3,,,,,,
"S1 """"",S1_948c90f0,,,,,,
"S """"",S_34d9a94d,,,,,,
"""""",narrator_b10c289d,,,,,,
"S """"",S_0c86421b,,,,,,
"S1 """"",S1_cde38ba8,,,,,,
"S """"",S_ddb0d84f,,,,,,
"S1 """"",S1_3cdb5101,,,,,,
"S """"",S_be5593a7,,,,,,
"S1 """"",S1_81009d95,,,,,,
"S1 """"",S1_ad2970d6,,,,,,
"S """"",S_e259b5ad,,,,,,
"S1 """"",S1_67709c00,,,,,,
"S """"",S_f8adb273,,,,,,
"S1 """"",S1_334c43ce,,,,,,
"S1 """"",S1_2749d823,,,,,,
"S """"",S_4d82a53f,,,,,,
"centered """"",centered_a3b61c02,,,,,,
"""""",narrator_4ee33ce0,,,,,,
"L """"",L_1bc578e1,,,,,,
"L """"",L_246457c3,,,,,,
"S """"",S_0b74a4c8,,,,,,
"L """"",L_649cd795,,,,,,
"S """"",S_54237721,Che cosa?,,,,,
"L """"",L_94b5cf5f,,,,,,
"""""",narrator_45cc9a1d,,,,,,
"S """"",S_e114b9d8,,,,,,
"L """"",L_91399b31,,,,,,
"S """"",S_6628a0d6,,,,,,
"S """"",S_ebe9bb9b,,,,,,
"S """"",S_680f21b7,,,,,,
