location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"Q """"",Q_5e2d1695,,,,,,
"""""",narrator_b80b86c6,,,,,,
"S1 """"",S1_fce777ba,,,,,,
"Q """"",Q_b0bcf77c,,,,,,
"""""",narrator_6e048eef,,,,,,
"S1 """"",S1_809246d2,,,,,,
"Q """"",Q_201196a6,Lo voglio...,,,,,
"""""",narrator_823b78be,,,,,,
"S1 """"",S1_f6ca1157,,,,,,
"Q """"",Q_3125196d,,,,,,
"""""",narrator_89e66034,,,,,,
"S1 """"",S1_8c9e17d5,,,,,,
"S1 """"",S1_fe5f6e28,,,,,,
"""""",narrator_3d6e8fbf,,,,,,
"Q """"",Q_4e09126e,,,,,,
"S1 """"",S1_38934e03,,,,,,
"""""",narrator_dbb3b65d,,,,,,
"S1 """"",S1_1e58504f,,,,,,
"S1 """"",S1_b1efeffb,,,,,,
"S1 """"",S1_135821dc,,,,,,
"Q """"",Q_12a041a3,,,,,,
"Q """"",Q_0c8b26b4,,,,,,
"Q """"",Q_96cad49e,,,,,,
"Q """"",Q_fd5065e4,,,,,,
"""""",narrator_91f44aca,,,,,,
"S1 """"",S1_ce3b5d2c,,,,,,
"S1 """"",S1_fb0163c5,,,,,,
"""""",narrator_617c8c9e,,,,,,
"S1 """"",S1_644a3df9,,,,,,
"Q """"",Q_8b6b4650,,,,,,
"""""",narrator_4e0bc02a,,,,,,
"S1 """"",S1_ec59d942,,,,,,
"""""",narrator_d1d15f2e,,,,,,
"S1 """"",S1_9f1ecf84,,,,,,
"""""",narrator_bf61e6cd,,,,,,
"Q """"",Q_bf5181e7,,,,,,
"S1 """"",S1_892f3c65,,,,,,
"Q """"",Q_fa3e0f29,,,,,,
"Q """"",Q_cdf9b052,,,,,,
"S1 """"",S1_ec9debf8,,,,,,
"S1 """"",S1_9d8e638d,,,,,,
"S1 """"",S1_e79cafea,,,,,,
"S1 """"",S1_f7051d21,,,,,,
"S1 """"",S1_c90aeb0e,,,,,,
"Q """"",Q_21381a3d,,,,,,
"Q """"",Q_0f957960,,,,,,
"""""",narrator_48942715,,,,,,
"S1 """"",S1_6e2d89dd,,,,,,
"""""",narrator_ed1796f9,,,,,,
"S1 """"",S1_062a9b6e,,,,,,
"S1 """"",S1_477c0fd8,,,,,,
"S1 """"",S1_ed4a995f,,,,,,
"""""",narrator_91d76a8b,,,,,,
"""""",narrator_464acee7,,,,,,
