location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"centered_history """"",centered_history_20e59fb7,,,,,,
"S """"",S_808e294c,,,,,,
"centered_history """"",centered_history_3a57a105,,,,,,
"centered_history """"",centered_history_c1ed148d,,,,,,
"centered_history """"",centered_history_aac34e72,,,,,,
"centered_history """"",centered_history_65bbb47d,,,,,,
"centered_history """"",centered_history_3eb511d7,,,,,,
"centered_history """"",centered_history_b9443ba6,,,,,,
"centered_history """"",centered_history_873f1d1a,,,,,,
"centered_history """"",centered_history_ec022c8c,,,,,,
"centered_history """"",centered_history_0b6753cd,,,,,,
"centered_history """"",centered_history_13ce8712,,,,,,
"centered_history """"",centered_history_860bfd9b,,,,,,
"centered_history """"",centered_history_8ac4b67b,,,,,,
"centered_history """"",centered_history_f22bd5a9,,,,,,
"centered_history """"",centered_history_7edbf989,,,,,,
"centered_history """"",centered_history_00fd3cfa,,,,,,
"centered_history """"",centered_history_bd7efb16,,,,,,
"centered_history """"",centered_history_ebe7fdad,,,,,,
"centered_history """"",centered_history_e6539206,,,,,,
