location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"""""",narrator_4d3a53e6,,,,,,
"centered """"",centered_24b90391,,,,,,
"""""",narrator_f3b47764,,,,,,
"centered """"",centered_cacd2594,,,,,,
"centered """"",centered_42d5c644,,,,,,
"centered """"",centered_20caf1b2,,,,,,
"""""",narrator_d19a574e,,,,,,
"centered """"",centered_9e67e1a8,,,,,,
"centered """"",centered_a8152c27,,,,,,
"centered """"",centered_75a74c3f,,,,,,
"centered """"",centered_fc77cbc2,,,,,,
"S1 """"",S1_ee05c735,,,,,,
"S1 """"",S1_581376a6,,,,,,
"S1 """"",S1_0cc21b3d,,,,,,
"""""",narrator_5c9f7408,,,,,,
"S """"",S_d63cdc26,,,,,,
"S1 """"",S1_35a1fdfc,,,,,,
"S """"",S_7c775291,,,,,,
"S1 """"",S1_6f349708,,,,,,
"S """"",S_7612cd2f,,,,,,
"S1 """"",S1_c184a6db,,,,,,
"S """"",S_72f0e941,,,,,,
"S1 """"",S1_c3f0b743,,,,,,
"S1 """"",S1_d0731ca5,,,,,,
"S1 """"",S1_9eb7d986,,,,,,
"""""",narrator_2681f5eb,,,,,,
"S """"",S_a07fe083,,,,,,
"S1 """"",S1_7d4f0660,,,,,,
"""""",narrator_3e2ede84,,,,,,
"S """"",S_8d4273b8,,,,,,
"S1 """"",S1_4f27b78b,,,,,,
"""""",narrator_3fd7067d,,,,,,
"S """"",S_a1bfb4eb,,,,,,
"S1 """"",S1_b98009de,,,,,,
"S1 """"",S1_e993cbfe,,,,,,
"S1 """"",S1_650bb201,,,,,,
"S """"",S_29ecf40a,,,,,,
"S1 """"",S1_ba0d4803,,,,,,
"""""",narrator_c0a63bca,,,,,,
"S """"",S_24b7c277,,,,,,
"""""",narrator_b52727b8,,,,,,
"S1 """"",S1_146ea5e7,,,,,,
"S1 """"",S1_75694c94,,,,,,
"S """"",S_992db440,,,,,,
"""""",narrator_9df837b2,,,,,,
"S1 """"",S1_96d8cf96,,,,,,
"S1 """"",S1_e167f764,,,,,,
"S """"",S_4f41f839,,,,,,
"S1 """"",S1_063ff23b,,,,,,
"S """"",S_35341ec5,,,,,,
"""""",narrator_a926d194,,,,,,
"centered """"",centered_cae33981,,,,,,
"""""",narrator_739facf7,,,,,,
"centered """"",centered_3d10393e,,,,,,
"centered """"",centered_f075cd11,,,,,,
"centered """"",centered_f8e5397e,,,,,,
"centered """"",centered_1d9fda7f,,,,,,
"""""",narrator_57942d80,,,,,,
"S """"",S_3d69ef42,,,,,,
"""""",narrator_5ad898f5,,,,,,
"S """"",S_a6d48285,,,,,,
"S1 """"",S1_0fe25bad,,,,,,
"""""",narrator_b924d81b,,,,,,
"S """"",S_4c2cae3c,,,,,,
"S """"",S_63deef29,,,,,,
"S1 """"",S1_26d83c4f,,,,,,
"S1 """"",S1_b58c1e16,,,,,,
"S """"",S_ef2ee3e7,,,,,,
"S1 """"",S1_8978f1b6,,,,,,
"S """"",S_ab81677f,,,,,,
"""""",narrator_1d9cadc7,,,,,,
"S1 """"",S1_b5a6b1a4,,,,,,
"""""",narrator_d6e48932,,,,,,
"S """"",S_b6d12221,,,,,,
"S1 """"",S1_a0d9308e,,,,,,
"S """"",S_5ae888cb,,,,,,
"S """"",S_88f4d758,,,,,,
"""""",narrator_f16dde01,,,,,,
