"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"S """"","S_60a3f846","","","","","",""
"C """"","C_27c9fa41","","","","","",""
"S """"","S_c3d9a083","","","","","",""
"""""","narrator_11b1ac42","","","","","",""
"S1 """"","S1_c218a3d3","","","","","",""
"S """"","S_56c9739d","","","","","",""
"S1 """"","S1_aea2a576","","","","","",""
"S """"","S_e8b9ed9f","","","","","",""
"S1 """"","S1_348d58d2","","","","","",""
"S """"","S_55d18d0f","","","","","",""
"S1 """"","S1_082207a5","","","","","",""
"S """"","S_10d0f289","","","","","",""
"S1 """"","S1_e4b33ae8","","","","","",""
"S """"","S_15ee3962","","","","","",""
"S1 """"","S1_72002424","","","","","",""
"S """"","S_18f376c8","","","","","",""
"S1 """"","S1_ec1e860b","","","","","",""
"S """"","S_1ad398bb","","","","","",""
"S1 """"","S1_ec8caa43","","","","","",""
"S1 """"","S1_41783af6","","","","","",""
"S """"","S_c1d21133","","","","","",""
"S """"","S_51a4938a","","","","","",""
"S1 """"","S1_c25b03c1","","","","","",""
"S """"","S_3d0192d5","","","","","",""
"S1 """"","S1_ef47ec3c","","","","","",""
"S1 """"","S1_8580942a","","","","","",""
"S """"","S_97a035ce","","","","","",""
"S1 """"","S1_fe088752","","","","","",""
"S """"","S_2d15db6d","","","","","",""
"S1 """"","S1_1955ae50","","","","","",""
"S """"","S_21027d77","","","","","",""
"S1 """"","S1_3f7145a3","","","","","",""
"S1 """"","S1_821af4c3","","","","","",""
"S """"","S_f74a9644","","","","","",""
"S1 """"","S1_d8d6f2d9","","","","","",""
"S1 """"","S1_914515d8","","","","","",""
"S1 """"","S1_3f2e3fb6","","","","","",""
"S """"","S_eb6bf0a9","","","","","",""
"S1 """"","S1_e8b96920","","","","","",""
"S1 """"","S1_7e5ada54","","","","","",""
"S """"","S_97048a67","","","","","",""
"S1 """"","S1_924da249","","","","","",""
"S1 """"","S1_e6ce6c41","","","","","",""
"S1 """"","S1_510d0509","","","","","",""
"S """"","S_85561d81","","","","","",""
"S1 """"","S1_f64bd9ba","","","","","",""
"S1 """"","S1_ab044366","","","","","",""
"S """"","S_03a269db","","","","","",""
"S1 """"","S1_7783246b","","","","","",""
"S1 """"","S1_206c118e","","","","","",""
"S1 """"","S1_7072b7c8","","","","","",""
"S1 """"","S1_6e9998e5","","","","","",""
"S """"","S_71a23e0b","","","","","",""
"S """"","S_437efd0b","","","","","",""
"S1 """"","S1_aa544fff","","","","","",""
"S """"","S_b8d305a4","","","","","",""
"S1 """"","S1_75d4ef18","","","","","",""
"S1 """"","S1_a702ddd2","","","","","",""
"S1 """"","S1_4a020235","","","","","",""
"S """"","S_48737293","","","","","",""
"S1 """"","S1_795cfe18","","","","","",""
"""""","narrator_9cc3363a","","","","","",""
"S """"","S_048a1089","","","","","",""
"C """"","C_43ae61f3","","","","","",""
"S """"","S_ff0af464","","","","","",""
"C """"","C_2e931613","","","","","",""
"S """"","S_96c9b642","","","","","",""
"S """"","S_4332469d","","","","","",""
"C """"","C_6250278c","","","","","",""
"S """"","S_45defb37","","","","","",""
"C """"","C_ba4d872a","","","","","",""
"C """"","C_33e650c7","","","","","",""
"S """"","S_bcceca11","","","","","",""
"C """"","C_4b19fabf","","","","","",""
"S """"","S_67e6f06b","","","","","",""
"C """"","C_96b42465","","","","","",""
"S """"","S_4944ff6e","","","","","",""
"C """"","C_8174ecab","","","","","",""
"S """"","S_0554d62d","","","","","",""
"C """"","C_40b6449e","","","","","",""
"S """"","S_ae9b8f59","","","","","",""
"C """"","C_bde4bd52","","","","","",""
"S """"","S_1ff15c7c","","","","","",""
"centered """"","centered_bf80c9fa","","","","","",""
"centered """"","centered_351d5a8f","","","","","",""
"centered """"","centered_ddf58db8","","","","","",""
"centered """"","centered_66476ee8","","","","","",""
"centered """"","centered_8c3385b9","","","","","",""
"centered """"","centered_0a027786","","","","","",""
"centered """"","centered_cb248970","","","","","",""
"centered """"","centered_99e8de40","","","","","",""
"centered """"","centered_2d8b2b91","","","","","",""
