"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"S """"","S_2fb32438","Sono davvero stanco, ho bisogno di dormire un po '.","","","","",""
"""""","narrator_a6aa0dcc","Sarah è ancora più stanca del solito dal momento che non ha ricevuto abbastanza cibo. Lei cade sul suo letto e si addormenta.","","","","",""
"""""","narrator_bf17f3d9","","","","","",""
"""""","narrator_d56952af","Sarah è molto stanca. Si sdraia e si addormenta immediatamente.","","","","",""
"""""","narrator_43586160","Sarah non si è allenata in due giorni, le sue capacità soffrono a causa di ciò. Dovrebbe fare un po 'di allenamento fisico presto.","","","","",""
"""""","narrator_87288f25","","","","","",""
"S """"","S_8cdc7285","Non credo sia una buona idea. Devo concentrarmi sul mio addestramento attuale.","","","","",""
"S """"","S_688465af","Non posso farlo adesso, dovrei mettere prima la lingerie...","","","","",""
"S """"","S_15c7b011","Grande, quindi cosa dovrei fare oggi?","","","","",""
"C """"","C_e39b7b24","(Fammi indovinare, non credevi ai tuoi genitori quando ti hanno detto di non infilare le dita nella presa di corrente, vero? Non hai visto il testo che ti dice che non c'è niente da vedere qui? Anche se è abbastanza interessante vedere come si inserirà Sarah qui.)","","","","",""
"""""","narrator_34a6e31a","Sarah guarda dentro il buco, cercando di vedere dove conduce.","","","","",""
"""""","narrator_a873a70f","Non impara nulla, dal momento che il buco è avvolto dall'oscurità dall'altra parte e lei non ha alcuna fonte di luce.","","","","",""
"S """"","S_54055bdd","","","","","",""
"S """"","S_5f026e75","Non riesco a vedere nulla!","","","","",""
"S """"","S_c30949f5","Hm, dove conduce...","","","","",""
"S """"","S_5fef071b","Solo un modo per impararlo, salire dentro!","","","","",""
"S """"","S_b134784b","(Potrebbe essere una trappola, ma devo cercare in tutti i modi di scappare da questo posto che mi è stato presentato!)","","","","",""
"S """"","S_61f9f507","È un po 'piccolo, ma devo almeno provare.","","","","",""
"""""","narrator_ac06ddd6","Sarah, dopo aver esaminato attentamente il buco, vi infilò la mano per controllare che fosse al sicuro dall'altra parte.","","","","",""
"""""","narrator_14499473","Successivamente, ha stretto la testa attraverso di essa senza molto sforzo.","","","","",""
"""""","narrator_b02f8925","Ma quando ha cercato di mettere le sue spalle, i problemi sono sorti. Il buco era ancora troppo piccolo per lei.","","","","",""
"S """"","S_e649960a","Oh andiamo, devo passare!","","","","",""
"""""","narrator_a636acd7","Sarah lotta per un po ', ma non riesce nel minimo.","","","","",""
"S """"","S_4cc91c07","Dannazione!","","","","",""
"C """"","C_dc7d76d3","","","","","",""
"C """"","C_b8ef41da","(Se pensi di essere così magro, ti sbagli molto, molto male.)","","","","",""
"S """"","S_36db74d7","(Ha ragione... È decisamente impossibile per me infilarsi lì...)","","","","",""
"S """"","S_32359d37","Devo renderlo più grande!","","","","",""
"S """"","S_3f048848","Io... io non sono ancora pronto...","","","","",""
"S """"","S_f9d01f6d","N-no! Io-io non sono pronto a farlo di nuovo ...","","","","",""
"""""","narrator_5d0f9292","Sarah, ricordando quello che è successo l'ultima volta, ha inghiottito involontariamente la saliva accumulata nella sua bocca.","","","","",""
"S """"","S_3615a2fd","Ho bisogno di tempo per riprendermi.","","","","",""
"""""","narrator_0a86b855","","","","","",""
"S """"","S_cebb4cc0","(T-questa biancheria intima... mi impedisce di muovermi normalmente... Non sarò in grado di esercitare alcuna forza nelle mie mosse quando ci sarò dentro.)","","","","",""
"S """"","S_d59e07e8","È abbastanza grande per me da superare, non ho bisogno di renderlo ancora più grande.","","","","",""
"S """"","S_816da96d","Sono troppo stanco per continuare...","","","","",""
"""""","narrator_404656fe","Sarah fece un passo indietro verso il lato opposto della stanza, prese la rincorsa, e colpì il muro con la gamba a mezz'aria, che sembrava abbastanza spettacolare.","","","","",""
"""""","narrator_f770887f","","","","","",""
"S """"","S_0db2ecdf","Sono in gran forma e ci riuscirò!","","","","",""
"S """"","S_54055bdd_1","","","","","",""
"S """"","S_1f2b875d","Non penso che qualcosa sia cambiato...","","","","",""
"S """"","S_a1667e81","Dovrei allenarmi di più!","","","","",""
"""""","narrator_bfd9b8a7","Sarah non si è stancata del tutto dopo aver colpito il muro con una gamba e ha iniziato a prenderla a pugni.","","","","",""
"S """"","S_c769c425","","","","","",""
"extend """"","extend_a12ad493","","","","","",""
"extend """"","extend_a12ad493_1","","","","","",""
