location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"S """"",S_47992d84,,,,,,
"SO """"",SO_d7804ad2,,,,,,
"SO """"",SO_3b977296,,,,,,
"S """"",S_83e0b115,,,,,,
"SO """"",SO_037c6a8d,,,,,,
"S """"",S_9de21de5,,,,,,
"""""",narrator_76f894ff,,,,,,
"S """"",S_23b935ee,,,,,,
"S """"",S_8c154ba1,,,,,,
"SO """"",SO_3faf12e4,,,,,,
"S """"",S_2e5107ae,,,,,,
"S """"",S_527ce643,,,,,,
"S """"",S_0c25618c,,,,,,
"SO """"",SO_cd4df20d,,,,,,
"S """"",S_bce2c621,,,,,,
"SO """"",SO_352d5e18,,,,,,
"S """"",S_c9fc546a,,,,,,
"""""",narrator_ce476b18,,,,,,
"SO """"",SO_2a93f955,,,,,,
"S """"",S_be5ae176,,,,,,
"SO """"",SO_4e9f8102,,,,,,
"SO """"",SO_3b5b555b,,,,,,
"SO """"",SO_5330d535,,,,,,
"S """"",S_4852228f,,,,,,
"S """"",S_9a9f34a2,,,,,,
"SO """"",SO_40c990d9,,,,,,
"SO """"",SO_97cad838,,,,,,
"S """"",S_5607ea6b,,,,,,
"S """"",S_636a29bb,,,,,,
"SO """"",SO_f4559a03,,,,,,
"S """"",S_184f0e66,,,,,,
"centered """"",centered_3006a6b6,,,,,,
"S """"",S_548d9b46,,,,,,
"SO """"",SO_2a855461,,,,,,
"S """"",S_d4f63f1c,,,,,,
"S """"",S_ee943cfb,,,,,,
"SO """"",SO_f3e47f52,,,,,,
"S """"",S_7697b1f7,,,,,,
"SO """"",SO_715acb96,,,,,,
"S """"",S_75650e69,,,,,,
"SO """"",SO_53a47de3,,,,,,
"S """"",S_d6d4442d,,,,,,
"SO """"",SO_5b34d8ef,,,,,,
"S """"",S_4852228f_1,,,,,,
"S """"",S_247bd481,,,,,,
"S """"",S_9c702798,,,,,,
"SRight """"",SRight_e14ec218,,,,,,
"SO """"",SO_174908cd,,,,,,
"""""",narrator_0de8d2de,,,,,,
"SRight """"",SRight_69fd1833,,,,,,
"""""",narrator_57b97dcd,,,,,,
"SRight """"",SRight_ac06ba0e,,,,,,
"SOLeft """"",SOLeft_e6a3694b,,,,,,
"SOLeft """"",SOLeft_37ecdb0e,,,,,,
"""""",narrator_971cae1a,,,,,,
"SRight """"",SRight_7e640a5a,,,,,,
"""""",narrator_ba41e592,,,,,,
"SRight """"",SRight_dde08ede,,,,,,
"SOLeft """"",SOLeft_757dd0aa,,,,,,
"""""",narrator_2849ab29,,,,,,
"""""",narrator_5f749f73,,,,,,
"SRight """"",SRight_86f0a946,,,,,,
"SOLeft """"",SOLeft_bd46be36,,,,,,
"SRight """"",SRight_320b22cb,,,,,,
"SRight """"",SRight_c02abaaa,,,,,,
"""""",narrator_0f11dec0,,,,,,
"SRight """"",SRight_b1337113,,,,,,
"SRight """"",SRight_5f9c5af5,,,,,,
"SOLeft """"",SOLeft_a9bfc2e0,,,,,,
"SRight """"",SRight_c859e23f,,,,,,
"SOLeft """"",SOLeft_ff5a9ca9,,,,,,
"SOLeft """"",SOLeft_8c412255,,,,,,
"SOLeft """"",SOLeft_a9781003,,,,,,
"SRight """"",SRight_94c0d152,,,,,,
"SOLeft """"",SOLeft_5b244543,,,,,,
"SOLeft """"",SOLeft_b120d578,,,,,,
"SRight """"",SRight_0be181f1,,,,,,
"SRight """"",SRight_78a99f15,,,,,,
"SOLeft """"",SOLeft_70386d0d,,,,,,
"SOLeft """"",SOLeft_8055c4c1,,,,,,
"SOLeft """"",SOLeft_1c13e314,,,,,,
"SOLeft """"",SOLeft_10c0f6ae,,,,,,
"SOLeft """"",SOLeft_154ac0a0,,,,,,
"SRight """"",SRight_a457926a,,,,,,
"SOLeft """"",SOLeft_45835d46,,,,,,
"SRight """"",SRight_9678a3e1,,,,,,
"SRight """"",SRight_cf94cb4e,,,,,,
"SRight """"",SRight_833e6041,,,,,,
"SOLeft """"",SOLeft_a6ad6313,,,,,,
"SOLeft """"",SOLeft_3ce79b53,,,,,,
"SRight """"",SRight_e01769f7,,,,,,
"centered """"",centered_0e81b4a6,,,,,,
"SRight """"",SRight_71e35f1a,,,,,,
"""""",narrator_27588d5b,,,,,,
"SRight """"",SRight_da4eae5a,,,,,,
"SOLeft """"",SOLeft_01a72166,,,,,,
"SRight """"",SRight_a312033f,,,,,,
"SRight """"",SRight_1e28c1f4,,,,,,
"""""",narrator_e9c551d4,,,,,,
"SOLeft """"",SOLeft_782a2bf7,,,,,,
"SRight """"",SRight_a4066fc5,,,,,,
"SRight """"",SRight_a17414d4,,,,,,
"SOLeft """"",SOLeft_ea6d5e15,,,,,,
"SRight """"",SRight_1fec1f72,,,,,,
"SOLeft """"",SOLeft_b29dbb83,,,,,,
"SRight """"",SRight_7a919a71,,,,,,
"SRight """"",SRight_c5d261c4,,,,,,
"SOLeft """"",SOLeft_2df640f0,,,,,,
"SOLeft """"",SOLeft_47856d1f,,,,,,
"SOLeft """"",SOLeft_999ac5ce,,,,,,
"SRight """"",SRight_3fe7cde9,,,,,,
"SOLeft """"",SOLeft_89831ff7,,,,,,
"SRight """"",SRight_b4f389ec,,,,,,
"SRight """"",SRight_c1844fc3,,,,,,
"SOLeft """"",SOLeft_e5611ea4,,,,,,
"SRight """"",SRight_f58c3129,,,,,,
"SOLeft """"",SOLeft_94561212,,,,,,
"SOLeft """"",SOLeft_269bf1d8,,,,,,
"SRight """"",SRight_fdd5e442,,,,,,
"SOLeft """"",SOLeft_b6d29cf0,,,,,,
"""""",narrator_3329f470,,,,,,
"SRight """"",SRight_d8a53765,* Gulp * * Gulp * * Gulp*,,,,,
"SRight """"",SRight_f64e4667,,,,,,
"SRight """"",SRight_2c6a74c5,,,,,,
"SRight """"",SRight_b0d88a15,,,,,,
"SOLeft """"",SOLeft_5eeb3402,,,,,,
"SRight """"",SRight_d8a53765_1,* Gulp * * Gulp * * Gulp*,,,,,
"SRight """"",SRight_84491636,,,,,,
"SOLeft """"",SOLeft_57680cb7,,,,,,
"SRight """"",SRight_a604637a,,,,,,
"SRight """"",SRight_d8a53765_2,* Gulp * * Gulp * * Gulp*,,,,,
"SRight """"",SRight_a43f8c00,,,,,,
"SOLeft """"",SOLeft_d281aa6b,,,,,,
"SRight """"",SRight_33562c5e,,,,,,
"Mside1 """"",Mside1_3f6fee95,,,,,,
"SRight """"",SRight_71e5025e,,,,,,
"SOLeft """"",SOLeft_531b20af,,,,,,
"SRight """"",SRight_82dfd185,,,,,,
"SOLeft """"",SOLeft_aadbd9cb,,,,,,
"SOLeft """"",SOLeft_db518940,,,,,,
"S """"",S_8c349b3f,,,,,,
"SO """"",SO_abf9edb6,,,,,,
"S """"",S_10f6aeee,,,,,,
"SO """"",SO_2e493031,,,,,,
"S """"",S_4e8d0c44,,,,,,
"""""",narrator_5362504d,,,,,,
"M """"",M_c88bae81,,,,,,
"S """"",S_e5eea6c3,,,,,,
"M """"",M_098fd65b,,,,,,
"S """"",S_78391c08,,,,,,
"M """"",M_8d5ad5ea,,,,,,
"S """"",S_96059604,,,,,,
"M """"",M_58d4a909,,,,,,
"S """"",S_f2d2a81d,,,,,,
"M """"",M_a67951b5,,,,,,
"S """"",S_9ddfa1b5,,,,,,
"M """"",M_8c58d230,,,,,,
"S """"",S_d2bac457,,,,,,
"M """"",M_b23d813d,,,,,,
"""""",narrator_5f09676a,,,,,,
"S """"",S_525cfa21,,,,,,
"M """"",M_2fd88913,,,,,,
"""""",narrator_1fa44506,,,,,,
"SO """"",SO_b1b14a8c,,,,,,
"S """"",S_fe878bfe,,,,,,
"SO """"",SO_e895acd0,,,,,,
"S """"",S_bc7a4e9b,,,,,,
"S """"",S_79eb6099,,,,,,
