location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"SO """"",SO_45bce8ac,,,,,,
"S """"",S_05635734,Che cos'è?,,,,,
"S """"",S_d5c9b7e2,,,,,,
"S """"",S_963c48a5,,,,,,
"SO """"",SO_361d43bc,,,,,,
"S """"",S_d5cec92b,,,,,,
"S """"",S_e7baf8e3,,,,,,
"SO """"",SO_ca053199,,,,,,
"S """"",S_f99ed267,,,,,,
"S """"",S_7131ed4b,,,,,,
"SO """"",SO_f371e276,,,,,,
"SO """"",SO_43da929e,,,,,,
"SO """"",SO_7202d72b,,,,,,
"SO """"",SO_6680c434,,,,,,
"SO """"",SO_05c74eec,,,,,,
"S """"",S_f68b35c7,,,,,,
"SO """"",SO_700c4774,,,,,,
"C """"",C_1b4add07,,,,,,
"S """"",S_7dc830fb,,,,,,
"""""",narrator_68298c09,,,,,,
"S """"",S_033a9a12,,,,,,
"C """"",C_8a848634,,,,,,
"S """"",S_ca0fc90c,,,,,,
"""""",narrator_a239b335,,,,,,
"S """"",S_0f08ee49,,,,,,
"S """"",S_1267e74a,,,,,,
"SO """"",SO_59b1b9bf,,,,,,
"""""",narrator_11262ca1,,,,,,
"S """"",S_be866e03,,,,,,
"SO """"",SO_ded4cc11,,,,,,
"S """"",S_91fa8f3e,,,,,,
"SO """"",SO_02cae705,,,,,,
"S """"",S_fcdff7f2,,,,,,
"S """"",S_cad2c501,,,,,,
"SO """"",SO_56130432,,,,,,
"SO """"",SO_aab26015,,,,,,
"S """"",S_0556ed6d,,,,,,
"S """"",S_5801c526,,,,,,
"SO """"",SO_857b2629,,,,,,
"SO """"",SO_b9eeaa21,,,,,,
"SO """"",SO_5bd2d57f,,,,,,
"SO """"",SO_e3348da8,,,,,,
"SO """"",SO_f428079d,,,,,,
"SO """"",SO_52e3d9c2,,,,,,
"SO """"",SO_314fe097,,,,,,
"S """"",S_9f1fe7bb,,,,,,
"S """"",S_b0bc4d6c,,,,,,
"SO """"",SO_893edd93,,,,,,
"S """"",S_ee10405b,,,,,,
"SO """"",SO_3a7485a4,,,,,,
"SO """"",SO_f01900d5,,,,,,
"""""",narrator_f58208ae,,,,,,
"S """"",S_e0852e7d,,,,,,
"S """"",S_c4e82a8a,,,,,,
"S """"",S_51929e20,,,,,,
"S """"",S_4f9af5b8,,,,,,
"SO """"",SO_0ff5bfba,,,,,,
"S """"",S_a8403f71,,,,,,
"SO """"",SO_b6bf5e6c,,,,,,
"SO """"",SO_630dcf78,,,,,,
"S """"",S_6cc61827,,,,,,
"SO """"",SO_ea178362,,,,,,
"""""",narrator_d48316e1,,,,,,
"S """"",S_a587e35d,,,,,,
"S """"",S_09fa17c6,,,,,,
"S """"",S_ed923bcd,,,,,,
