location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"S """"",S_395dd0f6,За последние дни столько всего произошло...,,,,,
"Aside12 """"",Aside12_5dc84602,"Доброе утро, красотка. Ты такая милая, когда спишь.",,,,,
"S """"",S_358e5550,А???,,,,,
"""""",narrator_72c052a7,"От неожиданности по ее телу прошли мурашки, и она быстро вспрыгнула с кровати и встала на нее ногами.",,,,,
"""""",narrator_13bebb8f,"Затуманенным взглядом Сара некоторое время не могла понять, кто стоит перед ней, но потом картинка стала четче — там был Стуков.",,,,,
"S """"",S_ecb54477,"Как давно ты тут находишься? Ты что, смотрел как я сплю?",,,,,
"A """"",A_0ab03797,Ха-ха-ха.,,,,,
"A """"",A_79d5561f,"Прекрати, нет конечно же, я недавно пришел. Думал, ты уже не спишь, но, видно, ты вчера немного утомилась.",,,,,
"A """"",A_0ab03797_1,Ха-ха-ха.,,,,,
"S """"",S_9c8e7fa9,Н-не выдумывай!,,,,,
"A """"",A_efb51838,"Ладно, как скажешь. Я думаю, ты готова перейти к следующему испытанию. Ты довольно быстро учишься, и по этому поводу у меня для тебя подарок.",,,,,
"S """"",S_8a93667b,А??? Новое испытание? Подарок?,,,,,
"S """"",S_90d3e4e0,"(Черт, неужели он снова задумал какие-то извращения...)",,,,,
"S """"",S_341afef9,Мне не нужны от тебя никакие подарки.,,,,,
"A """"",A_ed1485b1,"Не пойми меня неправильно: этот подарок это часть испытания, так что тебе придется его принять.",,,,,
"S """"",S_3b6a4d8b,...,,,,,
"A """"",A_b588c3a2,"Это, конечно, можно делать и без подарка, но ты ведь хочешь быстрее выбраться?",,,,,
"S """"",S_5fd5d204,!!!,,,,,
"S """"",S_6a1b84f0,Ты же сейчас не шутишь?,,,,,
"A """"",A_316840c8,Конечно же нет.,,,,,
"S """"",S_3b6a4d8b_1,...,,,,,
"S """"",S_3060d774,Это и вправду ускорит испытание?,,,,,
"A """"",A_00521dd8,Абсолютно верно.,,,,,
