location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"S """"",S_ce46f2b4,А если все же...,S_ce46f2b4,,,,
"S """"",S_c211d0e1,Это кажется не такой уж и плохой идеей.,S_c211d0e1,,,,
"C """"",C_ab7999b3,(А у тебя в мыслях снова только все о побеге...),C_ab7999b3,,,,
"S """"",S_c1969b03,С чего бы тебе ожидать чего-то другого?,S_c1969b03,,,,
"S """"",S_dd0c5c4e,Я все еще не собираюсь оставаться тут.,S_dd0c5c4e,,,,
"C """"",C_9aafd837,"(Я должен хотя бы надеяться на то, что когда-то ты остановишься.)",C_9aafd837,,,,
"S """"",S_55d741ff,"Я остановлюсь только тогда, когда выберусь отсюда. И у меня появился прекрасный шанс. ",S_55d741ff,,,,
"S """"",S_28a13cca,"Все складывается именно так, что я наконец смогу выбраться.",S_28a13cca,,,,
"C """"",C_0133bdae,(Что пришло в твою голову на этот раз?),C_0133bdae,,,,
"S """"",S_78f41f1a,Ты ведь и так все прекрасно знаешь. Зачем спрашиваешь?,S_78f41f1a,,,,
"C """"",C_b5f099dc,"(Может быть, я надеюсь, что ты скажешь это вслух и сама поймешь глупость своей идеи.)",C_b5f099dc,,,,
"S """"",S_22c542db,Эта идея вовсе не глупая!,S_22c542db,,,,
"C """"",C_05e0a29a,"(Почему бы тебе не оставить свои попытки сбежать? Мне казалось, что ты начала привыкать. Признайся, что тебе тут не так уж и плохо, и мы спокойно пройдем этот путь до конца.)",C_05e0a29a,,,,
"S """"",S_a0589725,Мне незачем ждать так долго. Я в любом случае не прекращу свои попытки выбраться отсюда. Никто в здравом уме не будет добровольно оставаться в месте своего заключения.,S_a0589725,,,,
"C """"",C_d24af550,(То есть ты все же решила попробовать воспользоваться теми тентаклями?),C_d24af550,,,,
"S """"",S_458fd6f1,А почему нет? Не вижу ни единой причины отказываться от этой идеи.,S_458fd6f1,,,,
"S """"",S_a22caf15,"Они реагируют на меня, на мое движение. Если ими можно управлять, то я обязана попробовать!",S_a22caf15,,,,
"C """"",C_10e1046e,(И как же именно ты собираешься сбежать с их помощью?),C_10e1046e,,,,
"S """"",S_9f341cbd,Ну... Я собираюсь позвать Стукова и приказать тентаклям схватить его. Таким образом я смогу сбежать.,S_9f341cbd,,,,
"C """"",C_9c9a2472,"(Подчинить тентакли не так уж и легко, но мне интересно, что у тебя может получится.)",C_9c9a2472,,,,
"S """"",S_534012eb,Все у меня получится!,S_534012eb,,,,
"S """"",S_5f6c106f,"Пора попробовать, что же мы можем на этом этапе.",S_5f6c106f,,,,
"C """"",C_a0dc26f8,"(Ага, только не подходи к ним слишком близко.)",C_a0dc26f8,,,,
"S """"",S_c69851ab,Я и сама все прекрасно знаю. У меня есть план и я его придерживаюсь.,S_c69851ab,,,,
"""""",narrator_1aee571a,"Сара сделала пару шагов навстречу щупальцам, наблюдая за их реакцией.",narrator_1aee571a,,,,
"S """"",S_c8be1fc6,"Чего и следовало ожидать... Они снова начали свое движение. Не так активно, потому что я в одежде и достаточно далеко, но это уже хороший результат.",S_c8be1fc6,,,,
"S """"",S_ebd72d2b,Если бы их направить в нужное русло... Их же так много и они все хаотично двигаются. Ах...,S_ebd72d2b,,,,
"C """"",C_ddca2c69,(Извращенка...),C_ddca2c69,,,,
"S """"",S_30e46d57,С чего бы это?!,S_30e46d57,,,,
