location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"""""",narrator_c5c83a98,"Вы уже видели данную сцену, хотите ли ее пропустить?",narrator_c5c83a98,,,,
"""""",narrator_b696e17f,"Стуков оставил Сару перед залом эволюции, пробормотав что-то о срочности других его дел.",narrator_b696e17f,,,,
"S """"",S_3bfc7731,(И что они придумали на этот раз...),S_3bfc7731,,,,
"C """"",C_511137da,(Звучит не воодушевляюще.),C_511137da,,,,
"S """"",S_755ed828,(Что-то у меня нехорошее предчувствие из-за здешней атмосферы...),S_755ed828,,,,
"C """"",C_11e27d34,(Обычная тут атмосфера... Или из-за разыгравшихся гормонов тебе чудится всякое?),C_11e27d34,,,,
"S """"",S_16a91670,(Ничего мне не чудится! Тут в воздухе чувствуется напряжение...),S_16a91670,,,,
"C """"",C_268db886,(Сексуальное?),C_268db886,,,,
"S """"",S_2f28d03c,(...),S_2f28d03c,,,,
"S """"",S_3ce8d5fa,"(Нет, психологическое.)",S_3ce8d5fa,,,,
"C """"",C_a96ef434,"(Погоди, неужели тебе страшно?)",C_a96ef434,,,,
"S """"",S_8f22e3f0,(Страшно? Пф...),S_8f22e3f0,,,,
"S """"",S_c5937dcb,"(Просто неизвестность настораживает. Абатур никогда не рассказывает, что собирается делать.)",S_c5937dcb,,,,
"C """"",C_afdd36f2,"(Так может, это потому что ты просто не поймешь его методов, а объяснять тебе все не имеет смысла?)",C_afdd36f2,,,,
"C """"",C_fa8b85b5,"(Да и тебе известно, что с тобой будут делать.)",C_fa8b85b5,,,,
"S """"",S_4bff8b31,"('Что' мне известно, но вот 'как именно'... В прошлые разы он точно так же заставал меня врасплох, как сделает это сейчас.)",S_4bff8b31,,,,
"""""",narrator_6ecdc139,"Сара напряженно ходила по коридору, пытаясь хоть как-то убить время и свои нервные клетки.",narrator_6ecdc139,,,,
"C """"",C_5dc6fed8,"(Ты слишком много думаешь. Это твоя основная проблема. Просто расслабься и получай удовольствие. Вдруг тебе понравится? Как и в прошлый раз, между прочим.)",C_5dc6fed8,,,,
"S """"",S_22e7ded4,"(Почему-то звучит неубедительно. Владычица говорила, что это не будет легко...)",S_22e7ded4,,,,
"C """"",C_f8adeec7,(Тогда тебя это совершенно не смущало.),C_f8adeec7,,,,
"S """"",S_edccaef9,"(Но она звучала ТАК убедительно! Я даже не успела задуматься о том, как именно со мной будут происходить изменения...)",S_edccaef9,,,,
"S """"",S_af267fff,"(Прошлые посещения Абатура хоть и не были ужасными, но простыми я их тоже назвать не могу.)",S_af267fff,,,,
