location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"Q """"",Q_d1ed3dba,"Абатур, заканчивай свои дела как можно скорее и прибудь ко мне. У меня для тебя появилось дело.",Q_d1ed3dba,,,,
"AB """"",AB_e3aff860,Организм Абатур подчиняется Владычице. Приблизительное время прибытия 2 дня.,AB_e3aff860,,,,
"""""",narrator_c071137c,Тем временем в тронном зале Владычицы.,narrator_c071137c,,,,
"ABside1 """"",ABside1_faf43620,"Организм Абатур прибыл, готов приступить к мутациям.",ABside1_faf43620,,,,
"Q """"",Q_d81ed24e,"Абатур, как же я рада тебя видеть. Ты справился со своим заданием?",Q_d81ed24e,,,,
"ABside3 """"",ABside3_e27e93b3,"Текущая задача приостановлена, приоритетная цель задачи Владычицы.",ABside3_e27e93b3,,,,
"Q """"",Q_963b3c9e,"Абатур, лапочка, не нужно быть таким нудным. Мы сколько раз обсуждали это?",Q_963b3c9e,,,,
"Q """"",Q_9091bbb5,"Мне так нравилось, когда ты занимался моим изменением. Возможно, хочешь еще поиграться с моим телом?",Q_9091bbb5,,,,
"ABside1 """"",ABside1_b746ea73,"Организм Владычица, генетический код хороший, нет нужды в улучшении. Результат приемлем.",ABside1_b746ea73,,,,
"Q """"",Q_29c8b1e3,"Ах, Абатур... ты снова разбиваешь мое сердце. Нам же так хорошо было вместе.",Q_29c8b1e3,,,,
"ABside1 """"",ABside1_258d4df0,Жду приказаний.,ABside1_258d4df0,,,,
"Q """"",Q_fb07fc86,"Хорошо, тогда давай сразу к делу.",Q_fb07fc86,,,,
"Q """"",Q_f9d7c022,"У нас появилась новая игрушка. Думаю, тебе стоит взглянуть лично на нее. Но сразу хочу тебя предупредить: она может быть той, кого ищет ОН, так что не вздумай что-то с ней сделать.",Q_f9d7c022,,,,
"Q """"",Q_40d54447,А сейчас направляйся в Зал Эволюции и ожидай ее прибытия там.,Q_40d54447,,,,
"ABside1 """"",ABside1_31f7c510,Задача ясна. Приступаю к выполнению.,ABside1_31f7c510,,,,
"A """"",A_fbf0199a,"С добрым утром, хе-хе-хе.",A_fbf0199a,,,,
"S """"",S_f6a08046,"Ты чего такой довольный с самого утра? У тебя что, появились новые голограммы?",S_f6a08046,,,,
"A """"",A_2ac29416,"Да, сделал парочку, пока ты спала.",A_2ac29416,,,,
"S """"",S_fa35fb17,...,S_fa35fb17,,,,
"A """"",A_d4a7c447,"Я тут тебе кое-кого привел, чтобы ты не скучала. Хе-хе-хе.",A_d4a7c447,,,,
"""""",narrator_ff4b4f49,"В комнату зашел зерглинг, он отличался от своих собратьев формой и размерами. Это явно был какой-то новый вид.",narrator_ff4b4f49,,,,
"S """"",S_a9f3bf04,!!!,S_a9f3bf04,,,,
"S """"",S_fdae1ea4,"Ч-что он тут делает??? И не такой, как остальные...{w} он меньше?",S_fdae1ea4,,,,
"Z """"",Z_c81e2d3b,*Скир*?,Z_c81e2d3b,,,,
"Z """"",Z_137c0b4f,*Нюх-нюх*,Z_137c0b4f,,,,
"""""",narrator_fbff767e,Он подошел к Саре начал ее пристально вынюхивать.,narrator_fbff767e,,,,
"Z """"",Z_0ca92c52,*Скир-скир-скир*,Z_0ca92c52,,,,
"Aside4 """"",Aside4_5adf6087,"Ха-ха-ха, я знал, что вы найдете общий язык. А теперь вынужден откланяться.",Aside4_5adf6087,,,,
"S """"",S_74901629,"Эй, стой, а зачем ты его привел сюда?",S_74901629,,,,
"Aside9 """"",Aside9_1fd921c5,"Ааа, *кхм*{w} позаботься о нем. Хе-хе-хе.",Aside9_1fd921c5,,,,
"""""",narrator_94b7d1fe,"Стуков, делая вид, что ничего не слышал, просто продолжил свой путь.",narrator_94b7d1fe,,,,
"S """"",S_fa35fb17_1,...,S_fa35fb17_1,,,,
"Z """"",Z_1caf8b60,*Скир*,Z_1caf8b60,,,,
"""""",narrator_7e5a35b0,Зерглинг встал напротив Сары.,narrator_7e5a35b0,,,,
"S """"",S_fa35fb17_2,...,S_fa35fb17_2,,,,
"S """"",S_e4150530,И что мне делать с тобой?,S_e4150530,,,,
"Z """"",Z_b4210e8c,*Издал странный звук*,Z_b4210e8c,,,,
"S """"",S_fa35fb17_3,...,S_fa35fb17_3,,,,
"S """"",S_b8449728,"Что Стуков имел в виду, когда сказал позаботиться о нем?",S_b8449728,,,,
"S """"",S_ae27e8f0,"Возможно, мне нужно покормить его? А что едят зерглинги?",S_ae27e8f0,,,,
"S """"",S_fa35fb17_4,...,S_fa35fb17_4,,,,
"S """"",S_0f6de912,"... Да нет, это бред какой-то...",S_0f6de912,,,,
"S """"",S_acbbbd4b,(Я... его уже достаточно осмотрела...),S_acbbbd4b,,,,
"S """"",S_a72e0b87,"(Думаю, мне необходимо осмотреть его. Может, это хоть как-то поможет.)",S_a72e0b87,,,,
"""""",narrator_10f768a4,Сара начала очень пристально разглядывать зерглинга в попытке найти непонятно что.,narrator_10f768a4,,,,
"S """"",S_f99b7099,"(Хм, он странный, не только своим размером. У него на теле фактически нет брони и отсутствуют крылья.)",S_f99b7099,,,,
"S """"",S_f59d0ec3,"(Хотя я никогда не понимала, зачем они зерглингам.)",S_f59d0ec3,,,,
"S """"",S_34ddeb98,"(Хм, у него другие передние лапы еще длиннее, он же движется на всех четырех. Только зачем все это?)",S_34ddeb98,,,,
"S """"",S_c86c337c,"(Выглядит он значительно менее опасным, чем обычный зерглинг. Особенно размер его зубов и костных кос.)",S_c86c337c,,,,
"S """"",S_f0d47d2f,"(Может, он какое-то домашнее животное Владычицы?)",S_f0d47d2f,,,,
"S """"",S_8f678f0f,"Он вроде не выглядит агрессивным, но зачем Стуков его привел ко мне?",S_8f678f0f,,,,
"S """"",S_87c5011a,"Возможно, это часть какой-то тренировки?",S_87c5011a,,,,
"S """"",S_28c34699,!!!,S_28c34699,,,,
"""""",narrator_194bf86f,"В то время, когда Сара продолжала осматривать зерглинга, его член начал набухать и вскоре полностью встал.",narrator_194bf86f,,,,
"S """"",S_33f36504,(Ч-то происходит... п-почему его штуковина встала?),S_33f36504,,,,
"Z """"",Z_1cd7d017,*Ски-ски-ски!*,Z_1cd7d017,,,,
"S """"",S_05d1f1c5,"(Неужели это из-за того, что я его осматривала? Нет... этого не может быть...)",S_05d1f1c5,,,,
"S """"",S_32a6f7a4,"Черт, его штуковина...{w} она просто громадная для его размера.",S_32a6f7a4,,,,
"Z """"",Z_93567399,*Скир-скир-скир*,Z_93567399,,,,
"S """"",S_711e6d92,Ч-что мне делать с ним...,S_711e6d92,,,,
"S """"",S_442ba1c3,"(Возможно, стоит спросить Сай'мона. Может, хоть он мне что-то подскажет.)",S_442ba1c3,,,,
"S """"",S_a159ae01,(!!!),S_a159ae01,,,,
"S """"",S_9a20afe5,(Я... я не собираюсь это делать...),S_9a20afe5,,,,
"S """"",S_a59c65e0,(Откуда у меня такие м-мысли...),S_a59c65e0,,,,
"S """"",S_726c1f5e,Сперва мне нужно осмотреть его.,S_726c1f5e,,,,
"S """"",S_c884a4fc,"(Думаю, нужно попробовать поговорить с ним.)",S_c884a4fc,,,,
"S """"",S_8d1caaef,"(Возможно, мне снова нужно попробовать поговорить с ним?)",S_8d1caaef,,,,
"S """"",S_4f9e6740,Эм...{w} Привет?,S_4f9e6740,,,,
"S """"",S_b0e14192,"Ты же меня не съешь, верно?",S_b0e14192,,,,
"Z """"",Z_18794a03,*Скир?*,Z_18794a03,,,,
"S """"",S_a3cfe1bb,...,S_a3cfe1bb,,,,
"S """"",S_75b09a62,"Ты же меня не понимаешь, верно?",S_75b09a62,,,,
"Z """"",Z_18794a03_1,*Скир?*,Z_18794a03_1,,,,
"S """"",S_ee6ab5f9,"(Было бы странно, если бы он понял меня...)",S_ee6ab5f9,,,,
"S """"",S_3785c136,"Ладно, это была глупая идея, нужно попробовать что-то еще.)",S_3785c136,,,,
"S """"",S_5320f1d6,"Нет, я-я не могу ему помочь...",S_5320f1d6,,,,
"S """"",S_0590ae81,"(Он же не откусит мне руку, если я попробую его погладить?)",S_0590ae81,,,,
"Z """"",Z_18794a03_2,*Скир?*,Z_18794a03_2,,,,
"""""",narrator_a6e35d66,"Сара неуверенно протянула руку к зерглингу в попытке погладить его, тот в свою очередь непонимающе посмотрел на ее действия.",narrator_a6e35d66,,,,
"S """"",S_c2e2a45d,"Все будет хорошо, не переживай, Сара...{w} ты уже не раз справлялась с зергами, и в этот раз получится.",S_c2e2a45d,,,,
"""""",narrator_df5f9a15,*Pat* *Pat* *Pat*,narrator_df5f9a15,,,,
"""""",narrator_123d06a8,"Сара некоторое время гладила его по голове, в свою очередь зерглинг не был против. Кажется, ему это даже нравилось.",narrator_123d06a8,,,,
"S """"",S_a680bb6d,"Это такое странное чувство...{w} Раньше я бы и подумать не могла, что зергов можно вот так просто ласкать.",S_a680bb6d,,,,
"Z """"",Z_91ddf43f,*Лизь*,Z_91ddf43f,,,,
"S """"",S_a081da10,Яийкс...{w} он обслюнявил всю мою руку...,S_a081da10,,,,
"""""",narrator_de05b0d4,В ответ зерглинг начал лизать руку Сары.,narrator_de05b0d4,,,,
"S """"",S_ebe4e368,!!!,S_ebe4e368,,,,
"""""",narrator_2207ffad,"После этого член зерглинга начал подскакивать, вверх-вниз, вверх-вниз, а сам он выглядел очень довольным.",narrator_2207ffad,,,,
"S """"",S_ba021876,"Стой, прекрати! Ч-что ты делаешь? Я просто тебя погладила!",S_ba021876,,,,
"Z """"",Z_18794a03_3,*Скир?*,Z_18794a03_3,,,,
"S """"",S_f43f7c67,"А??? Он ч-что хочет, чтобы я ее погладила???",S_f43f7c67,,,,
"S """"",S_44fadfc5,"(Может, действительно стоит помочь ему...?)",S_44fadfc5,,,,
"S """"",S_6810bc84,(Он ведь никак не может сам себе помочь... А терпеть такое... это вредно...),S_6810bc84,,,,
"S """"",S_037260d2,"Ну уж нет, я не буду прикасаться к нему!",S_037260d2,,,,
"S """"",S_e55b5668,(Но... он же никак не сможет помочь сам себе... а теперь это плохо...),S_e55b5668,,,,
"S """"",S_5320f1d6_1,"Нет, я-я не могу ему помочь...",S_5320f1d6_1,,,,
"S """"",S_14ac194d,"(Не думаю, что Сай'мон мне еще что-то расскажет.)",S_14ac194d,,,,
"S """"",S_e1a79ac2,"(Сай'мон, возможно, ты знаешь, для чего Стуков привел его сюда? И самое главное: что мне с ним делать?",S_e1a79ac2,,,,
"C """"",C_396ef128,"(Думаю, это очень тесно связано с твоими тренировками. Стуков редко делает что-то просто так.)",C_396ef128,,,,
"S """"",S_42437de4,"Ага, как и его голограммы...",S_42437de4,,,,
"C """"",C_bf6569df,"(Ну, они сделаны не просто так, а по одной весьма понятной причине.)",C_bf6569df,,,,
"S """"",S_f99eb74b,"Давай сейчас не будем об этом. Лучше скажи, что мне делать с этим зерглингом.",S_f99eb74b,,,,
"S """"",S_78f0c3ce,"Я не хочу, чтобы он меня сожрал, когда буду спать!",S_78f0c3ce,,,,
"Z """"",Z_68b4870a,*Скрииииии...*,Z_68b4870a,,,,
"C """"",C_2053444b,"(Думаю, тебе нужно попробовать наладить с ним контакт.)",C_2053444b,,,,
"S """"",S_3d4d7a1f,"А я, думаешь, чем тут занималась все это время...",S_3d4d7a1f,,,,
"C """"",C_602ebced,Пялилась на его член?,C_602ebced,,,,
"S """"",S_f7d9974b,"Да, этим и стоит сейчас заняться.",S_f7d9974b,,,,
"C """"",C_c4441ec4,"И да, можешь не делать вид, будто ты не пялишься на его член.",C_c4441ec4,,,,
"S """"",S_ebe4e368_1,!!!,S_ebe4e368_1,,,,
"S """"",S_0a2afbb1,Это неправда...{w} ничего я не пялюсь!,S_0a2afbb1,,,,
"C """"",C_26bb3116,(Снова начинаешь?),C_26bb3116,,,,
"S """"",S_13eb7ede,"Ну, может, пару раз... но это только потому, что его невозможно не заметить...",S_13eb7ede,,,,
"C """"",C_0ae08411,"(Я-то все знаю, хи-хи-хи.)",C_0ae08411,,,,
"S """"",S_a097f58e,"(Сай'мон, прекрати! Я про это... тоже хотела спросить.)",S_a097f58e,,,,
"C """"",C_bcb1a18b,"(Ну это довольно обычная вещь, он просто следует своим животным инстинктам. Которые в нем проснулись при виде тебя.)",C_bcb1a18b,,,,
"S """"",S_bc5ac39b,"Ты хочешь сказать, что я ему понравилась?",S_bc5ac39b,,,,
"C """"",C_6db7e3e8,"(Ну... скорее он тебя хочет как самку, пометить тебя, так сказать. Но твоему варианту тоже есть место быть.)",C_6db7e3e8,,,,
"S """"",S_ebe4e368_2,!!!,S_ebe4e368_2,,,,
"S """"",S_5abb5ed3,Быть такого не может...{w} Этот маленький зерглинг хочет меня сделать своей самкой? Но это же не правильно...,S_5abb5ed3,,,,
"C """"",C_c7b03575,(В животном мире есть только одно правило — выживает сильнейший.),C_c7b03575,,,,
"S """"",S_9d0713c0,"Сай'мон, цитата не про выживание сильнейших, а наиболее приспособленных. Животному не нужно быть самым сильным на планете, чтобы выжить, чтобы продолжать существовать. Да даже зерги не состоят из сильнейших. Зерглинги не сильнее ультралиска, но им же есть место в рое. ",S_9d0713c0,,,,
"S """"",S_e2b1592a,"Ладно, сейчас не лучшее время это обсуждать.",S_e2b1592a,,,,
"S """"",S_19ca2921,"Я уже перепробовала все, что пришло мне в голову. Думаю, стоит все оставить как есть. Возможно, Стуков вернется и объяснит, что мне с ним делать.",S_19ca2921,,,,
"S """"",S_9ee489a9,"(Сай'мон, а этот зерглинг, он не съест меня, пока я буду спать?)",S_9ee489a9,,,,
"C """"",C_9253c0fa,"(Хм, ну как тебе сказать. Все зерги опасны, нужно не забывать,что он в первую очередь хищник.)",C_9253c0fa,,,,
"S """"",S_308583cb,"Но он выглядит скорее милым, чем опасным...",S_308583cb,,,,
"C """"",C_7865faaf,(Внешность может быть обманчивой.),C_7865faaf,,,,
"S """"",S_510da93d,...,S_510da93d,,,,
"""""",narrator_33a0b003,В комнату заходит Стуков.,narrator_33a0b003,,,,
"A """"",A_97ce6177,"Ну что, как вы тут поживаете?",A_97ce6177,,,,
"S """"",S_deedf81d,...,S_deedf81d,,,,
"S """"",S_fc69455d,Просто чудесно...,S_fc69455d,,,,
"S """"",S_c0ffe9d2,"(Если не учесть тот момент, что он сегодня сделал со мной...)",S_c0ffe9d2,,,,
"A """"",A_50718491,Ха-ха-ха-ха. Ну ты сама виновата в этом.,A_50718491,,,,
"S """"",S_8dd20eb5,Я виновата???,S_8dd20eb5,,,,
"A """"",A_82bfa0d5,"Да. Если бы я был диким животным, я бы тоже долго не продержался с такой сучкой в одной комнате. От одного взгляда у меня уже просыпаются животные инстинкты. Хе-хе-хе.",A_82bfa0d5,,,,
"S """"",S_deedf81d_1,...,S_deedf81d_1,,,,
"S """"",S_491578f0,Я знаю...{w} ты уже говорил об этом...,S_491578f0,,,,
"A """"",A_1688ca47,"Только вот я могу удовлетворить свои потребности, а этот малыш - нет. Так что ты должна помогать ему с этим делом.",A_1688ca47,,,,
"S """"",S_d863bab1,П-поняла...,S_d863bab1,,,,
"S """"",S_4a888968,Мне пришлось ему помочь.,S_4a888968,,,,
