location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"""""",narrator_1c5156ce,"Пройдя несколько поворотов, Сара и Стуков входят в одну комнату.",,,,,
"""""",narrator_7573b67f,"Сара быстро все рассмотрела: комната была практически пуста, по центру располагался довольно большой объект... И запах внутри показался Саре знакомым.",,,,,
"A """"",A_904bf4f3,"Ну что, как тебе?",,,,,
"""""",narrator_23cdb4f6,Удивленная Сара некоторое время рассматривала 'объект'.,,,,,
"""""",narrator_c462cf40,"По форме он был больше всего похож на бассейн, в некоторых местах по периметру располагались внушительные шипы. Внутри была странная жидкость зеленого цвета. Саре даже показалось, что бассейн живой.",,,,,
"S """"",S_d44b29f1,Что это такое?,,,,,
"A """"",A_a00a2196,"Владычица решила, что тебе нужно немного расслабиться. Ну и, конечно же, ты должна быть чистой.",,,,,
"""""",narrator_6849b9e2,"На секунду Сара покраснела, но быстро пришла в себя.",,,,,
"S """"",S_8125eec1,"Ты хочешь, чтобы я легла в это?!",,,,,
"A """"",A_a245bd6d,Именно. Когда ты последний раз принимала ванну? От тебя даже немного пованивает. Ха-ха-ха.,,,,,
"""""",narrator_fba652e5,"Сара понимала, что уже очень давно не мылась. Немного подумав, она ответила.",,,,,
"S """"",S_d5366252,Разве ты не можешь достать мне нормальную ванну? Свяжись со своим 'поставщиком'!,,,,,
"A """"",A_39ffc683,Ха-ха-ха. Я лучше закажу у него что нибудь другое *Стуков подмигивает Саре*.,,,,,
"S """"",S_9d3612ac,(Гррр... грязный извращенец...),,,,,
"A """"",A_87fb7c9a,И чем тебя не устраивает эта ванна?,,,,,
"S """"",S_92a0f31e,"Она мерзкая! И мне кажется, она слегка движется...",,,,,
"A """"",A_c6d30421,Конечно движется! Тут все живое!,,,,,
"S """"",S_0162e272,А чем она наполнена? Почему не водой?,,,,,
"A """"",A_51330aa7,"Дорогуша, ты забыла, где ты? Здесь нет воды в чистом виде. Только не спрашивай про шампуни, бальзамы и прочую чушь. Ничего этого тебе не понадобится. Эта органическая субстанция поможет очистить твое тело.",,,,,
"S """"",S_95b19d9f,(Гррр...),,,,,
"A """"",A_d5e773e5,"Выбор за тобой, но ты же понимаешь, что ты пахнешь чуть лучше, чем гидралиск. Ха-ха-ха.",,,,,
"S """"",S_8bb219d2,(Неужели от меня настолько плохо пахнет?),,,,,
"S """"",S_82ed658b,...,,,,,
"""""",narrator_ef4c80eb,Максимально незаметно для Алексея Сара понюхала подмышку...,,,,,
"S """"",S_fa6b3eda,"(Боже, ну и запах... И я даже не могу вспомнить, когда мылась в последний раз... Ванна мне уж точно не помешает...)",,,,,
"S """"",S_82ed658b_1,...,,,,,
"S """"",S_95ad68f8,"Ладно, но ты должен выйти. Я не хочу, чтобы ты видел меня голой.",,,,,
"A """"",A_e9f9b19c,Ты до сих пор стесняешься меня? А я хотел тебе спинку потереть.,,,,,
"S """"",S_ea7d6524,!!!,,,,,
"S """"",S_25145346,Т-ты с ума сошел?!,,,,,
"S """"",S_4dea2d6e,Этому никогда не бывать!,,,,,
"A """"",A_707c9b31,"Хорошо, детка, как скажешь. Когда закончишь, нажми вот на эту кнопку и я вернусь *подмигивает*.",,,,,
"""""",narrator_8a6fcf0f,Стуков выходит.,,,,,
"""""",narrator_5e9af356,Сара медленно раздевается и так же медленно засовывает ногу в ванну.,,,,,
"S """"",S_2125e5fc,"Фу, какая гадость! Нет, я не могу!",,,,,
"S """"",S_b1287562,"(Боже, как противно).",,,,,
"""""",narrator_9285554f,Сара резко вытащила ногу.,,,,,
"C """"",C_b029309c,"(А я-то думал, ты не привыкла отступать на полпути...)",,,,,
"S """"",S_9c685f69,Тебя еще не хватало...,,,,,
"C """"",C_0c3624b0,"(Не понимаю, что тебя останавливает. Это же просто ванна. Но решать, конечно, тебе, можешь не мыться... А терраны ведь в курсе о важности гигиены?)",,,,,
"S """"",S_82ed658b_2,...,,,,,
"S """"",S_7db5c808,Конечно же мы знаем!!!,,,,,
"S """"",S_66f72caa,"Сай'мон, это же не опасно? Мне кажется, там что-то есть...",,,,,
"C """"",C_2968690f,"(Поверь, если бы владычица хотела сделать тебе что-то плохое, она бы давно уже сделала. Не волнуйся, эта субстанция абсолютно безопасна.)",,,,,
"S """"",S_82ed658b_3,...,,,,,
"S """"",S_0005a8c9,"Ладно, я попробую еще раз...",,,,,
"""""",narrator_442e5e91,"Сара осторожно засунула ногу в ванну, а затем и вторую.",,,,,
"""""",narrator_075f4d07,Жидкость была теплой и не вызывала у нее дискомфорт. Но несмотря на это Сара не решалась лечь в нее полностью.,,,,,
"C """"",C_fd8e3299,"(Смелее, ложись, тут нет ничего страшного.)",,,,,
"S """"",S_85cc35ae,Тебе легко говорить...,,,,,
"S """"",S_1d4076fa,"(Уф... Я смогу, только слегка привыкну...)",,,,,
"""""",narrator_4640a453,Через некоторое время Сара полностью легла в 'ванную' и закрыла глаза.,,,,,
"S """"",S_4ed0ab61,"(А не так уж и плохо. Эта жидкость похожа на воду, только чуть плотнее. Теплая и приятная, но этот запах... он не дает мне покоя. Очень странный запах.)",,,,,
"""""",narrator_b169a6c6,Несколько минут Сара спокойно лежала в бассейне...,,,,,
"S """"",S_855ac67d,"Тааак, и что дальше? Мне просто лежать тут и все?",,,,,
"C """"",C_85083a92,"(Да, все верно, тебе не нужно ничего делать, просто лежи и жидкость тебя очистит.)",,,,,
"""""",narrator_1a447cb0,"Бассейн слегка вибрировал. Это создавало небольшие волнения жидкости и Саре казалось, что рядом еще кто-то есть.",,,,,
"""""",narrator_ad1be3e4,Некоторое время спустя.,,,,,
"""""",narrator_16d741bb,Сара резко встала.,,,,,
"S """"",S_a4ec58fb,"Все, мне кажется, уже достаточно.",,,,,
"C """"",C_4b72c691,"(Странные вы, люди... Пока ты лежала в ванной, твой уровень дофамина повышался, тебе было приятно...)",,,,,
"S """"",S_d867e36b,"Я не хочу проводить тут времени больше, чем нужно.",,,,,
"S """"",S_82ed658b_4,...,,,,,
"S """"",S_5c9e2108,"(Хотя я готова признать, что сама жидкость довольно приятна и сейчас я чувствую себя лучше. Правда, голова немного кружится...)",,,,,
"""""",narrator_59e0e64b,Сара одевается.,,,,,
"S """"",S_8425c27e,(Пора звать Стукова.),,,,,
"""""",narrator_834f2263,"Сара нажимает на кнопку, через некоторое время открывается дверь, в комнату входит Стуков.",,,,,
"""""",narrator_83c16452,"Войдя в комнату, Стуков некоторое время рассматривал Сару.",,,,,
"A """"",A_c65ce9d4,"Ну вот, совсем другое дело.",,,,,
"S """"",S_b5ee6b93,Теперь от меня пахнет этой странной субстанцией!,,,,,
"S """"",S_ebb18300,(Но запах довольно странный...),,,,,
"A """"",A_3a9ebd4c,"Ну, в этом нет ничего страшного. За-то, теперь ты чистая и готовая к любым испытаниям *подмигивает*.",,,,,
"S """"",S_30982d55,Грррр...,,,,,
"A """"",A_98523eca,"Владычица хотела передать тебе, что ты можешь сюда приходить когда тебе угодно и принимать ванну регулярно.",,,,,
"A """"",A_d87f3a7b,"Если захочешь освежиться, просто скажи мне.",,,,,
"S """"",S_8a1295ac,Захочешь?,,,,,
"S """"",S_b41c5c38,Я это делаю только по необходимости.,,,,,
"A """"",A_0cb37f9b,"Хех, ну да ладно, всему свое время. Пошли обратно в камеру.",,,,,
"""""",narrator_24f4c59a,Стуков отводит Сару обратно.,,,,,
"""""",narrator_898e51c7,"Теперь Саре доступны 'водные процедуры'. Для того, чтобы попасть в эту локацию, ей необходимо обратиться к Стукову.",,,,,
"""""",narrator_f74e5dd3,После водных процедур Сара чувствует себя чище и лучше. Уровень ее стресса понижен. Уровень гигиены Сары достиг нормы.,,,,,
"""""",narrator_60d323af,Пройдя несколько поворотов Сара и Стуков входят в комнату с ванной.,,,,,
