location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"S """"",S_7c043648,"Думаю, сейчас мне лучше приступить к тренировкам.",S_7c043648,,,,
"C """"",C_f37ab85e,"(Ну наконец-то, я уж было подумал, что ты забыла о тренировках.)",C_f37ab85e,,,,
"C """"",C_199e9885,"(Может, мне дать тебе пару советов?)",C_199e9885,,,,
"S """"",S_bac23984,"(Не лезь. Это не совсем то дело, в котором мне нужны советы, я сама все знаю.)",S_bac23984,,,,
"S """"",S_34fcc3c7,"(Не учи ученого, поешь свинца копченого.)",S_34fcc3c7,,,,
"C """"",C_c9fffdba,(Что за детский сад...),C_c9fffdba,,,,
"S """"",S_44a28fc7,(Я все прекрасно помню!),S_44a28fc7,,,,
"S """"",S_9cfe81fc,(Хотя вот с тобой могут возникнуть проблемы...),S_9cfe81fc,,,,
"C """"",C_7a7c82a3,(Почему это?),C_7a7c82a3,,,,
"S """"",S_02bd0978,"(Будто ты сам не знаешь... Слушай, а ты можешь на время отключиться?)",S_02bd0978,,,,
"C """"",C_f492bc65,(...),C_f492bc65,,,,
"C """"",C_8dce8baf,"(Только не говори, что ты серьезно сейчас... Это как — 'отключиться'?)",C_8dce8baf,,,,
"S """"",S_0c8fd864,"(Ну, я не знаю... возможно, ты сам можешь как-то это сделать...)",S_0c8fd864,,,,
"C """"",C_53a0fba9,"(... Нет, конечно... Я могу просто не мешать. Если ты, конечно, не хочешь, чтобы я помог тебе.)",C_53a0fba9,,,,
"S """"",S_6b3fa351,"(Черт... я так и знала... но я попрошу тебя, чтобы ты мне не мешал в этом время, хорошо?)",S_6b3fa351,,,,
"C """"",C_83a29676,(Договорились.),C_83a29676,,,,
"S """"",S_e21e932f,Время покончить с этим!,S_e21e932f,,,,
"""""",narrator_e0846416,"Сара медленно начала раздеваться, после чего поудобнее легла на кровать. Конечно же, если это можно вообще назвать кроватью. Ведь это было просто ее подобие.",narrator_e0846416,,,,
"S """"",S_e4136a13,"(Хорошо, что сейчас в комнате только я.)",S_e4136a13,,,,
"""""",narrator_71cb58fe,Сара аккуратно коснулась своей промежности. Ее рука была теплая и ощущения приятны.,narrator_71cb58fe,,,,
"S """"",S_445a3fdb,(Мммм... я уже так давно этим не занималась...),S_445a3fdb,,,,
"""""",narrator_70945e06,Она начала медленными движениями трогать свою киску.,narrator_70945e06,,,,
"S """"",S_9f913ae8,(Ммм... моя вагина такая теплая... и приятная...),S_9f913ae8,,,,
"""""",narrator_a59347be,"Сара продолжала играться своей рукой, делать это медленно и нежно. По чуть-чуть дыхание Сары начинало учащаться.",narrator_a59347be,,,,
"""""",narrator_222a63bf,"Небольшие стоны вырывались из уст Сары, пока она игралась с собой.",narrator_222a63bf,,,,
"S """"",S_ac8354f4,(Как приятно...),S_ac8354f4,,,,
"""""",narrator_b1298a38,"Вторая рука Сары потянулась к своей груди, чуть-чуть сжимая ее.",narrator_b1298a38,,,,
"S """"",S_ca8d053b,(Ах... моя грудь... ),S_ca8d053b,,,,
"C """"",C_740c2f7b,"(А ты всегда так напряжена, когда делаешь это дело?)",C_740c2f7b,,,,
"S """"",S_0d4ab3e3,"(Ч-черт... я так и знала, что ты подсматриваешь...)",S_0d4ab3e3,,,,
"S """"",S_389f8f5d,"(Я же тебе сказала, чтобы ты во время этого не мешал мне.)",S_389f8f5d,,,,
"C """"",C_7d717598,"(Нет, это нельзя назвать подглядыванием. Ведь я буквально вижу твоими глазами... да и я не мешать собрался, а помогать.)",C_7d717598,,,,
"S """"",S_9c7a760b,"(Я тебе уже говорила, что мне не нужна твоя помощь...)",S_9c7a760b,,,,
"S """"",S_1b210d08,(Вот я как раз из-за этого и не могу расслабиться!),S_1b210d08,,,,
"S """"",S_3be79d59,"(Эта комната, да и ты еще... все меня тут отвлекает...)",S_3be79d59,,,,
"S """"",S_345ce048,...,S_345ce048,,,,
"""""",narrator_95727786,"Сара попыталась сделать вид, что ничего не произошло, и начала дальше концентрироваться на процессе.",narrator_95727786,,,,
"S """"",S_c2dac653,(Ммм... м-мне необходимо что-то засунуть вовнутрь...),S_c2dac653,,,,
"""""",narrator_47d29c6c,После чего Сара залезла двумя пальчиками себе в киску.,narrator_47d29c6c,,,,
"S """"",S_34683199,(Ахх... ммм... как приятно... моя киска... такая теплая и приятная... ммм...),S_34683199,,,,
"""""",narrator_4e12621d,Сара продолжала входить и выходить из своего влагалища.,narrator_4e12621d,,,,
"S """"",S_24842c46,Ахх... не помогает...,S_24842c46,,,,
"S """"",S_dff18b53,"Черт... мне ничего в голову не приходит... нужно подумать о чем-то... приятном, что поможет мне расслабиться.",S_dff18b53,,,,
"S """"",S_48f453b3,"Ммм... я думаю, Рейнор должен мне помочь с этим...",S_48f453b3,,,,
"""""",narrator_9f8816db,Сара закрыла глаза и начала представлять Рейнора.,narrator_9f8816db,,,,
"""""",narrator_f5c7fb39,"Вспоминать его тело, которое она видела так много раз, когда они кувыркались в свободное время. Она пока просто вспоминала, еще не начиная ласкать себя.",narrator_f5c7fb39,,,,
