location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"""%%""",narrator_65da0ca3,"Внезапное нападение было отражено. Врагам пришлось с бежать, оставив одного из членов команды на корабле.",,,,,
"""%%""",narrator_cac4e85a,"Но не смотря на непредвиденные обстоятельства, подходил срок для начала превращения. Это было тем неизбежным, чего Сара одновременно ждала и избегала.",,,,,
"A ""%%""",A_dc8ac92b,"Ну что, вот мы и пришли. Тебя ждут важные дела, меня ждут важные дела.",,,,,
"S ""%%""",S_1b29d8ef,"И это все? Никаких напутственных слов или пошлых шуток на прощание? Ты теряешь хватку, Стуков.",,,,,
"A ""%%""",A_07c6286a,"Я же не на войну тебя отправляю. Слишком маленькая вероятность, что что-то может пойти не так.",,,,,
"S ""%%""",S_b89069b1,"Слишком маленькая? Звучит так, будто ты расстроен этим фактом.",,,,,
"A ""%%""",A_26b69f38,"Хм... Мне было бы жаль прощаться с таким, хм... Прекрасным экземпляром как ты, Сара. Не волнуйся, я попробую найти время и навестить тебя, хе-хе.",,,,,
"S ""%%""",S_b67f2636,"Знаешь, это звучит очень подозрительно... Неужели ты будешь иметь возможность что-то увидеть? Иначе я не вижу другого смысла тебе приходить сюда, пока я буду... как бы это выразится, превращаться.",,,,,
"S ""%%""",S_f192ba65,Даже не пытайся прикрыться фразами по типу 'я соскучился'. Я в жизни тебе не поверю.,,,,,
"A ""%%""",A_3ce53d4c,"Все может быть, хе-хе. Тебе стоит поторопиться. Превращение — важная процедура, с которой лучше не шутить. Просто заходи внутрь, ну а там дальше. Сай'мон подскажет, что нужно делать.",,,,,
"S ""%%""",S_abfb241e,Вот это и все? Просто иди туда?,,,,,
"A ""%%""",A_c230c770,"Ну да, послушай передо мной стоит не менее важная задача, удовлетворить голод Владычицы. Это тебе не раз два готово, тут мне понадобится использовать весь мой арсенал. Ты вполне справишься.",,,,,
"S ""%%""",S_c8a50c5c,"Только скажи еще, что ты не рад этому.",,,,,
"A ""%%""",A_ff3bf099,"Хех, еще как рад, но если бы передо мной стоял выбор между вами, то я бы как следует занялся твоей мутацией.",,,,,
"S ""%%""",S_39efb69e,"... Идиот, иди уже отсюда...",,,,,
"A ""%%""",A_7d1064c2,"Хочешь, знать чтобы я изменил в первую очередь?",,,,,
"S ""%%""",S_49356610,Нет!,,,,,
"A ""%%""",A_579bba31,"Ну вот и ладно, мне пора, ты тут не задерживайся.",,,,,
"""%%""",narrator_49c22c0b,"Стуков радостно направился в другом направлении, оставляя Сару в гордом одиночестве.",,,,,
"C ""%%""",C_8e15d15e,(Полюбому речь шла о твоих сиськах.),,,,,
"S ""%%""",S_d502cbc9,"Я уже достаточно хорошо его знаю, что бы и самой это понять.",,,,,
"S ""%%""",S_c612cca5,"(Слушай, а разве тебя вообще не беспокоит, то что со мной хотят сделать?)",,,,,
"C ""%%""",C_78226639,"(Если ты говоришь про страх, то я не испытываю ничего в данном ключе. Если ты не забыла я не обременен эмоциями, да и не только я. Многие в Рое не чувствуют ни страха ни других чувств.)",,,,,
"C ""%%""",C_4656620e,"(Но я могу чувствовать то что испытываешь ты, только как бы это выразится, я воспринимаю это по другому, не так как это чувствуешь ты.)",,,,,
"S ""%%""",S_02475efc,"Хорошо, тогда давай зайдем с другой стороны. Неужели тебя не беспокоит, что я могу изменится?",,,,,
"C ""%%""",C_09fc6cd2,"(Насколько мне известно, твой разум и сознание никто не собирается трогать, это самое дорогое что есть у тебя, по меркам Роя конечно же, ну сиськи я не беру в счет.)",,,,,
"C ""%%""",C_fc80aa19,"(Так вот, напомню тебе, что сейчас речь идет именно о работе над твоими слабыми частями, а имнно над плотью. Ну и моя позиция тут проста, если они сделают тебя моего носителя сильнее, то это будет только мне на руку, ибо как ты понимаешь мы в одной лодке. Сильнее ты, сильнее я.)",,,,,
"C ""%%""",C_567f3f1f,"(Я уже не говорю о возможностях которые откроются перед нами. Если все пройдет так как нужно, то ты не только станешь сильнее, ты станешь универсальнее. Ты сможешь слиться с Роем, тебе станет подвластно твое собственное тело, в таких аспектах, о которых ты раньше не задумывалась.)",,,,,
"C ""%%""",C_01215b8a,"(Конечно же на это уйдет некоторое время, тебе нужно будет освоится. Но это если все пройдет успешно.)",,,,,
"S ""%%""",S_5ec7b4de,...,,,,,
"S ""%%""",S_fd575118,"Черт... Иногда я действительно забываю, что ты разумная и бесчувственная часть меня.",,,,,
"S ""%%""",S_700e6951,"Ладно, хватит терять время на пустую болтовню, погнали!",,,,,
"S ""%%""",S_11d9430d,"Правда все еще неизвестно, что именно меня ждет... Сейчас мы обо всем узнаем!",,,,,
"""%%""",narrator_84382e34,"Сара решительно направилась вперед, желая наконец узнать, что для нее уготовили зерги. Небольшой страх присутствовал, но любопытство было способно толкнуть девушку на необдуманные поступки.",,,,,
