location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"S """"",S_f379c3a4,Отведи меня к Абатуру.,,,,,
"A """"",A_58dbad04,"Хех, все же ты решила выбрать путь Абатура.",,,,,
"S """"",S_fdf80ec5,Да.,,,,,
"A """"",A_e40c5f48,"Хорошо, я отведу тебя к нему, следуй за мной.",,,,,
"""""",narrator_9b28ab2a,Стуков вместе с Сарой направились к Залу Эволюции.,,,,,
"A """"",A_f948b706,"Ну, вот мы и пришли. Ты знаешь, что дальше нужно делать.",,,,,
"A """"",A_1305f8e7,"А я подожду тебя, как всегда, здесь.",,,,,
"""""",narrator_9f6c9013,"Двери перед Сарой распахнулись. Она понимала, что ждет ее впереди: очередная встреча с Абатуром.",,,,,
"AB """"",AB_589c9e88,"Терран прибыл, готов начать.",,,,,
"S """"",S_262d2c7f,А? Ч-что? Ты даже не объяснишь?,,,,,
"AB """"",AB_2530bc6d,"Много вопросов. Провел 2504 эксперимента. Один успешный. Результат приемлем, нет необходимости в продолжении. Можно приступать.",,,,,
"S """"",S_c571dca3,"(Ч-что, вот так вот сразу?)",,,,,
"S """"",S_ac4dd6df,"Я даже не знаю, на что подписываюсь...",,,,,
"AB """"",AB_18db8630,"Методы не важны, важен результат.",,,,,
"S """"",S_753ce766,Ч-что мне нужно делать?,,,,,
"AB """"",AB_f6403bb3,Принять организмы. Ждать эффекта. Эволюция требует времени. Работаю под ограничениями. Без них быстрее. Но терранская эссенция слаба.,,,,,
"S """"",S_36c73fc8,Ч-что значит ‘принять’?,,,,,
"AB """"",AB_65c97b77,"Оптимальный вариант съесть их. Улучшенное поглощение, ускоряет изменения.",,,,,
"S """"",S_34199a59,!!!,,,,,
"S """"",S_5f290dbb,...,,,,,
"S """"",S_c4c3ea75,(Это действительно мерзко... Но я должна это сделать.),,,,,
"S """"",S_e81bfd28,"Хорошо, я сделаю это...",,,,,
"""""",narrator_121f944a,Сара села на пол и начала ждать.,,,,,
"ABside4 """"",ABside4_861a2570,"Необходимо удалить мертвые ткани с тела. Изменял других, мертвые ткани уничтожены. Вызвало спор с Владычицей. Приказано сохранять. Не понимаю, но подчиняюсь.",,,,,
"S """"",S_34199a59_1,!!!,,,,,
"S """"",S_57760df7,"(Черт, так и знала...)",,,,,
"ABside2 """"",ABside2_da2c840a,"Быстрее, нужно начинать.",,,,,
"S """"",S_5f290dbb_1,...,,,,,
"S """"",S_16d309bb,Хорошо.,,,,,
"""""",narrator_c43f6215,Сара быстро сняла с себя вещи и сложила их рядом.,,,,,
"ABside1 """"",ABside1_45966a76,Можно начинать.,,,,,
"""""",narrator_f6371875,"Сара села прямо перед Абатуром. Она еще не знала, что ее ждет.",,,,,
"ABside1 """"",ABside1_8912f90b,Оптимальная позиция для поглощения. Можно приступать.,,,,,
"S """"",S_b463b829,Да... я как-то не задумывалась даже...,,,,,
"S """"",S_eead84fa,(Это все из-за этого кормления...),,,,,
"""""",narrator_21b06b9a,Абатур вытянулся вверх и возвысился над Сарой.,,,,,
"S """"",S_1b703c3c,"(Ааа??? Ч-что это, он просто так вытянулся? Получается, он еще больше, чем выглядит.)",,,,,
"AB """"",AB_20a23388,Начинаю вырабатывать организмы. Приготовься к поглощению.,,,,,
"""""",narrator_3ea97418,"Во рту Абатура начали появляться различные мелкие организмы, он также стал издавать странный звук.",,,,,
"S """"",S_7d43b3c0,"С-стой, подожди, т-ты хочешь, чтобы я в такой позиции их ела? Я-я думала, ты мне их дашь и я сама их съем.",,,,,
"AB """"",AB_7c900c7a,"Организмы слабые. При взаимодействии других факторов возможны последствия. Во мне они в безопасности, успех гарантирован.",,,,,
"AB """"",AB_d02fc227,"Готово, приступаю к передаче.",,,,,
"S """"",S_34199a59_2,!!!,,,,,
"S """"",S_546131f9,"С-стой, нельзя просто та...",,,,,
"S """"",S_ed11986a,(А??? О-они падают прямо на меня...),,,,,
"S """"",S_25fdad47,Мн... ахх... ,,,,,
"S """"",S_d0498839,*Аамп... амп...*,,,,,
"S """"",S_16362214,(Аххх... нет... это странно... аххх... они шевелятся...),,,,,
"AB """"",AB_2ba9e938,"Проникшие организмы начинают работу, продолжаю наполнение.",,,,,
"""""",narrator_ce6496d6,"От удивления Сара закрыла глаза и пыталась освободится из лап Абатура, из-за чего некоторые организмы попадали не только в рот Саре, но и на ее тело.",,,,,
"S """"",S_bd8a20bf,Аххх...ммм... нет... мнг...,,,,,
"S """"",S_ba9f95fd,"(Аххх... н-нет, отпусти меня... я-я не могу...)",,,,,
"""""",narrator_ba15362b,"Организмы начали извиваться на теле Сары, для нее это была дополнительная стимуляция.",,,,,
"S """"",S_8a5f8f20,*Гулп*,,,,,
"S """"",S_90f50324,(Аххх... их так много...),,,,,
"""""",narrator_579e265c,"Она, сама не осознавая этого, получала огромные порции удовольствия от процесса поглощения организмов.",,,,,
"S """"",S_9eb3124d,"(Ахх... ч-черт, неужели это все последствия этой еды, я слишком часто ее ела и мое тело теперь реагирует само по себе...)",,,,,
"AB """"",AB_d897cbe6,Множество организмов не попало внутрь. Неэффективное поглощение неприемлемо. Нужно улучшить.,,,,,
"S """"",S_770c60c9,Мнх... ммм... ахх...,,,,,
"S """"",S_3e16171d,(Я... я... стараюсь аххх... изо всех сил.),,,,,
"""""",narrator_d5908295,"Сара продолжала поглощать организмы, но большинство из них попадали мимо рта.",,,,,
"S """"",S_36182f94,(Это чувство... моя голова... но почему? Это не должно быть так приятно... ахх...),,,,,
"S """"",S_0dd32b47,Мннмгх...,,,,,
"S """"",S_309b8c8d,(О-они ш-шевелятся во мне... ч-что это такое? Это сводит меня с ума... это чувство в моем горле...),,,,,
"S """"",S_baf733f6,Мнг... аххх... бхе...,,,,,
"S """"",S_93899c66,(Аххх... нет... не насилуйте мое горло... живот... ахх... мое тело становится таким горячим!!!),,,,,
"AB """"",AB_0010b721,"Организмов внутри недостаточно, продолжение вливания неэффективно.",,,,,
"AB """"",AB_cb4f095d,"Попытка завершить эксперимент, адаптация к малому количеству.",,,,,
"S """"",S_ebab5b3f,(Ч-что он имеет в виду? К-какая адаптация...),,,,,
"AB """"",AB_d5fcb2fe,Адаптация завершена успешно.,,,,,
"S """"",S_ee6d769a,"(А? С-стой, даже не думай ничего делать, я сейчас слишком чувствительная!)",,,,,
"AB """"",AB_0c2943f4,Начинаем выпуск эссенции.,,,,,
"S """"",S_fcb32620,"(Ч-чтооо??? Н-нет, не надо!!!)",,,,,
"S """"",S_20b62215,МММММММММММММММ!!!,,,,,
"S """"",S_3f4e3220,МММ!!! Ммммм!!! Мммм!!! Нет-нет-нет!!!,,,,,
