location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"""%%""",narrator_03504faf,"Королева Клинков медленно вошла в тронный зал, следуя за Стуковым.",,,,,
"A ""%%""",A_42f384d9,"Может быть, ты поторопишься?",,,,,
"""%%""",narrator_b1d7e9bd,"Девушка брезгливо осмотрела его, демонстрируя все свое пренебрежение.",,,,,
"S1 ""%%""",S1_f7ea6b08,"Как ты не понимаешь... Я хочу выжечь это событие на подкорке своего сознания. Запомнить все мельчайшие детали этого дня. Прокручивать их каждый раз, упиваясь моментом, когда я заняла свое истинное место.",,,,,
"S1 ""%%""",S1_bde3b4df,Но тебе этого не понять.,,,,,
"""%%""",narrator_be96f1fd,"Королева Клинков отмахнулась от него, проходя вперед и опережая.",,,,,
"S1 ""%%""",S1_b9a3c8a7,"Ты всего лишь пешка, которая никогда не познает истинную силу. А даже если познаешь, она сведет тебя с ума быстрее, чем ты сможешь подумать о голой женщине.",,,,,
"S1 ""%%""",S1_0829bf39,"Ты даже не представляешь, насколько слаб и жалок. Если бы не возможность пользоваться тобой, я бы без сожалений стерла тебя в порошок и забыла бы об этом.",,,,,
"S1 ""%%""",S1_eef219b5,"Но сейчас я не хочу думать о чем-то таком, как ты. Меня интересует рыба покрупнее, хи-хи.",,,,,
"""%%""",narrator_15361b75,"Девушка четко знала цель своего визита. Она не сомневалась в своих способностях, но ей все еще хотелось проверить, насколько долго продержится Владычица перед ней.",,,,,
"""%%""",narrator_00f1e567,"Королева Клинков предстала прямо перед Владычицей, демонстрируя все свое великолепие.",,,,,
"S1 ""%%""",S1_ed9f6893,"Неплохое местечко ты себе выбрала. Хм, я могла бы даже оставить его в первозданном виде для себя... Но нет, не хочу опускаться до твоего уровня.",,,,,
"""%%""",narrator_9f3219c6,"Владычица вышла из тени, возвышаясь над девушкой.",,,,,
"Q ""%%""",Q_d0d84f09,"Хах, я ожидала, что скоро ты решишь навестить меня. Но ты продолжаешь удивлять меня своими изменениями каждый раз, когда я вижу тебя.",,,,,
"""%%""",narrator_9b2a9638,"Владычица осмотрела ее со всех сторон, не скрывая своего восторга в глазах.",,,,,
"Q ""%%""",Q_cc165f49,"Твоя новая форма... Восхитительна! Крепкое тело и новые возможности. Ах, хотела бы я снова пережить тот момент, когда ты чувствуешь свою новую силу.",,,,,
"Q ""%%""",Q_322f8d53,"Это превращение сделала тебя еще сексуальнее... Кто бы мог подумать, что ты станешь такой сильной.",,,,,
"Q ""%%""",Q_31870112,"ОН точно будет рад такому повороту. Я буду рада, да, черт возьми, все будут рады этому! А еще я буду больше рада, что мы его не разочаруем, ведь он верил в тебя.",,,,,
"S1 ""%%""",S1_389c8c7d,А ведь для умной особи тебе бы следовало просчитать все варианты исхода события... Неужели я тебя переоценила? Полагаешься на чью-то веру? Чушь...,,,,,
"""%%""",narrator_d5b4a96d,"Королева Клинков посмотрела Владычице прямо в глаза, начиная закипать.",,,,,
"S1 ""%%""",S1_beb75d1e,"Хвалить меня? Я из без твоего никому не нужного мнения знаю, что я великолепна и сильна. Ты серьезно думаешь, что я должна быть благодарна хорошим словам от такой, как ты, в мою сторону?",,,,,
"S1 ""%%""",S1_f6d7775e,"Думаешь, что у тебя или того, кого ты так громко называешь ОН, хватит силенок управлять мной? Ха! Это просто смехотворно!",,,,,
"""%%""",narrator_ee000350,"Девушка начала движение в сторону Владычицы, внушая своей аурой опасение за ее целостность.",,,,,
"S1 ""%%""",S1_bc5e620c,"Посмотри на себя, а потом на меня. И пойми, какая ты ничтожная на моем фоне. Тебе просто повезло получить хоть немного власти только потому, что я готовилась занять положенное мне место. Но твоя минута славы окончена, я наконец на свободе.",,,,,
