location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"Z """"",Z_f81616ff,Гррррррр...,,,,,
"""""",narrator_ccbf1d1c,"Сара ощущала, как медленно со всех сторон к ней приближались множество голодных зерглингов.",,,,,
"S """"",S_b1e91078,Мне уже это не нравится... Прочь!,,,,,
"Z """"",Z_a7138517,Гррааааа!!!,,,,,
"S """"",S_1a967b70,"(Да уж... Не тронут. По их глазам видно, что они еще чуть-чуть и разорвут меня! Сколько их вообще...)",,,,,
"S """"",S_97a229e6,"Черт, их становится все больше, они вылазят с каждой дыры!",,,,,
"S """"",S_a66e8d66,"Не приближайтесь! Вы все пожалеете, если сдвинетесь со своим мест еще хоть на шаг!",,,,,
"""""",narrator_1526c42a,"Но тем было плевать на то, что приказывала Сара. Они, медленно окружая, приближались к девушке.",,,,,
"S """"",S_bcf535bb,"(Кажется... их становится все больше и больше! Они загнали меня, словно добычу! М-мне нужно что-то делать.)",,,,,
"""""",narrator_57d906f3,"Сбивая девушку с ног, зерглинг встал над ней, осматривая свою добычу.",,,,,
"S """"",S_652979af,(Я ведь не раз была среди кучи зергов! Почему тогда... я не могу пошевелиться?),,,,,
"Z """"",Z_bbd17c6b,Скр-скр-скр.,,,,,
"""""",narrator_0f6509ea,"Подошедший зерглинг уверенно лизнул шею Сары, возбужденно рыча. Следом послышались и звуки со стороны.",,,,,
"""""",narrator_702fdc7d,"Так, проиграв, Сара стала заложницей похотливых зерглингов.",,,,,
"""""",narrator_148c636e,"Конечно же, Сара пыталась сопротивляться, когда зерг стал залезать на нее, но у нее ничего не получалось.",,,,,
"Z """"",Z_72e26425,Скр-скррр...,,,,,
"S """"",S_237a06aa,(Эти зерглинги такие... животные!),,,,,
"""""",narrator_11be3c4f,"Все было ровно так, как говорил Заард. Зерглинги не стали причинять вреда Сары, у них было запланировано другое событие для их жертвы. Ее жизни ничего не угрожало напрямую.",,,,,
"S """"",S_a8db23eb,АААААХХххх!!!,,,,,
"Z """"",Z_808fa1ba,Ггггррр...,,,,,
"""""",narrator_d35b5453,"Зерглинг действовал без каких-либо прелюдий, резко и глубоко входя в Сару, заставляя ее забыть о том, что она думала.",,,,,
"S """"",S_a04924a3,(Почему... они всегда такие?!),,,,,
"""""",narrator_ba00e611,"Было бы неправильным сказать, что девушка этого не ожидала. Она отдавала себе полный отчет, что с ней сделают в случае, если все же она попадется.",,,,,
"S """"",S_52e8051d,"Ммммм... Прекрати, пока не поздно!",,,,,
"""""",narrator_60d7b2ce,"Зерг недовольно рычал, чувствуя сопротивление, но выходить не собирался.",,,,,
"S """"",S_0b9199f9,"Нннгг... Ты, чертов... Ах!!!",,,,,
"S """"",S_4f030c4d,(Почему все не могло пройти без приключений?! Я не могу позволить этим голодным животным так спокойно надругаться надо мной! Еще и всем...).,,,,,
"S """"",S_40cc51a7,"(Мне нужно освободиться, пока это не зашло слишком далеко и мной не воспользовалась вся эта возбужденная стая.)",,,,,
"""""",narrator_9304de33,"Сара пыталась скинуть с себя тело зерглинга, но он лишь сильнее навалился на нее, входя глубже.",,,,,
