location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"SO """"",SO_bbc675d7,Все готово... Лидеры в сборе.,SO_bbc675d7,,,,
"S """"",S_300727a2,Отлично. Иди... Я подойду позже.,S_300727a2,,,,
"""""",narrator_918b9db4,"Сара находилась недалеко от места, в котором должны были собраться все лидеры по ее приказу, но оттуда раздавались странные звуки.",narrator_918b9db4,,,,
"U """"",U_c5eab20e,ГА-А-А-А-А!,U_c5eab20e,,,,
"Os """"",Os_7c91d0ed,Ме-е-дленно!,Os_7c91d0ed,,,,
"S """"",S_e2742005,!!!,S_e2742005,,,,
"S """"",S_d3c4572c,З-землетрясение???,S_d3c4572c,,,,
"""""",narrator_918b9db4_1,"Сара находилась недалеко от места, в котором должны были собраться все лидеры по ее приказу, но оттуда раздавались странные звуки.",narrator_918b9db4_1,,,,
"S """"",S_3c2a4c6c,"Это определенно исходит оттуда, неужели это они?",S_3c2a4c6c,,,,
"Os """"",Os_232797af,Что ты можешь мне сде-елать? Снова попробуешь раздавить?!,Os_232797af,,,,
"U """"",U_dbeac97a,Именно это я и сделаю! Как ты вообще посмел сюда явиться?!,U_dbeac97a,,,,
"U """"",U_12b89cef,Сколько раз я тебе говорил? Тебе здесь не место!,U_12b89cef,,,,
"U """"",U_480af677,РАЗДАВЛЮ!!!,U_480af677,,,,
"""""",narrator_5d0d2701,"Здоровенного вида существо снова попыталось нанести сокрушительный удар, из-за которого сотрясались не только стены.",narrator_5d0d2701,,,,
"S """"",S_b3d72936,(Так вот что это было...),S_b3d72936,,,,
"S """"",S_1974c06a,(...),S_1974c06a,,,,
"""""",narrator_3aef211f,"Сара с недоумением смотрела на бардак, который тут творился. Она ожидала чего угодно, но точно не этого.",narrator_3aef211f,,,,
"Os """"",Os_f109abd5,"Позвали все-ех. Может, я и сам не хочу быть рядом с таким болваном, но я вынужден.",Os_f109abd5,,,,
"U """"",U_9dfcff05,Я могу помочь тебе больше никогда меня не видеть... Я тебя раздавлю!,U_9dfcff05,,,,
"""""",narrator_04ab023d,"Ультралиск создавал оглушающий грохот, пытаясь задавить проворного осквернителя.",narrator_04ab023d,,,,
"Os """"",Os_627e2964,Ничего большего от тебя ожидать и не сто-о-оило!,Os_627e2964,,,,
"U """"",U_2d1e8b9b,Давно пора было задавить такое мерзкое существо! Убью!,U_2d1e8b9b,,,,
"S """"",S_2d17e463,(Куда я попала...),S_2d17e463,,,,
"S """"",S_717aa0cc,(Они могли хотя бы сейчас сдерживать себя?),S_717aa0cc,,,,
"""""",narrator_ce73d6d3,"Помимо драки Сара заметила еще нескольких существ, которые находились чуть в стороне от драки, внимательно наблюдая за происходящим.",narrator_ce73d6d3,,,,
