location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"S """"",S_3c47aa41,"Никогда не думала, что сама приду к тебе, Абатур. Особенно при таких обстоятельствах и с такой просьбой...",S_3c47aa41,,,,
"AB """"",AB_ef497237,...,AB_ef497237,,,,
"S """"",S_efe5c185,"У меня весьма специфическая просьба... Как сказать, я и сама против этого, но обстоятельства вынуждают.",S_efe5c185,,,,
"AB """"",AB_ef497237_1,...,AB_ef497237_1,,,,
"S """"",S_b2fab4a1,С этой вынужденной мерой я могу обратиться только к тебе...,S_b2fab4a1,,,,
"""""",narrator_d5c1d497,"Девушка долго собиралась с мыслями, пытаясь придумать, как можно было бы наиболее просто объяснить ее цель визита.",narrator_d5c1d497,,,,
"S """"",S_a067f781,Странно такое просить у тебя... но мне нужно... сделать кое-что... кое-что деликатное...,S_a067f781,,,,
"S """"",S_599ec3af,"В общем, эм... ... мне нужно, чтобы ты, ха-ха...",S_599ec3af,,,,
"AB """"",AB_2522fcaf,Цель известна. Могу приступать.,AB_2522fcaf,,,,
"S """"",S_288003e5,"А... Да? Черт, тогда почему же ты...",S_288003e5,,,,
"S """"",S_51990131,({size=-3}Мог бы сразу сказать...{/size} {size=-6}и не заставлять меня тут...{/size}),S_51990131,,,,
"""""",narrator_4b88a9ca,"Сара отвела глаза в пол, ощущая всю неловкость ситуации.",narrator_4b88a9ca,,,,
"AB """"",AB_84c15cbd,Изменения бессмысленны.,AB_84c15cbd,,,,
"S """"",S_3359d5df,"Ха-ха, вот ведь знаешь ли, но тут я с тобой соглашусь... Значит, ты не поможешь?",S_3359d5df,,,,
"AB """"",AB_1a3e3485,Помогу. Другого пути нет.,AB_1a3e3485,,,,
"S """"",S_ffb30c68,"Видимо ты сегодня в настроении поговорить? Ну ладно, тогда почему тогда ты считаешь это бессмысленным?",S_ffb30c68,,,,
"AB """"",AB_00b3c887,Цель эволюции — выживание роя. Необходимая мера. Твоя мутация бесцельная.,AB_00b3c887,,,,
"S """"",S_2e896f35,"Зачем соглашаться на это, если это не твой профиль? Ты здесь для мутации во благо Роя. Может быть, если бы отказал, то мне не пришлось бы идти на это.",S_2e896f35,,,,
"AB """"",AB_055a7541,"Исключено. Причины неважны. Чтобы помочь, требуется эволюция. Эволюция моя цель.",AB_055a7541,,,,
"S """"",S_9b82514a,"Ты бываешь таким странным порой... Недоволен, но ничего не делаешь с этим.",S_9b82514a,,,,
"AB """"",AB_f9a961f8,Повсюду неэффективность. Случайные мутации. Нет пользы для роя. Зерги спроектированы для боя. Индивидуальность бесполезна.,AB_f9a961f8,,,,
"S """"",S_3a0babd2,"Я, кажется, понимаю о чем ты... Но с ними можно по-другому. В конце концов, живыми они могут быть полезнее, чем мертвыми.",S_3a0babd2,,,,
"AB """"",AB_7c57ca53,Ликвидация эффективнее. Быстрее. Позволит изучить.,AB_7c57ca53,,,,
"S """"",S_8a28e656,"А что, в них есть что-то интересное тебе?!",S_8a28e656,,,,
"AB """"",AB_f98a6907,Интересные мутации. Сильная эссенция. Можно использовать. Разум устранить.,AB_f98a6907,,,,
"S """"",S_af2fe68c,"Почему ты так настаиваешь, что он им не нужен? Просто ты постоянно говоришь это. Но не о владычице... Или ты и меня хочешь лишить...",S_af2fe68c,,,,
"AB """"",AB_406e9423,Нет. Иная цель. Вы другие. Ликвидация сознания мешает. Не нужно.,AB_406e9423,,,,
"S """"",S_7ae9c31b,"Какое облегчение. Я, конечно, рада. Но что это за цель-то?",S_7ae9c31b,,,,
"AB """"",AB_d63b39a9,Совершенство роя. Недостижимо. Постоянное движение. Поиск лучших форм. Требуется специализация.,AB_d63b39a9,,,,
"S """"",S_f3ce26ea,"И просто потому, что они не вписываются в роль, их надо устранить?",S_f3ce26ea,,,,
"AB """"",AB_9bb933cd,Верно. Есть иные зерги. Такие не нужны.,AB_9bb933cd,,,,
"S """"",S_9aeaa7c1,Но мне кажется...,S_9aeaa7c1,,,,
"AB """"",AB_cd67430a,Общение закончено. Начинаем мутацию.,AB_cd67430a,,,,
"""""",narrator_353e063d,Сара непонимающе смотрела на Абатура.,narrator_353e063d,,,,
"S """"",S_98e1b156,"Как всегда. И что, ты ничего не спросишь? Неужели ты знаешь прямо все-все?",S_98e1b156,,,,
"AB """"",AB_82e81058,Нужное известно. Этого достаточно.,AB_82e81058,,,,
"S """"",S_abc6c998,"Эм... Боюсь представить, как тебе передавали описание... Но упустим это.",S_abc6c998,,,,
"AB """"",AB_15900689,Телепатическое общение. Эффективно. Терранское общение. Не эффективно.,AB_15900689,,,,
