location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"S """"",S_RLbJDoY6,"Я не могу в это поверить! Такую важную информацию сказать только сейчас! Он разве не говорил, что я вынашиваю их последние дни?",,,,,
"S """"",S_JtT5ZA4a,"Он хочет сказать, что я проносила их зря? Что за наглость!",,,,,
"S """"",S_HpiYS7wf,Да он смеется надо мной!,,,,,
"centered """"",centered_cMA8MZYT,Несколькими часами ранее...,,,,,
"Os """"",Os_HKwRA2Pw,"А, кс-стати!",,,,,
"""""",narrator_P9uSwcHQ,"Осквернитель выглядел как ни в чем не бывало, останавливая Сару посреди коридора.",,,,,
"S """"",S_sBnFkH3P,"По-моему, я тебе говорила не появляться у меня перед глазами!",,,,,
"Os """"",Os_bVoccpir,О... Не начина-а-ай! Это тебе захочется ус-слышать.,,,,,
"S """"",S_qnCeCm4i,От тебя я ничего слышать не хочу!,,,,,
"S """"",S_LPCwuyJT,Каждый раз происходит то-то плохое после наших разговоров...,,,,,
"Os """"",Os_HZXLj8zz,Ну раз ты не хочешь с-слышать...,,,,,
"""""",narrator_QGZQvEpD,"Осквернитель уже собирался удаляться, когда повернулся и многозначительно прищурился.",,,,,
"Os """"",Os_WeH8Vk2G,"Только не кричи потом, что я не предупрежда-ал.",,,,,
"S """"",S_ESfqZwYx,А ну стоять!,,,,,
"S """"",S_tdQDgtx9,Это о чем таком ты должен меня предупредить?,,,,,
"Os """"",Os_H8e8MC76,Так ты все же хочешь с-слышать?,,,,,
"S """"",S_Aqz2h8Zx,"По-моему, плохое произойдет в любом случае, скажешь ты или нет.",,,,,
"Os """"",Os_ttehYxbd,"Раз так, то с-слушай внимательно!",,,,,
"Os """"",Os_EQRR97XY,"Ты можешь чувствовать дикий голод, и это нормально. Все, что тебе нужно, это с-собрать материал.",,,,,
"S """"",S_eqJuWSA8,М-материал? Ч-что еще за материал?,,,,,
"Os """"",Os_pnBzhVVS,Хе-ех.!,,,,,
"Os """"",Os_ooVDKs6u,Генетичес-ский материал.,,,,,
"S """"",S_mHW3MutC,"Эм... Давай без своих загадок, ладно?",,,,,
"S """"",S_FU9UCzG4,"(Если так подумать, то я действительно сейчас бы слона съела... Это все из-за них? У меня давненько не было такого аппетита.)",,,,,
"Os """"",Os_9UtYM7Bd,Мои малыш-ши особенные.,,,,,
"S """"",S_fs5jfn5J,"Это мы уже слышали, конкретнее!",,,,,
"Os """"",Os_gtt5LQjt,"Обычной едой тут не обойтись. Она просто-напросто не насытит тебя, они будут требовать особый материал! Который таится внутри ДНК зергов!",,,,,
"S """"",S_YJDehTJv,"Это что, зерги-каннибалы???",,,,,
"Os """"",Os_kTUxubki,"Нет, в обычных условиях они бы питались как и все зерги здесь. Но сейчас они в твоем теле, а у тебя нет синхронизации с кораблем, ты не можешь получать от него необходимые компоненты.",,,,,
"Os """"",Os_LxSwB7VN,Я лиш-шь нашел способ обойти эту ситуацию.,,,,,
"S """"",S_NBrQ6aDE,И что ты предлагаешь мне делать? Убить здесь парочку зергов?,,,,,
"Os """"",Os_cBhKoBxo,"Думаю, парочкой не обойтись... Но даже так убивать никого не нужно, всего лишь заставить его кончить.",,,,,
"S """"",S_75b6Ftbk,"Ах, ну да. Я забыла, что у тебя все проблемы решаются одним путем.",,,,,
"S """"",S_4mi8NMtn,Дрочить непонятно какому количеству зергов... Я потрачу на это целую вечность!,,,,,
"Os """"",Os_rf5GrVrM,"Тогда тебе с-следует поторопиться, голод будет лишь усиливаться.",,,,,
"centered """"",centered_F5nQjyC4,Наше время.,,,,,
"""""",narrator_gcDuwFM8,"Сара напряженно мяла переносицу, пытаясь собраться с мыслями.",,,,,
"S """"",S_j8t7kHNN,"Ладно, с вопросом, как мне собрать их сперму, я еще разберусь. Но что делать с этим животом... Я не хочу, чтобы кто-либо видел меня в таком состоянии...",,,,,
"S """"",S_aTDckZzQ,"Этот живот... набухшие соски... черт, да и еще этот голод... боюсь, я могу сорваться, увидев их...",,,,,
"S """"",S_AVzUePvq,...,,,,,
"S """"",S_UhxdhUiq,.........,,,,,
"S """"",S_Cud3Xsba,..........................,,,,,
"S """"",S_5ntQCa3q,"Ну, есть одна идейка.",,,,,
"S """"",S_HUR3M4YD,Не гений ли я?,,,,,
"""""",narrator_X8U9q6Kr,"Девушка отряхивала руки, наблюдая за проделанной работой. Перед ней красовалась небольшая дырка в стене, аккуратно выжженая в металлическом полотне. Достаточная для прохода больших предметов.",,,,,
"S """"",S_FnFQj4K2,Гений!,,,,,
"S """"",S_EcLhjvvh,!!!,,,,,
"""""",narrator_KUigezbC,"Сара схватилась за надутый живот. Даже сквозь кожу можно было заметить дребезжание яиц, но в этот раз это было неприятно и очень болезненно.",,,,,
"S """"",S_SPTxSy3T,"Это... Нехорошо, они действительно проголодались.",,,,,
"S """"",S_UQos6sq9,"(Думаю, он специально мог замалчивать этот нюанс, чтобы поставить меня в такое положение...)",,,,,
