"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"""""","narrator_e5a6582f","Сара направилась к Лиззаре, чтобы проверить ее состояние. Вид протосса оставлял желать лучшего. Она едва стояла на ногах и в любой момент могла рухнуть.","","","","",""
"S """"","S_2d67b77e","(Что-то Лиззара не говорит, что голодна... Хотя уже время. Или у протоссов больше выдержка? Но я ведь говорила ей не доводить себя...)","","","","",""
"L """"","L_4d7cacdf","(...)","","","","",""
"S """"","S_6a0ab5eb","Я ведь тебе говорила: сразу сообщи мне, как станет плохо. Еще немного и снова придется тащить тебя в голодном обмороке.","","","","",""
"L """"","L_03b143e8","(Это... вовсе не так. Мне не нужен этот тентакль... Я пока хорошо справляюсь.)","","","","",""
"""""","narrator_b526fa69","Сара задумчиво приложила руку к подбородку, осматривая Лиззару с головы до ног.","","","","",""
"S """"","S_40c08ae2","Даже если у тебя еще остались силы, я не хочу, чтобы мы изучали твой предел. Никогда не знаешь, когда нам понадобится твоя сила. Нельзя доводить до худшего, тем более в логове врага.","","","","",""
"""""","narrator_20a27709","Девушка сделала серьезное лицо, отсекая любые отказы до того, как протосс успеет их произнести.","","","","",""
"L """"","L_80d33639","(В твоих словах кроется истина... Н-но...)","","","","",""
"""""","narrator_0a0ce7e8","Лиззара стушевалась перед строгим выражением лица Сары, не решаясь продолжить.","","","","",""
"S """"","S_9bf9cf90","Никаких ‘но’! Ты прекрасно себя чувствовала после прошлого раза, а значит, метод прекрасно работает.","","","","",""
"L """"","L_4d7cacdf_1","(...)","","","","",""
"L """"","L_de99b08e","(Вот увидишь, я сейчас немного полежу и силы вернутся ко мне, все будет нормально.)","","","","",""
"S """"","S_2a669297","Нормально будет, когда ты засунешь эту штуку в себя! Тебе все равно придется приспособиться к этому кораблю. Даже если тебе не нравятся эти изменения, они не зависят от нашего желания.","","","","",""
"S """"","S_a0ddd76f","Либо ты погибнешь, либо подстроишься под окружение.","","","","",""
"S """"","S_f47a7761","(Вот жеж упертая... определенно похлеще меня будет...)","","","","",""
"S """"","S_882f9c6a","Гр...","","","","",""
"""""","narrator_3583502c","Неожиданностью для Лиззары стало то, что Сара начала сбрасывать с себя все вещи. От такого девушка просто застыла и с удивлением продолжала смотреть на нее, боясь даже узнать, что она задумала.","","","","",""
"L """"","L_688a97c4","(С-Сара?! Ч-что ты делаешь? З-зачем ты? М-мы же...)","","","","",""
"""""","narrator_f5b33873","Протосс от неожиданности стала прикрывать свои глаза, чтобы не видеть обнаженную подругу.","","","","",""
"L """"","L_55b94eb2","(Зачем ты раздеваешься? Я-я не понимаю... Ты меня пугаешь...)","","","","",""
"S """"","S_e23c4bc5","Здесь нет ничего страшного. Мы уже достаточно близки, так что все в порядке. Я не могу бросить тебя здесь умирать.","","","","",""
"L """"","L_bcfd51e7","(От твоих слов становится только больше не по себе...)","","","","",""
"L """"","L_22a1c30d","(Одно дело увидеть другого по необходимости... Но сейчас нет необходимости!)","","","","",""
"S """"","S_78903bbe","Да брось... В этом нет ничего такого. Я делаю это для того, чтобы ты поела.","","","","",""
"L """"","L_4d7cacdf_2","(...)","","","","",""
