location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"""""",narrator_d31debdc,"Лиззара вздрогнула, услышав размеренный стук каблуков.",,,,,
"L """"",L_effa9a5c,(Я знаю этот звук... Он можешь принадлежать только...),,,,,
"S1 """"",S1_4a2abc74,Ха-ха-ха. Не ждала?,,,,,
"S1 """"",S1_86ce93c8,"Моя маленькая собачонка, как ты могла от меня утаить такое важное событие?",,,,,
"L """"",L_730f3d2e,"(Я... Я не понимаю, о чем ты.)",,,,,
"L """"",L_0120d84e,"(Никаких событий! Я просто... сижу здесь. Да, просто сижу.)",,,,,
"S1 """"",S1_36424010,"Ты та-а-ак плохо врешь, Лиззара. Может, преподать тебе урок лжи?",,,,,
"S1 """"",S1_830839f5,"Стоило мне только заговорить, так ты сразу стала все отрицать. А твой голос... Давно он так дрожит?",,,,,
"L """"",L_0f734aa9,(А... Я...),,,,,
"S1 """"",S1_350c8356,Тс-с-с-с-с-с-с...,,,,,
"""""",narrator_a1a1067d,"Королева Клинков приближалась все ближе, теперь Лиззара могла чувствовать ее дыхание.",,,,,
"S1 """"",S1_cde75fc3,"У тебя на лице все написано. Можешь даже не пытаться, врать это не твое.",,,,,
"""""",narrator_31d1514e,"Лиззара боялась поднять свои глаза, слыша в голосе девушки нарастающее недовольство.",,,,,
"S1 """"",S1_71b7ef0e,"Чего замолчала? Решила сдаться с поличным? Правильное решение, милашка.",,,,,
"""""",narrator_4fe359b7,"Королева Клинков грациозно, как кошка, запрыгнула на поручень трона, внимательно изучая мелко трясущееся тело рядом.",,,,,
"S1 """"",S1_6ad925f0,"Да брось ты, мы же лучшие подружки... Почему ты все время об этом забываешь? Ты можешь рассказать мне все что угодно, хи-хи.",,,,,
"L """"",L_b1d3ebd8,(Ха???),,,,,
"L """"",L_53eb4d2e,"(Подружки? После всего, что ты со мной сделала?! ТЫ СМЕЕШЬ НАЗЫВАТЬ НАС ПОДРУЖКАМИ?!)",,,,,
"""""",narrator_94af4ae3,"Королева Клинков лишь улыбнулась в ответ, продолжая беззаботно вести беседу с девушкой.",,,,,
"S1 """"",S1_cb0e11c9,"Ха-ха-ха, ты так любишь преувеличивать, Лиззара. Да колись уже. Чья это была идея?",,,,,
"L """"",L_3f90ef13,(П-прекрати... Я не хочу это обсуждать!),,,,,
"S1 """"",S1_b248e71f,"Ну же, ты ведь не можешь скрывать это вечно. Тебе же нужно кому-то выговориться, это прекрасный момент. Я как раз в хорошем настроении.",,,,,
"S1 """"",S1_4b91e16f,"Мне так надоели обычные дела, хочу развеяться. И нет ничего лучше, чем послушать истории своей любимой подружки, которая пыталась скрыть от меня такое веселье, хи-хи-хи.",,,,,
