location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"L """"",L_7409269b,(Сара?),L_7409269b,,,,
"S """"",S_e529eafb,Ты ожидала увидеть кого-то еще?,S_e529eafb,,,,
"L """"",L_1483b056,"(Мы оба знаем, кто мог бы стать незваным гостем.)",L_1483b056,,,,
"S """"",S_561a3986,Ты о Стукове?,S_561a3986,,,,
"S """"",S_42b53831,"Он часто позволяет себе лишнее. Но я надеюсь, что он держался рядом с тобой?",S_42b53831,,,,
"L """"",L_0e7078b8,"(Он старался. Его похотливую ауру очень трудно было не заметить и его руки все равно тянулись к сокровенному когда глазел на меня, но он держался изо всех сил. Меня он не тронул.)",L_0e7078b8,,,,
"S """"",S_74824b26,(Все же сдержал слово... Хотя бы об этом я могу больше не беспокоиться.),S_74824b26,,,,
"L """"",L_2863de9c,(Но что с тобой случилось за все это время? Я вижу перед собой совершенно другого террана. Ты изменилась.),L_2863de9c,,,,
"S """"",S_7a281af6,Много чего произошло...,S_7a281af6,,,,
"L """"",L_ecdecaf4,"(И дело ведь не во внешности. Твои волосы и тело — малое, что изменилось. Я чувствую что-то темное внутри тебя.)",L_ecdecaf4,,,,
"S """"",S_ab966468,"Как ты... Иногда я забываю, что протоссы видят намного больше чем мы. А раньше ты ничего не чувствовала?",S_ab966468,,,,
"L """"",L_79c1afde,"(Нет, это значит, оно утаило себя или было очень глубоко спрятано. Даже мы можем многого не видеть.)",L_79c1afde,,,,
"S """"",S_08732e20,"Не думаю, что она не хотела быть найдена. Совсем наоборот. Она с удовольствием всем себя покажет.",S_08732e20,,,,
"L """"",L_5542942e,"(О ком ты говоришь? Ты знаешь, что таится в тебе?)",L_5542942e,,,,
"L """"",L_14c90766,(Это связанно с твоими изменениями?),L_14c90766,,,,
"S """"",S_3d75361d,Хватит! Слишком много вопросов. Забудь об этом.,S_3d75361d,,,,
"L """"",L_1c4a498a,"(Не поддавайся играм этой темной силы. Я могу помочь, если ты не справляешься сама.)",L_1c4a498a,,,,
"S """"",S_082838d1,"Мне нужно идти, поговорим позже.",S_082838d1,,,,
"""""",narrator_97a63ed9,"Сара тихо подошла к протоссу, замечая ее сильное увлечение каким-то процессом.",narrator_97a63ed9,,,,
"S """"",S_504090b0,(Странно... Что ее так сильно заинтересовало?),S_504090b0,,,,
"L """"",L_f2947235,Ммммм... Маа...,L_f2947235,,,,
"""""",narrator_026ba0b7,"От Лиззары исходили странные звуки, похожие на невнятное бормотание.",narrator_026ba0b7,,,,
"L """"",L_b932dab5,"(Это слишком сложно... Я думала, что будет лучше получаться, но совсем не понимаю, как пользоваться этой штукой... Будто заново учусь жить.)",L_b932dab5,,,,
"L """"",L_77c32195,Мммх...,L_77c32195,,,,
"L """"",L_d936bea1,(Бесполезно... Почему я так безнадежна в этом?),L_d936bea1,,,,
"S """"",S_54a4af46,"Лиззара, что ты делаешь? Кто издает такие странные звуки?",S_54a4af46,,,,
"L """"",L_990924a1,(С-сара??),L_990924a1,,,,
"L """"",L_c269332b,(Вот черт... Почему именно сейчас... Сейчас очень не вовремя...),L_c269332b,,,,
"S """"",S_faa7e995,!!!,S_faa7e995,,,,
"""""",narrator_c2313114,"Лиззара заметила на себе удивленный и немного напуганный взгляд Сары, тут же вспоминая про ненавистный рот.",narrator_c2313114,,,,
"S """"",S_74754ed1,Ч-что это такое???...,S_74754ed1,,,,
"L """"",L_8ab56b7a,(НЕТ! Не смотри...),L_8ab56b7a,,,,
"S """"",S_f2789a72,"(У-у тебя есть... Лиззара, что тут произошло, пока меня не было?)",S_f2789a72,,,,
"L """"",L_f91cb7ca,"(З-забудь, что ты видела... Закрой глаза и не смотри! Ничего не было... Нет, ничего...)",L_f91cb7ca,,,,
"S """"",S_406dab7a,Я точно видела кое-что странное...,S_406dab7a,,,,
"L """"",L_1372bfcb,(Странное? Ну да... Конечно странное.),L_1372bfcb,,,,
"""""",narrator_879cfb7d,"Сара почувствовала грустный тон Лиззары, понимая, что сказала лишнего.",narrator_879cfb7d,,,,
"S """"",S_69112a26,"Я... Я не так высказалась. Это... странно, но в том плане, что не обычно. А не в том, что плохо или отвратительно. Я просто не ожидала...",S_69112a26,,,,
"S """"",S_db1c1c8c,"Да и... хах, не каждый день видишь протосса со ртом... И очень даже зря!",S_db1c1c8c,,,,
"L """"",L_b9543fe3,"(Правда? Ты не думаешь, что это... ужасно?)",L_b9543fe3,,,,
"S """"",S_5fa9e5aa,"Конечно нет! Сейчас я вот хорошенько тебя рассмотрела и знаешь, другие протоссы должны тебе завидовать. Ты выглядишь прекрасно!",S_5fa9e5aa,,,,
"L """"",L_ad695f8d,(Ты... Ты так думаешь?),L_ad695f8d,,,,
"""""",narrator_af4f7443,"Лиззара оживилась, увидев такую положительную реакцию Сары. Девушка максимально пыталась приободрить протосса.",narrator_af4f7443,,,,
"S """"",S_25997af8,"Безусловно! Знаешь, у меня ведь он тоже есть, как я могу плохо к этому относиться? Тем более что он выглядит очень аккуратно, а не как какая-то страшная пасть с клыками.",S_25997af8,,,,
"L """"",L_68fb918c,"(И правда... Наверное, это не так плохо... ты права!)",L_68fb918c,,,,
"S """"",S_514bb024,Конечно! А ты... уже пробовала им воспользоваться?,S_514bb024,,,,
"L """"",L_39f9a958,(Ч-что??? В каком смысле?),L_39f9a958,,,,
"S """"",S_21c4d939,"Ну сказать что-то. Если так подумать, то это твое первое слово, хе-хе.",S_21c4d939,,,,
"L """"",L_c97fb941,"(А! Ты об этом. Нет, это не так просто, как я думала... Сейчас вообще не получается... этот язык... он постоянно вываливается наружу... и испускает столько слюней...)",L_c97fb941,,,,
"S """"",S_2dab1cf0,"Ничего, скоро ты приспособишься, нужно только время.",S_2dab1cf0,,,,
"S """"",S_6f1685a7,"Но... что же произошло? Кто это сделал, неужели Владычица или, куда хуже, Стуков?",S_6f1685a7,,,,
"L """"",L_da89c847,(Э-э... Как тебе сказать...),L_da89c847,,,,
"S """"",S_72a78174,Неужели...,S_72a78174,,,,
"""""",narrator_defffd74,"Сара притихла, она осознала, что в этом есть часть ее вины, она была слишком слаба, чтобы сдержать Королеву Клинков.",narrator_defffd74,,,,
"S """"",S_83630689,Королева Клинков.,S_83630689,,,,
"S """"",S_e8953136,Это определенно ее рук дело. Как я сразу не догадалась.,S_e8953136,,,,
"S """"",S_fc190dc1,"Нетрудно догадаться, что только она вздумала бы такое сделать.",S_fc190dc1,,,,
"L """"",L_0412edfd,"(Это не важно! У нас есть куда более важные дела, мой рот... может подождать! Пока мы не одолеем ее.)",L_0412edfd,,,,
"S """"",S_f9bf8c2c,"Нет, из-за меня она вышла наружу! Из-за меня с тобой это произошло...",S_f9bf8c2c,,,,
"S """"",S_62da0592,"Черт, мне ни в коем случае нельзя выпускать ее... мне нужно больше работать над ее сдерживанием.",S_62da0592,,,,
"S """"",S_bb9dcdb2,Она сделала что-то еще?,S_bb9dcdb2,,,,
"L """"",L_fc48dcac,!!!,L_fc48dcac,,,,
"L """"",L_22abab7c,"(Эм, н-нет.. т-только это, больше ничего.)",L_22abab7c,,,,
"S """"",S_356c2885,"Хвала небесам, что она не зашла дальше. Ну ничего, она за все ответит!",S_356c2885,,,,
"S """"",S_7a879ed1,"Тебе не нужно нести это бремя в одиночку, ты можешь мне все рассказать! Я почти ничего не помню, когда она берет контроль, так что рассчитываю на тебя.",S_7a879ed1,,,,
"L """"",L_7191c354,"(Да, конечно, я буду тебе все говорить!)",L_7191c354,,,,
"L """"",L_677bf643,"(Прости, Сара. Я не могу рассказать тебе. Ты носишь этого монстра в себе постоянно... живешь с ней. Я не могу класть на тебя еще и свое бремя, тебе нужно думать только о том, как с ней справиться.)",L_677bf643,,,,
"L """"",L_0ec24985,(Остальное оставь мне... я ни за что не проиграю!),L_0ec24985,,,,
"L """"",L_6bcf0766,(И зачем я это сделала... Нужно было сдерживать себя!),L_6bcf0766,,,,
"L """"",L_3b475d7e,(Страшно вспоминать... Что эта жидкость сделала со мной? Почему я вела себя... так?),L_3b475d7e,,,,
"L """"",L_b24f6804,(Нет! Это все из-за жидкости! Это все не я...),L_b24f6804,,,,
"L """"",L_7b83776b,(Но это ужасно... Королева Клинков теперь знает метод манипулирования мной.),L_7b83776b,,,,
