location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"""""",narrator_4d3a53e6,"Сара открыла глаза, но тьма перед ней никуда не исчезла. Сколько бы девушка ни протирала глаза, ничего не прояснялось.",narrator_4d3a53e6,,,,
"centered """"",centered_24b90391,Где я?,centered_24b90391,,,,
"""""",narrator_f3b47764,"Кроме темноты Сару окружала угнетающая тишина. Воспоминания в ее голове, хаотично сменяя друг друга, не давая девушке ухватиться хоть за одну.",narrator_f3b47764,,,,
"centered """"",centered_cacd2594,Что я здесь делаю?,centered_cacd2594,,,,
"centered """"",centered_42d5c644,Как глупо задавать эти вопросы...{w} Все равно мне на них никто не отвечает.,centered_42d5c644,,,,
"centered """"",centered_20caf1b2,Мне...{w} А кто я?,centered_20caf1b2,,,,
"""""",narrator_d19a574e,"Сара с ужасом осознавала, что все ответы на эти вопросы постоянно крутятся в голове, но каждый раз пропадают, когда она пытается сказать хоть что-то. Ее руки стали ощупывать тело в попытке понять о себя какую-либо информацию.",narrator_d19a574e,,,,
"centered """"",centered_9e67e1a8,На мне нет одежды?{w} Почему я нахожусь здесь голая?,centered_9e67e1a8,,,,
"centered """"",centered_a8152c27,Почему я вообще здесь?!,centered_a8152c27,,,,
"centered """"",centered_75a74c3f,"Ты наконец там, где и должна была оказаться...",centered_75a74c3f,,,,
"centered """"",centered_fc77cbc2,"Я...{w} Может, это и правда так, но это вовсе не отменяет того, что я какого-то черта без одежды.",centered_fc77cbc2,,,,
"S1 """"",S1_ee05c735,"Ха-ха, в этом месте одежда вовсе не нужна...",S1_ee05c735,,,,
"S1 """"",S1_581376a6,"Здесь, в теории, возможно все, что только ты сможешь представить.",S1_581376a6,,,,
"S1 """"",S1_0cc21b3d,Мечтала ли ты когда-нибудь ощутить себя Владычицей? Завидовала ли ты ее силе и сексуальности?,S1_0cc21b3d,,,,
"""""",narrator_5c9f7408,"Сара почувствовала себя странно, будто в один момент ее тело изменилось и стало совершенно чужим. Она посмотрела вниз, наблюдая себя в теле Владычицы.",narrator_5c9f7408,,,,
"S """"",S_d63cdc26,Что ты сделала?!,S_d63cdc26,,,,
"S1 """"",S1_35a1fdfc,Это всего лишь небольшие возможности в этом месте. Иногда полезно экспериментировать.,S1_35a1fdfc,,,,
"S """"",S_7c775291,Я прекрасно справляюсь с этим и в своем теле.,S_7c775291,,,,
"S1 """"",S1_6f349708,"Ты противишься, но разве ты не чувствуешь себя по-другому? Новое тело и возможности. Ты можешь изучить чужое тело на себе и лучше понимать его.",S1_6f349708,,,,
"S """"",S_7612cd2f,Хватит! Меня не интересует тело Владычицы.,S_7612cd2f,,,,
"S1 """"",S1_c184a6db,"Раз так... Ты никогда не задумывалась о том, каково это, быть зерглингом?",S1_c184a6db,,,,
"S """"",S_72f0e941,???,S_72f0e941,,,,
"S1 """"",S1_c3f0b743,Хотя нет... Стуков!,S1_c3f0b743,,,,
"S1 """"",S1_d0731ca5,"В тебе было столько непонимания по отношению к нему. Тебе было интересно, каково это, иметь член.",S1_d0731ca5,,,,
"S1 """"",S1_9eb7d986,"Понимаю... Но теперь у тебя есть возможность понять, почему он дрочит столько раз на дню. Можешь потрогать его.",S1_9eb7d986,,,,
"""""",narrator_2681f5eb,Девушка указала Саре на ее ширинку.,narrator_2681f5eb,,,,
"S """"",S_a07fe083,Я не собираюсь заниматься ничем подобным! Верни меня обратно в мое тело!,S_a07fe083,,,,
"S1 """"",S1_7d4f0660,Какая ты скучная...,S1_7d4f0660,,,,
"""""",narrator_3e2ede84,Сара наконец ощутила себя в своем привычном и родном теле.,narrator_3e2ede84,,,,
"S """"",S_8d4273b8,Что это за место?,S_8d4273b8,,,,
"S1 """"",S1_4f27b78b,"Это очень знакомое тебе место, Сара.",S1_4f27b78b,,,,
"""""",narrator_3fd7067d,"Этот голос был так похож на ее собственный, что она невольно приняла его за голос своего разума. Такие разговоры с самой собой ее совершенно не смущали. Даже грубые ноты в голосе, которые его обладатель намеренно пытался скрыть, не наталкивали ее на сомнения.",narrator_3fd7067d,,,,
"S """"",S_a1bfb4eb,"Значит, я Сара?",S_a1bfb4eb,,,,
"S1 """"",S1_b98009de,"Конечно, ты всегда была Сарой. Сарой Керриган.",S1_b98009de,,,,
"S1 """"",S1_e993cbfe,"Та, что по наивности в детстве использовала свои силы на какие-то детские шалости. И ведь такая мелочь привела к тому, что мы на такое короткое время были вместа, а после снова разлучены. Мне одной приходилось хранить твои самые пугающие воспоминания, о которых я даже поделиться не могу.",S1_e993cbfe,,,,
"S1 """"",S1_650bb201,Но это уже не так важно...,S1_650bb201,,,,
"S """"",S_29ecf40a,"Я... Я не понимаю, о чем ты... Что за воспоминания? И почему тут так темно?",S_29ecf40a,,,,
"S1 """"",S1_ba0d4803,"Иногда лучше скрыть что-то в темноте, Сара.",S1_ba0d4803,,,,
"""""",narrator_c0a63bca,"Голос, который был так похож на собственные мысли, теперь звучал для Сары совершенно чужим.",narrator_c0a63bca,,,,
"S """"",S_24b7c277,Кто ты?,S_24b7c277,,,,
"""""",narrator_b52727b8,"Сара испуганно смотрела по сторонам, но сквозь беспросветную темноту ничего не могла увидеть. Она пыталась прикрыть свое обнаженное тело, хоть и не была уверена, что посторонний может ее видеть.",narrator_b52727b8,,,,
"S1 """"",S1_146ea5e7,Ты изображаешь дурочку или действительно ей являешься?,S1_146ea5e7,,,,
"S1 """"",S1_75694c94,"Мы это две части одного целого. Ты это я, а я это ты.",S1_75694c94,,,,
"S """"",S_992db440,"Что за бред ты говоришь? Как ты можешь быть мной, если я это я?!",S_992db440,,,,
"""""",narrator_9df837b2,"Сара пыталась понять, кому может принадлежать этот голос и откуда он исходил. Но ее сознание будто превратилось в кашу. Девушке казалось, что голос звучит в ее голове и одновременно отовсюду.",narrator_9df837b2,,,,
"S1 """"",S1_96d8cf96,"Мы не виделись с тобой так долго и это все, что ты смогла мне сказать при встрече? Какая жалость, Сара. Не представляю, как я переживу это разочарование.",S1_96d8cf96,,,,
"S1 """"",S1_e167f764,Мы созданы друг для друга. Именно поэтому мы снова вместе. Ты не можешь сбежать.,S1_e167f764,,,,
"S """"",S_4f41f839,"(Я схожу с ума? Это какой-то странный сон? Да, именно поэтому я не могу вспомнить...)",S_4f41f839,,,,
"S1 """"",S1_063ff23b,"Серьезно? Я все слышу! Может, уже откроешь свой рот не только для того, чтобы заглотнуть что-то, а поговоришь со мной?",S1_063ff23b,,,,
"S """"",S_35341ec5,(Заглотнуть?),S_35341ec5,,,,
