location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"S """"",S_f9bfc65a,"Эй, страж! Теперь, когда я выполнила все поручения, я жду свою награду.",,,,,
"""""",narrator_ccefabc0,"Сара ощущала себя очень довольной и гордой, когда говорила это. Для нее борьба за эссенцию оказалась сложнее, чем любая другая до этого, поэтому вкус победы был особенно сладок.",,,,,
"G """"",G_5a5bcbdb,"Она твоя, с этим спорить не буду. Но есть одно неприятное 'но'.",,,,,
"""""",narrator_63664b64,"Сара недовольно посмотрела на стража, от чего тот медленно попятился назад. После всего, что ей пришлось пережить ради этой эссенции, она не хотела ничего слышать и знать о каких-то нюансах.",,,,,
"""""",narrator_12cb2eff,"Лиззара, стоящая позади Сары, тоже была возмущена. Она как никто другой знала, что им пришлось пережить.",,,,,
"L """"",L_cb0a0155,(Но? Какой вздор!),,,,,
"S """"",S_94248755,!!!,,,,,
"S """"",S_cced787e,А ты здесь откуда? Ты меня напугала!,,,,,
"L """"",L_f20f5535,"А... ну я подумала, что тебе пригодится моя помощь...",,,,,
"L """"",L_0d4e83dc,"Да и я была бы рада вместе с Сарой закончить это дело. Так сказать, вместе начали – вместе закончим, хи-хи, ты же не против?",,,,,
"S """"",S_fcae1fe6,"Нет, конечно, просто не подкрадывайся...",,,,,
"L """"",L_6d8879e9,"Ой извини. Действительно, нужно было заранее тебя предупредить...",,,,,
"G """"",G_3ea6e665,"Да, я знал, что ты и... твоя подруга, полагаю, не будете в восторге. Однако я не могу уже ничего вернуть назад. Тебе придется самой забрать эссенцию.",,,,,
"S """"",S_8d23c44f,"И что же такого неприятного в том, что я сама приду и заберу ее?",,,,,
"G """"",G_3cd22d3e,Как сказать...,,,,,
"G """"",G_9147150c,"Пойдемте, я должен вам кое-что показать.",,,,,
"centered """"",centered_aeba1549,"(Вот черт, каждый раз одно и тоже, неужели нельзя просто взять и отдать свою эссенцию...)",,,,,
"centered """"",centered_86d4ddf9,Гр...,,,,,
"S """"",S_9e57c2ea,Да...,,,,,
"L2side6 """"",L2side6_6f40ca7b,Ч-что это...,,,,,
"""""",narrator_81467092,"Сара и Лиззара стояли перед небольшим бассейном, наполненным доверху семенем. Запах стоял специфический, но отчего-то он успокаивал девушку и направлял ее настрой в другое русло. Протосс не могла сказать такого же. Ее этот вид больше пугал, чем манил.",,,,,
"L2side6 """"",L2side6_a9151024,"Кажется, он не соврал...",,,,,
"S """"",S_71f0100d,Боюсь представить зачем вам оно нужно...,,,,,
"""""",narrator_3a734b3c,"В голову Сары лезли разные пошлые и комичные мысли, связанные с зергами и кучей густой жидкости. Она так и видела красочную картинку, где страж во главе брызгался на других своим семенем в лучах яркого солнца.",,,,,
"S """"",S_34cb6979,"(Как жаль, что это не может быть правдой.)",,,,,
"S """"",S_e0a3d5d4,Хех...,,,,,
"Gside1 """"",Gside1_923e69f3,"Это не для того, о чем ты могла подумать.",,,,,
"S """"",S_65d9c3f9,А о чем я могла подумать?,,,,,
"Gside1 """"",Gside1_0b1665dd,Я не...,,,,,
"Gside1 """"",Gside1_9378797f,Это не важно.,,,,,
"""""",narrator_6292ed8d,"Девушка с интересом наблюдала, как эмоции на морде стража активно сменяют друг друга.",,,,,
"S """"",S_e399a85c,"(Удивительно, они все покрыты толстым слоем хитина, но при этом их смятение все равно так легко заметить.)",,,,,
"S """"",S_0314cdc2,"Могу согласиться, это не важно.",,,,,
"S """"",S_64b06841,"Если опустить все шутки, то... Зачем мы здесь?",,,,,
"""""",narrator_4cdf99a2,"Сара указала на то, что видела перед собой. Ей было неподдельно интересно, кто и зачем придумал что-то подобное в таком месте.",,,,,
"S """"",S_71174c8f,Это что-то изощренное для тренировки новых рабов?,,,,,
"""""",narrator_64c2e38e,"От этих слов Лиззару передернуло. В голове сама по себе стала проявляться картина, как ее окунают туда. Или чего еще похуже.",,,,,
"S """"",S_016fa325,Владычица вполне бы пошла на такое...,,,,,
"Gside1 """"",Gside1_609ec4b7,"Нет, все немного по-другому... Этот здоровенный резервуар и есть моя эссенция.",,,,,
"""""",narrator_cddd952e,!!!,,,,,
"centered """"",centered_69ef0f15,"Девушки были ошеломлены услышанным, они и не могли подумать, что ее может быть так много.",,,,,
"S """"",S_33deb2f7,Т-ты наверное шутишь?,,,,,
"L2side6 """"",L2side6_f1bdd3ef,"Б-быть такого не может, ей придется... ее... всю...",,,,,
"""""",narrator_98c5792f,Протос от удивления сглотнула накопившуюся во рту жидкость.,,,,,
"Gside1 """"",Gside1_64faa12f,"Точнее, это его... особый защитный механизм.",,,,,
"""""",narrator_343cf2f8,"Девушка уже не пыталась скрыть свое удивление, она широко открытыми глазами смотрела на бассейн и очень хотела узнать, как именно семя может защитить эссенцию.",,,,,
"S """"",S_ac75e2eb,Поподробнее...,,,,,
"Gside1 """"",Gside1_962b106d,Я придумал это еще давным-давно...,,,,,
"S """"",S_64c0de1d,...,,,,,
"Gside1 """"",Gside1_51185c23,"Так как мы... движемся в своем темпе, мы подвержены частным захватам. Это подвергает сохранность эссенции опасности, поэтому я решил, что лучше будет разделиться с ней и хранить в самом недоступном месте.",,,,,
"L2side5 """"",L2side5_f19bcc40,В семени??? СЕРЬЕЗНО???,,,,,
"S """"",S_48e9a40d,"Мне больше интересно, как вы это сохранное место наполняли!",,,,,
"S """"",S_8abcb819,"Нет-нет-нет, стоп, я передумала, я определенно не хочу этого знать. Ляпнула, не подумав...",,,,,
"Gside1 """"",Gside1_90021f42,"Это было гениальным решением: даже если меня захватят, то останутся без эссенции. А значит, все время, что они потратили, не принесло им ничего, что равносильно поражению.",,,,,
"Gside1 """"",Gside1_ed31d2b9,"Да и кто бы мог подумать, что зерг по своей личной воле разделится со своей эссенцией?",,,,,
"Gside1 """"",Gside1_f924d8f1,"Но смотря на ситуацию сейчас, вижу, что это действительно создает некую проблему...",,,,,
"Gside1 """"",Gside1_b7333e3f,"Думал ли я, что однажды настанет тот самый день и придет терран, подружившийся с протоссом, пройдет мутацию и я по собственной воле пожелаю ему отдать свою эссенцию?",,,,,
"Gside1 """"",Gside1_f3481162,Определенно - нет.,,,,,
"S """"",S_b0f831cf,"Да, соглашусь...",,,,,
"Gside1 """"",Gside1_b5d64be5,"Тем более мы вообще должны быть рады, что у нас есть хоть какая-то возможно забрать ее. Ведь одной из идей было запечатать ее навсегда, но тогда это было бы равносильно моей смерти.",,,,,
"S """"",S_263d3206,Я слышу это каждый раз.,,,,,
"Gside1 """"",Gside1_67be04d6,"В общем, внутри этого резервуара находится сгусток моей эссенции, который тебе просто нужно найти и поглотить.",,,,,
"S """"",S_cb5621a4,Что???,,,,,
"L2side6 """"",L2side6_2a3c3d67,!!!,,,,,
"Gside1 """"",Gside1_fbdbfe42,"Остальная часть резервуара ничего не содержит, это просто мое семя.",,,,,
"S """"",S_61860094,Да ладно? Неужели я уже недостаточно постаралась ради этого? Мне еще придется заниматься поиском малюсенького сгустка посреди бидона спермы???,,,,,
"""""",narrator_288fc996,"Сара обреченно посмотрела вниз, присев на корточки и не видя дна. Ей в последнюю очередь была интересна мысль о том, каково быть полностью погруженной в сперму.",,,,,
"S """"",S_4eab0771,Чтож... это будет трудный заплыв.,,,,,
"S """"",S_267b67e7,"А ты что думаешь по этому поводу, Лиззара?",,,,,
"""""",narrator_66f3cdec,"Протосс будто вышла из транса, перестав смотреть на кучу сильно пахнущей жидкости.",,,,,
"L2side6 """"",L2side6_37eabccb,А? Я? Боже...,,,,,
"S """"",S_74ebe90d,"Ну да, раньше я точно так же реагировала, как и ты. Что ж, привыкай, дорогуша, тут такое сплошь и рядом.",,,,,
"S """"",S_47a0ee04,"(Черт, почему меня это забавляет...)",,,,,
"Gside1 """"",Gside1_21d6ddf3,У меня есть одна мысль.,,,,,
"Gside1 """"",Gside1_a174f09c,Мы закрепим тебя вниз головой и опустим. Тебе останется только найти эссенцию и дело с концом.,,,,,
"L2side4 """"",L2side4_0962b36f,"М-может, лучше я? Ты и так много сделала. Не так уж и трудно!",,,,,
"L2side2 """"",L2side2_b71e86e4,Монстров же там точно больше не будет?,,,,,
"S """"",S_5e041342,"(Хех, она такая милая. Несмотря на шок, все равно собирается лезть в резервуар вместо меня...)",,,,,
"S """"",S_19ce457f,Вряд ли...,,,,,
"S """"",S_22ce356b,"Даже если бы это и получилось, по моему личному опыту, эссенция очень хрупкая... Даже не знаю, как тебе объяснить. Это нечто, что нельзя просто передать руками.",,,,,
"S """"",S_49786eb2,"Поймет только тот, кто однажды ее вкусил...",,,,,
"Gside1 """"",Gside1_fcc4a849,"Другого я от тебя не ожидал, поэтому и планировал связать тебе руки.",,,,,
"L2side6 """"",L2side6_4d614ad6,Ч-что? Связать руки???,,,,,
"S """"",S_f86ec20c,"Другого я и не ожидала, все же я уже хорошенько улавливаю ваш настрой...",,,,,
"S """"",S_7dcd627e,"Не переживай, Лиззара, я не настолько уставшая, чтобы не справиться с этим.",,,,,
"S """"",S_c463fd2f,"По поводу привязываний и опусканий в резервуар... это ведь тоже не просто так. Верно, Страж?",,,,,
"Gside1 """"",Gside1_0fd7c8bf,"Да, это семя очень вязкое и если ты нырнешь в него без страховки, оно может засосать тебя. Не хватит воздуха, чтобы найти эссенцию и вернуться.",,,,,
"""""",narrator_86e594aa,"Лиззара побледнела, хватаясь за руку девушки. Сара лишь успокаивающе накрыла ее ладонь, сжимая.",,,,,
