location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"""""",narrator_32e9b35a,"Сара осматривала огромную пустыню перед собой, не представляя как что-то настолько масштабное можно помещаться на корабле. Она не видела конца этой пустыни, наблюдая за бесконечными песочными холмами из подозрительно светлого песка.",narrator_32e9b35a,,,,
"S """"",S_b6659278,"(Песок, который я видела обычно более жёлтый и песчинки были крупнее. Почему этот похож на плохо измельченную муку?)",S_b6659278,,,,
"""""",narrator_7961b033,"Девушка не хотела долго заострять на этом внимание, продолжая свои исследования. Вдалеке виделись примечательные обломки, резко бросающиеся в глаза из-за яркого цвета.",narrator_7961b033,,,,
"S """"",S_81c4da60,Эти места такие... Заброшенные. Сколько лет здесь никто не обитает?,S_81c4da60,,,,
"Gside1 """"",Gside1_bf2a998f,"Я не могу сказать тебе точный временной отрезок. Но, судя по состоянию окружения, еще недостаточно долго, чтобы окружение успело полностью восстановиться. Здесь все еще видны раны от прошедшего боя.",Gside1_bf2a998f,,,,
"S """"",S_6635692e,"Это и так видно... Столько трупов, будто кто-то намеренно хотел уничтожить здесь все живое.",S_6635692e,,,,
"Gside1 """"",Gside1_1f9d3480,"Мы не можем утверждать. Нет никого, кто бы уцелел и рассказал нам историю этой местности. Мы можем тешить себя лишь догадками.",Gside1_1f9d3480,,,,
"S """"",S_7e8a92d9,"(Просто сказал бы, что не знаешь...)",S_7e8a92d9,,,,
"Gside1 """"",Gside1_16d86579,"Но тут точно раньше была чья-то стая, потому что трупы не имеют большого разнообразия видов. Может, она просто вымерла естественным путем? Такое тоже вероятно. А может...",Gside1_16d86579,,,,
"S """"",S_b81663f6,Специально истребили? Но кому это может понадобиться?,S_b81663f6,,,,
"Gside1 """"",Gside1_d382d8e4,"Этот вариант более правдоподобный, судя по следам борьбы. Кто-то очень хотел помочь этим существам уйти из жизни... Столько причин, столько вариантов.",Gside1_d382d8e4,,,,
"S """"",S_ddee77ef,Много ли причин? Обычно это просто борьба за территорию.,S_ddee77ef,,,,
"Gside1 """"",Gside1_02f8ff21,"Сара-Сара, тебе ли не знать, как для получения одного и того же результата использовать разные мотивы.",Gside1_02f8ff21,,,,
"S """"",S_abf5fe53,Что ты?... Ты что-то знаешь?,S_abf5fe53,,,,
"Gside1 """"",Gside1_1ab76fe8,Я много чего знаю.,Gside1_1ab76fe8,,,,
"S """"",S_f6e14856,...,S_f6e14856,,,,
"S """"",S_ea1bef0e,Все эти разрушения. Разве кто-то в Рое может быть заинтересован в истреблении стаи?,S_ea1bef0e,,,,
"Gside1 """"",Gside1_421cac82,"В этом месте возможно все, ибо тут царит хаос.",Gside1_421cac82,,,,
"G """"",G_cffe3ee8,Мы называем это место зоной испытаний. У Владычицы очень специфические вкусы и подходы.,G_cffe3ee8,,,,
"S """"",S_eab54251,Насколько?,S_eab54251,,,,
"G """"",G_72e60a07,"Как видишь, иногда они доходят до разрушительных масштабов. Не удивлюсь, если она создала стаю и то чудовище, чтобы они схлестнулись в поединке. Что-то сродни естественному отбору. Стая ее не прошла.",G_72e60a07,,,,
"S """"",S_94e3532a,Жестоко.,S_94e3532a,,,,
"G """"",G_d85dacca,"Таково наше существование, мы постоянно боремся за право жить. Потому что выживает сильнейший. Рою не нужны слабые.",G_d85dacca,,,,
"S """"",S_4a8df892,"Слушай, а почему вы тогда такие медленные? Разве это не слабость?",S_4a8df892,,,,
"G """"",G_2bb0ce70,М-медленные?,G_2bb0ce70,,,,
"S """"",S_f944fb1b,"Я бы уже давно была на месте, если бы сама знала, куда идти. Мы точно успеем за сегодня хотя бы прибыть в место назначения?",S_f944fb1b,,,,
"G """"",G_cebe2413,"Успеем, не волнуйся...",G_cebe2413,,,,
"L2side2 """"",L2side2_e880e07b,"(Сара права, мы еле плетемся... вон даже та улитка нас перегнала...)",L2side2_e880e07b,,,,
"G """"",G_b887236a,"Гр... Еще раз повторяю. Нам не нужно быть быстрыми, у нас совершенно другие задачи.",G_b887236a,,,,
"G """"",G_f7e982b0,...,G_f7e982b0,,,,
"G """"",G_3debb6ce,"Вообще не так уж и медленно мы идем, хороший темп.",G_3debb6ce,,,,
"S """"",S_28284c8e,"Да какой хороший? Даже пожилые терраны нас бы уже перегнали! А они не очень-то быстро ногами передвигают, знаешь ли.",S_28284c8e,,,,
"G """"",G_fa2df12d,Неправда!,G_fa2df12d,,,,
"S """"",S_b726a486,"Надо поговорить с Абатуром, чтобы он удлинил вам задние конечности... Может, это поможет.",S_b726a486,,,,
"G """"",G_64eb9c12,Не нужно нам ничего... Мы и так хорошо справляемся.,G_64eb9c12,,,,
"S """"",S_d3c91dde,"А там это чудовище не помрет со скуки, пока мы идем?",S_d3c91dde,,,,
"G """"",G_f7e982b0_1,...,G_f7e982b0_1,,,,
"G """"",G_31105fa9,Все это время оно прекрасно выживало.,G_31105fa9,,,,
"S """"",S_ff72f673,Титаническая у него выдержка...,S_ff72f673,,,,
"G """"",G_b50d5d34,Мы прибыли.,G_b50d5d34,,,,
"S """"",S_11e10f37,А ты... уверен?,S_11e10f37,,,,
"""""",narrator_5ae74997,"Сара стала оглядываться по сторонам, но вокруг не увидела абсолютно ничего. Даже присутствия живых особей не было замечено.",narrator_5ae74997,,,,
"S """"",S_b63dce7c,"Я не ощущаю ничего живого, кроме нас. Да и Шпиля не вижу.",S_b63dce7c,,,,
"S """"",S_93c3c1bb,"Шпи-и-и-иль, ты где?",S_93c3c1bb,,,,
"G """"",G_d4300272,"Дальше идти нельзя. Если мы приблизимся, то они могут нас моментально заметить. И тогда драки не избежать.",G_d4300272,,,,
"S """"",S_3d75512a,Но почему тогда я не ощущаю это чудовище?,S_3d75512a,,,,
"G """"",G_a7dd4c8a,Он весьма преуспел в маскировке и сокрытии своего сознания. С ним нужно быть очень осторожным.,G_a7dd4c8a,,,,
"S """"",S_d0880c42,"(Что же это за чудище такое, чем еще он способен обладать?)",S_d0880c42,,,,
"S """"",S_b58b030a,(Хм... интересно-интересно.),S_b58b030a,,,,
