location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"S """"",S_2fb32438,"Я сильно устала, мне нужен сон.",S_2fb32438,,,,
"""""",narrator_a6aa0dcc,Из-за недостатка пищи Сара устала больше обычного. Она падает на кровать и засыпает.,narrator_a6aa0dcc,,,,
"""""",narrator_bf17f3d9,Сара потратила всю энергию и вырубилась.,narrator_bf17f3d9,,,,
"""""",narrator_d56952af,Сара сильно устала. Она ложится на кровать и быстро засыпает.,narrator_d56952af,,,,
"""""",narrator_43586160,"Сара давно не занималась, она сейчас находится не в лучшей своей форме, ей стоит заняться своей физической формой.",narrator_43586160,,,,
"""""",narrator_87288f25,"Вам не хватает уровня, займитесь другими сценами.",narrator_87288f25,,,,
"S """"",S_8cdc7285,"Не думаю, что это хорошая идея. Мне нужно сконцентироваться на текущей тренировке.",S_8cdc7285,,,,
"S """"",S_688465af,"Я не могу это сейчас сделать, мне нужно надеть белье сначала...",S_688465af,,,,
"S """"",S_15c7b011,"Отлично, что мне следует сделать сегодня?",S_15c7b011,,,,
"C """"",C_e39b7b24,"(Дай угадаю, в детстве ты не поверил родителям и все-таки засунул пальцы в розетку? Написано же русскими буквами по монитору что тут пока нет ничего. Хотя да, мне бы тоже было интересно посмотреть, как Сара сюда влезет.)",C_e39b7b24,,,,
"""""",narrator_34a6e31a,"Сара заглядывает в дыру, пытаясь выяснить, куда же она ее приведет.",narrator_34a6e31a,,,,
"""""",narrator_a873a70f,"Но все безнадежно: по ту сторону совсем ничего не видно, а у Сары нет ничего, чем бы она могла подсветить это место.",narrator_a873a70f,,,,
"S """"",S_54055bdd,...,S_54055bdd,,,,
"S """"",S_5f026e75,"Я ничего не вижу, тут темно!",S_5f026e75,,,,
"S """"",S_c30949f5,"Интересно, куда ведет эта дыра...",S_c30949f5,,,,
"S """"",S_5fef071b,"Есть один способ узнать это, а именно пролезть туда!",S_5fef071b,,,,
"S """"",S_b134784b,"(Это, конечно, может быть ловушкой, но я должна сделать все, что в моих силах!)",S_b134784b,,,,
"S """"",S_61f9f507,"Она слишком маленькая, но я хотя бы должна попробовать.",S_61f9f507,,,,
"""""",narrator_ac06ddd6,"Сара, внимательно осмотрев дыру в стене, сначала решила просунуть туда руку, чтобы убедится, что там более менее безопасно.",narrator_ac06ddd6,,,,
"""""",narrator_14499473,"После, она попробовала засунуть туда голову, которая вполне неплохо прошла.",narrator_14499473,,,,
"""""",narrator_b02f8925,"А вот когда дело дошло до плечей, тут уже появились некоторые затруднения - дыра все еще слишком мала, чтобы в неё пролезть.",narrator_b02f8925,,,,
"S """"",S_e649960a,"Ну давай же, я должна пролезть!",S_e649960a,,,,
"""""",narrator_a636acd7,"Сара еще раз пробует пролезть, но у неё опять же ничего не получается.",narrator_a636acd7,,,,
"S """"",S_4cc91c07,Черт!,S_4cc91c07,,,,
"C """"",C_dc7d76d3,(...),C_dc7d76d3,,,,
"C """"",C_b8ef41da,"(Если ты думаешь, что ты такая маленькая, что бы пролезть туда, то ты ошибаешься.)",C_b8ef41da,,,,
"S """"",S_36db74d7,(Он прав... это с самого начала было невозможно...),S_36db74d7,,,,
"S """"",S_32359d37,(Нужно сделать её больше!),S_32359d37,,,,
"S """"",S_3f048848,"Я... еще не готова... думаю, мне нужно повременить с этим.",S_3f048848,,,,
"S """"",S_f9d01f6d,Н-ну уж нет! Я-я пока еще не готова...,S_f9d01f6d,,,,
"""""",narrator_5d0f9292,"Сара вспомнила, что с ней произошло в прошлый раз и невольно сглотнула накопившуюся слюну во рту.",narrator_5d0f9292,,,,
"S """"",S_3615a2fd,"М-мне нужно какое-то время, чтобы придти в себя.",S_3615a2fd,,,,
"""""",narrator_0a86b855,"Вам не хватает уровня, займитесь другими сценами.",narrator_0a86b855,,,,
"S """"",S_cebb4cc0,Э-это белье... я не могу в нем нормально двигаться... ч-что уже говорить об ударах.,S_cebb4cc0,,,,
"S """"",S_d59e07e8,"Она уже достаточного размера, чтобы я пролезла. У меня нет необходимости делать ее еще больше.",S_d59e07e8,,,,
"S """"",S_816da96d,Я порядочно устала. У меня нет сил продолжать...,S_816da96d,,,,
"""""",narrator_404656fe,"Сара отошла на другой конец комнаты, после встала в боевую стойку, побежала к стене и ударила ее ногой в воздухе. Это выглядело очень эффектно.",narrator_404656fe,,,,
"""""",narrator_f770887f,*Удар*,narrator_f770887f,,,,
"S """"",S_0db2ecdf,"Я в хорошей форме, у меня все получится!.",S_0db2ecdf,,,,
"S """"",S_54055bdd_1,...,S_54055bdd_1,,,,
"S """"",S_1f2b875d,"Кажется, ничего не изменилось...",S_1f2b875d,,,,
"S """"",S_a1667e81,Я сейчас не в лучшей своей форме... мне нужно больше тренироваться!,S_a1667e81,,,,
"""""",narrator_bfd9b8a7,Сара после удара ногой ничуть не устала и начала наносить длинные серии ударов кулаками.,narrator_bfd9b8a7,,,,
"S """"",S_c769c425,*Удар*{w=0.1}{nw},S_c769c425,,,,
"extend """"",extend_a12ad493, *Удар*{w=0.1}{nw},extend_a12ad493,,,,
"extend """"",extend_a12ad493_1, *Удар*{w=0.1}{nw},extend_a12ad493_1,,,,
"extend """"",extend_6dc10f9e, *Удар*{w=0.1},extend_6dc10f9e,,,,
"""""",narrator_9a78c468,После такой серии ударов стена немного осыпалась.,narrator_9a78c468,,,,
"S """"",S_29ce5645,У меня получается!,S_29ce5645,,,,
"C """"",C_72d81d12,"(Но все равно этого недостаточно, чтобы ты сбежала.)",C_72d81d12,,,,
"S """"",S_5976d67a,"А ты говорил, что это я пессимистка! На себя посмотри сейчас.",S_5976d67a,,,,
"C """"",C_dc7d76d3_1,(...),C_dc7d76d3_1,,,,
"S """"",S_c769c425_1,*Удар*{w=0.1}{nw},S_c769c425_1,,,,
"extend """"",extend_a12ad493_2, *Удар*{w=0.1}{nw},extend_a12ad493_2,,,,
"extend """"",extend_a12ad493_3, *Удар*{w=0.1}{nw},extend_a12ad493_3,,,,
"extend """"",extend_6dc10f9e_1, *Удар*{w=0.1},extend_6dc10f9e_1,,,,
"""""",narrator_ab50e68a,"Сара продолжает наносить серии из ударов, одна за другой.",narrator_ab50e68a,,,,
"""""",narrator_0da7a706,Прошло некоторое время.,narrator_0da7a706,,,,
"S """"",S_775fca32,"Черт, а это не так просто, как казалось. Я думала, что она развалится за пару ударов. Но, видимо, придется потратить куда больше времени на это.",S_775fca32,,,,
"S """"",S_cfd77a62,"Но прогресс есть, она по чуть-чуть поддается. А это значит, что и у меня есть шанс выбраться отсюда!",S_cfd77a62,,,,
"S """"",S_3eb0e15f,"На сегодня достаточно, у меня совсем не осталось сил...",S_3eb0e15f,,,,
"S """"",S_c769c425_2,*Удар*{w=0.1}{nw},S_c769c425_2,,,,
"extend """"",extend_a12ad493_4, *Удар*{w=0.1}{nw},extend_a12ad493_4,,,,
