location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"H """"",H_370589f8,Ого-го! Кого я вижу. Неужели ты решилась на изменения в своем теле?,H_370589f8,,,,
"S """"",S_dbc809da,"Как видишь. Меня таким не испугать. Даже не знаю... ты надеялся на то, что я струшу, или мечтал о том, что я решусь на мутацию?",S_dbc809da,,,,
"H """"",H_979f3fb3,Мои мысли останутся при мне.,H_979f3fb3,,,,
"H """"",H_b17ad5ae,"Да и как я мог отказаться от такой возможности и позволить тебе струсить? Никто больше на всем этом корабле не выполнил бы мою маленькую просьбу так, как это сделала ты.",H_b17ad5ae,,,,
"H """"",H_d69c3ccf,"Ну же, давай, покажи мне их!",H_d69c3ccf,,,,
"""""",narrator_5afd32ee,"Девушка на секундочку засомневалась но после все же поборола слабость и отстегнула верх брони. Бронелифчик моментально упал на землю, издавая звонкий звук, освобождая грудь.",narrator_5afd32ee,,,,
"Hside1 """"",Hside1_6ce82feb,СИСЬКИ!!! ХЕ-ХЕ-ХЕ-ХЕ!,Hside1_6ce82feb,,,,
"S """"",S_49b29eb0,...,S_49b29eb0,,,,
"Hside1 """"",Hside1_d49a52e7,Огромные БУФЕРА! ДА ТАКИМИ МОЖНО УБИТЬ КОГО-НИБУДЬ СЛУЧАЙНО!,Hside1_d49a52e7,,,,
"S """"",S_da94f4b0,"З-заткнись, они такие не по моей воле...",S_da94f4b0,,,,
"S """"",S_fefb1751,"Знаешь, сколько она дискомфорта мне доставляет? Я еще не могу вернуть ее в обычную форму...",S_fefb1751,,,,
"Hside1 """"",Hside1_1ca2a465,"Хе-хе-хе, я только знаю, сколько она мне радости будет сейчас доставлять. Хе-хи-хе!",Hside1_1ca2a465,,,,
"S """"",S_79688d1b,(Он только и думает о своем...),S_79688d1b,,,,
"""""",narrator_4333c8ee,"Гидралиск рассматривал грудь Сары с разных сторон и расстояния, не прекращая пошло облизываться.",narrator_4333c8ee,,,,
"Hside1 """"",Hside1_cbf57f3b,"Мммм, вижу-вижу. Абатур проделал прекрасную работу. Все как я и планировал.",Hside1_cbf57f3b,,,,
"S """"",S_8ec3f94d,"Кто бы сомневался, что ты не сможешь сдержаться и сам приложишь к этому руку. Слишком пошлая мутация получилась по итогу.",S_8ec3f94d,,,,
"Hside1 """"",Hside1_e8b24ca1,"Ну же, подойди ближе, я хочу как следует их рассмотреть.",Hside1_e8b24ca1,,,,
"Hside1 """"",Hside1_7e5d5cda,"Оооо да! ОГРОМНЫЕ СИСЬКИ! Я ПРЯМО СЕЙЧАС ЧУВСТВУЮ, КАК МОЯ ЭССЕНЦИЯ БУРЛИТ ВО МНЕ!",Hside1_7e5d5cda,,,,
"S """"",S_6fc4313b,Ага... эссенция...,S_6fc4313b,,,,
"Hside1 """"",Hside1_72b585a2,"Черт, а ну потряси ими перед моим лицом.",Hside1_72b585a2,,,,
"S """"",S_e6fcaa4b,Еще чего! Мы здесь не для этого собрались!,S_e6fcaa4b,,,,
"Hside1 """"",Hside1_618da9bb,"Тс... ладно, согласен.",Hside1_618da9bb,,,,
"Hside1 """"",Hside1_207cfbe4,"(Хе-хе-хе, придет время и она согласится, ее сиськи будут биться об мое лицо!... всему свое время, так даже лучше, да-а-а-а-а!)",Hside1_207cfbe4,,,,
"Hside1 """"",Hside1_766f8c86,ЕХЕХЕХЕХЕХХЕЕХ!!!,Hside1_766f8c86,,,,
"S """"",S_ba90aa9e,С тобой все в порядке? У тебя только что было такое похотливое лицо...,S_ba90aa9e,,,,
"Hside1 """"",Hside1_8318f0c8,"Кхм, я просто был очень рад. Мне посчастливилось урвать такой экземпляр. Надеюсь, мы хорошо проведем время.",Hside1_8318f0c8,,,,
"S """"",S_099309c4,Конечно-конечно. Я уж точно хорошо проведу время. Когда ты подчинишься мне!,S_099309c4,,,,
"S """"",S_02cb705f,Можешь в этом не сомневаться.,S_02cb705f,,,,
"Hside1 """"",Hside1_fd29604d,"Вот это настрой! А тебе палец в рот не клади... Может, мне не стоит доверять тебе свой член? Еще откусишь и я останусь без своего достоинства.",Hside1_fd29604d,,,,
"S """"",S_6c379d7e,"Достоинство ли это, мы еще посмотрим... Но у тебя и правда есть то, что можно назвать не то что достоинством... Это настоящее сокровище!",S_6c379d7e,,,,
"Hside1 """"",Hside1_b30eef95,"Никогда не видел, чтобы у кого-то так блестели глаза, когда он говорит об эссенции.",Hside1_b30eef95,,,,
"S """"",S_50261f4e,Я не могу говорить о ней по-другому...,S_50261f4e,,,,
"S """"",S_dcddcf42,"Кхм, мы слишком много болтаем! Давай приступать ближе к делу.",S_dcddcf42,,,,
"""""",narrator_a93f6cd2,Сара чувствовала на себе изучающий взгляд гидралиска. Он поглощал ее глазами.,narrator_a93f6cd2,,,,
"S """"",S_cd86eba4,Все никак не можешь налюбоваться? У меня вся кожа на груди начинает гореть от твоего пристального взгляда!,S_cd86eba4,,,,
"H """"",H_aba85136,Как я могу на них не смотреть? ЭТО ЖЕ СИСЬКИ! Я все это время только о них и думал...,H_aba85136,,,,
"S """"",S_83e0c544,"Хватит так пялиться! Ты раньше был более приятным оппонентом, чем сейчас.",S_83e0c544,,,,
"S """"",S_763ee36b,"Тем более сейчас моя главная цель - эссенция, а не ты!",S_763ee36b,,,,
"H """"",H_954ef8f5,"Все верно, хе-хе-хе, но это не мешает мне наслаждаться проделанной работой! Кто еще мог бы пойти на такое: заставить будущего лидера увеличить себе сиськи? Они стали такими развратными и такими горячими, прямо как я люблю.",H_954ef8f5,,,,
"H """"",H_2f1acc0e,"В такие моменты я завидую вам, терранам. У вас есть руки, которыми вы можете их мацать. Гр...",H_2f1acc0e,,,,
"H """"",H_4d80afd0,"Как ты уже могла понять, мое тело не предназначено для такого рода утех. Тогда...",H_4d80afd0,,,,
"S """"",S_e8a7d551,"Стой, ты не собираешься мне сейчас рассказать какую-то о-о-о-о-очень длинную и нудную историю о твоей любви к сиськам?",S_e8a7d551,,,,
"H """"",H_2c9bb936,Гмн... конечно же нет.,H_2c9bb936,,,,
"H """"",H_7aec468b,"В общем, у меня было очень много времени и я нашел нечто, что может помочь тебе в этом!",H_7aec468b,,,,
"S """"",S_2b2ef3c9,"Ну же, не тяни уже, а?",S_2b2ef3c9,,,,
"H """"",H_8129538d,"Ха-ха-ха, а тебе все расскажи да покажи. Но ладно... ",H_8129538d,,,,
"""""",narrator_72a57c31,"Гидралиск еще более вальяжно развалился перед Сарой, выглядя максимально довольным.",narrator_72a57c31,,,,
"H """"",H_b2bebab4,Мою эссенцию обычными способами не получить.,H_b2bebab4,,,,
"S """"",S_2377c9ce,А?,S_2377c9ce,,,,
"H """"",H_40549351,"Конечно, я не хотел тебе сразу об этом рассказывать. Но ты сделала многое, чтобы доказать свою заинтересованность. Так что я пойду тебе навстречу.",H_40549351,,,,
"H """"",H_aeb7f2a0,"Мало просто подрочить мне классными сиськами. Мою эссенцию сдерживает защитный механизм, который не позволяет ей выйти при обычной дрочке.",H_aeb7f2a0,,,,
"S """"",S_95b91384,"Ах ты проказник, ты действительно планировал скрыть это от меня...",S_95b91384,,,,
"H """"",H_cf6e0c5a,"Хе-хе-хе, на самом деле это было бы прекрасно. Но, увидев твои СИСЬКИ, я... решил подчиниться.",H_cf6e0c5a,,,,
"H """"",H_5a837a9a,Я не могу врать таким прелестным СИСЬКАМ!,H_5a837a9a,,,,
"S """"",S_f5887cc5,Черт... снова ты за свое...,S_f5887cc5,,,,
"S """"",S_01d9c40c,"И что мне тогда делать? Может, тебя убить легче, чем ублажить?",S_01d9c40c,,,,
"S """"",S_f6505af8,А что... идея!,S_f6505af8,,,,
"H """"",H_cb458298,"Убить? Почему сразу убить? Какая ты кровожадная... Хотя, если речь идет об удушении...",H_cb458298,,,,
"S """"",S_6abffe48,ЗАТКНИСЬ! Ни о каком удушении сиськами речи и не может быть...,S_6abffe48,,,,
"H """"",H_b1aab240,Тс...,H_b1aab240,,,,
"H """"",H_140ac2ec,"Ладно, на самом деле все не так сложно, как тебе могло показаться. Этот защитный механизм необходим для того, чтобы эссенция случайно не вышла. Так как я...",H_140ac2ec,,,,
"S """"",S_f1c5c135,"Да-да-да, любишь сиськи, я поняла!",S_f1c5c135,,,,
"H """"",H_a8096d9e,"Не просто сиськи, а ОГРОМНЫЕ СИИИИИСЬКИ!",H_a8096d9e,,,,
"S """"",S_62a17ce3,...,S_62a17ce3,,,,
"H """"",H_3707cf7c,"Это значит, что твоя задача держать меня возбужденным определенное количество времени. Смекаешь, о чем я? Дрочить мне так, чтобы я не кончил раньше времени. Когда эссенция будет готова, я дам тебе знать и как следует позабочусь об остальном, хе-хе-хе!",H_3707cf7c,,,,
"S """"",S_890f4059,"Что будет, если я не справлюсь? Есть какие-то ограничения?",S_890f4059,,,,
"H """"",H_e47a598a,"Оооо, можешь не переживать, с твоими сиськами у нас нет никаких ограничений. Одного взгляда на них будет достаточно, чтобы мое семя оказалось готово!",H_e47a598a,,,,
"S """"",S_6da29e77,Ты неисправим...,S_6da29e77,,,,
"S """"",S_729d396e,"Ладно, хорошо хоть предупредил об этом... Но это ни о чем не говорит, избавляйся от своих похотливых мыслишек, я пришла за эссенцией!",S_729d396e,,,,
"H """"",H_5ce8f725,"Хе-хе-хе, сейчас я научу тебя работать с ним.",H_5ce8f725,,,,
"S """"",S_24761eec,Не недооценивай меня! Я и не с такими экземплярами справлялась!,S_24761eec,,,,
"H """"",H_f1f88fea,"Тише-тише, я тебе верю. Не кипятись, я ведь хочу помочь.",H_f1f88fea,,,,
"H """"",H_b1ae43f2,"Я просто хочу, чтобы все прошло максимально удачно. Так что думаю лишней моя помощь не будет.",H_b1ae43f2,,,,
"H """"",H_4dddcf7a,"Большой член, нужен жар, но немного, совсем чуть-чуть. Черт, были бы у меня руки, я бы сам твоими прелестными СИСЬКАМИ показал, как это делается.",H_4dddcf7a,,,,
"S """"",S_958bedda,"Ладно-ладно, заткнись и просто говори, все ли в порядке.",S_958bedda,,,,
"H """"",H_183aa07a,"Ооо, это я могу!",H_183aa07a,,,,
"S """"",S_5a5d2512,"(Кажется, я немного перестаралась... Стоить вспомнить все, что я выучила за это время.)",S_5a5d2512,,,,
"S """"",S_0036b6d3,"(Если сжать грудью его член, то это точно должно снять возбуждение...)",S_0036b6d3,,,,
"S """"",S_0a7ec0b7,"(Нужно еще и не перестараться... Теперь моя грудь чуть больше, чем раньше. Если сожму слишком сильно...)",S_0a7ec0b7,,,,
"S """"",S_ea4e4100,!!!,S_ea4e4100,,,,
"""""",narrator_56c53485,Пщ-щ-щ-щ-щ-щ...,narrator_56c53485,,,,
"""""",narrator_55432032,"Сара старалась максимально аккуратно остановить нарастающее возбуждение гидралиска, но вместо этого заставила его кончить.",narrator_55432032,,,,
"S """"",S_148d2f93,"Моя грудь! Я забыла, что она такая чувствительная!",S_148d2f93,,,,
"""""",narrator_e14ccf2b,"Девушка почувствовала сильный разряд удовольствия от своих действий и теплой спермы, которая начала покрывать ее.",narrator_e14ccf2b,,,,
"H """"",H_904caeb9,"Хе-хе-хе, смирись и давай развлечемся. Все равно твои попытки приводят к тому же результату.",H_904caeb9,,,,
"S """"",S_8d2df1d9,Еще чего! Повеселишься в следующий раз...,S_8d2df1d9,,,,
"""""",narrator_56c53485_1,Пщ-щ-щ-щ-щ-щ...,narrator_56c53485_1,,,,
"H """"",H_b4c9e6b8,"ДА!!! Я так надеялся, что ты не справишься с этим!",H_b4c9e6b8,,,,
"S """"",S_48f61a96,Слишком много радости!,S_48f61a96,,,,
"H """"",H_367e178b,"Как я могу не радоваться? Еще больше времени наедине с этими прекрасными сиськами. Я буду совсем не против, если мы проведем так целый день.",H_367e178b,,,,
"S """"",S_d16f383a,А вот я против...,S_d16f383a,,,,
"H """"",H_0b524828,"В любом случае все нужно начинать сначала. Эссенция не прощает таких ошибок, а я вот очень даже.",H_0b524828,,,,
"H """"",H_49d2039d,"Ха! А ты продолжаешь меня баловать, ммм.",H_49d2039d,,,,
"S """"",S_d0fcb777,Н-нет! Только не снова!,S_d0fcb777,,,,
"""""",narrator_56c53485_2,Пщ-щ-щ-щ-щ-щ...,narrator_56c53485_2,,,,
"""""",narrator_952560ce,"Гидралиск выглядел очень довольным, наблюдая, как новая порция спермы попадает на сиськи Сары.",narrator_952560ce,,,,
"H """"",H_5a6b4c5b,"Лучшего вида и не придумаешь! Я уже готов кончить еще пару раз. Лови момент, Сара. Может, в один из них тебе перепадет немного эссенции.",H_5a6b4c5b,,,,
"S """"",S_3e702d0a,"Надеюсь, на мне до этого момента останется хоть одно чистое место...",S_3e702d0a,,,,
"""""",narrator_7d35e52e,"Сара посмотрела на возбужденный член перед собой, все меньше веря в сказанное ранее.",narrator_7d35e52e,,,,
"H """"",H_8313251e,"Я бы на твоем месте не надеялся, хе-хе-хе. Эти сиськи делают меня способным на многое...",H_8313251e,,,,
"""""",narrator_56c53485_3,Пщ-щ-щ-щ-щ-щ...,narrator_56c53485_3,,,,
"H """"",H_b9697d72,"Хе-хе, все сначала и сначала. Кажется, ты это специально.",H_b9697d72,,,,
"S """"",S_c83899c1,Еще чего! Просто не повезло...,S_c83899c1,,,,
"H """"",H_8f0f7d81,Только посмотри на свои сиськи! Они стали еще больше... Да ты точно жаждешь быть залитой с ног до головы.,H_8f0f7d81,,,,
"S """"",S_e067e54a,Н-нет! С чего ты взял...,S_e067e54a,,,,
"H """"",H_25fe96f8,"Да ты только посмотри! Ты аж вся затряслась от предвкушения! Я так и чувствовал, что прошу об этой услуге правильного человека, хе-хе-хе.",H_25fe96f8,,,,
"S """"",S_9f538aa0,Ничего я не тряслась...,S_9f538aa0,,,,
"""""",narrator_56c53485_4,Пщ-щ-щ-щ-щ-щ...,narrator_56c53485_4,,,,
"H """"",H_4df49573,Да! Как тебе моя сперма? Входишь во вкус?,H_4df49573,,,,
"S """"",S_4cb9703c,Твоя сперма ничего такая...,S_4cb9703c,,,,
"H """"",H_8a992fc5,Ничего такая? Я ожидал более бурной реакции.,H_8a992fc5,,,,
"S """"",S_eaa32a64,"Вот отдашь мне свою эссенцию, тогда увидишь мою реакцию во всей красе, хи-хи.",S_eaa32a64,,,,
"H """"",H_13179665,"Так забери. Сама же тянешь время. Не хочешь признаваться, что понравилось?",H_13179665,,,,
"S """"",S_fe7cc92d,"Может, и понравилось. Но эссенция мне точно понравится больше, так что давай займемся уже делом.",S_fe7cc92d,,,,
"H """"",H_69fdca4c,"Мой член всегда готов ко встрече с твоими сиськами, хе-хе-хе.",H_69fdca4c,,,,
"""""",narrator_56c53485_5,Пщ-щ-щ-щ-щ-щ...,narrator_56c53485_5,,,,
"H """"",H_df764d4d,Я бы вечность провел с этими сиськами!,H_df764d4d,,,,
"S """"",S_64b21a3b,Кто бы сомневался...,S_64b21a3b,,,,
"H """"",H_48836177,"Серьёзно, такие сиськи это сокровище. Хочу их себе. Как думаешь, их можно как-нибудь по-другому трахнуть?",H_48836177,,,,
"S """"",S_a617c4ab,Даже не думай!,S_a617c4ab,,,,
"H """"",H_360210b5,"Ооо да, половина пути пройдена, еще чуть-чуть и ты получишь свое! Придерживайся той же стратегии. Дрочи мой член своими СИСЬКАМИ!",H_360210b5,,,,
"S """"",S_d7af68cd,"А я чем тут, по-твоему, занимаюсь???",S_d7af68cd,,,,
"S """"",S_5fbb56dd,"(Кажется, я начинаю чувствовать грань. Но это опасно, его член весьма нестабилен. Неужели ему действительно так приятно?)",S_5fbb56dd,,,,
"H """"",H_526059a7,Вот... Вот... Мы уже на финишной прямой!,H_526059a7,,,,
"S """"",S_d4aba07c,"Ч-что, правда? Дело сделано? Теперь наконец-то можно не сдерживаться???",S_d4aba07c,,,,
"H """"",H_412d9dbf,"Д-д-даааа!!! Она готова, она полностью готова! ТВОИ СИСЬКИ ПРОСТО ВЫЖИМАЮТ ВСЕ СОКИ ИЗ МЕНЯ!",H_412d9dbf,,,,
"S """"",S_9efc1e56,"Отлично, тогда...",S_9efc1e56,,,,
"S """"",S_875b637b,...Хе-хе-хе.,S_875b637b,,,,
"""""",narrator_c6557e1a,"Через секунду Сара с еще большим упорством стала двигать грудью, желая скорейшего завершения этого испытания. Обхватывая места, которые раньше не задевала.",narrator_c6557e1a,,,,
"S """"",S_3ca82054,"Хорошо, теперь уж твоя очередь, не огорчи меня! Ммм, я ожидаю свою эссенцию!",S_3ca82054,,,,
"S """"",S_c14bf88f,До последней капли... ммм...,S_c14bf88f,,,,
"H """"",H_9f552a54,"АРГ! Черт, меня хотят высушить до дна, наяривая мой член развратными СИСЬКАМИ!",H_9f552a54,,,,
"S """"",S_3b0b0004,"(О да! Я уже ощущаю эту мощь! И все это мне... Я это заслужила, хах. Так старательно работала своей грудью... Ммм!)",S_3b0b0004,,,,
"S """"",S_177e524a,(Даже пару раз пришлось искупаться в его сперме...),S_177e524a,,,,
"S """"",S_0a79f27c,(Натирала его твердый елдак...),S_0a79f27c,,,,
"""""",narrator_31238d75,"От предвкушения девушка готова была пойти на все, чтобы получить свою награду.",narrator_31238d75,,,,
"H """"",H_219d5a73,Вот это напор! Так я и пары секунд не продержусь!... Такая концентрация СИСЕК!!!,H_219d5a73,,,,
"S """"",S_961a6cad,"Если бы я была такой все время... Т-то уже через пару твоих разрядок ты бы умолял меня остановиться, чтобы я не высосала тебя досуха!",S_961a6cad,,,,
"H """"",H_bfccd9de,Я не против... умереть под давлением СИСЕК! Таких угроз я еще не слышал. Обязательно... нужно воспользоваться возможностью и проверить на деле!,H_bfccd9de,,,,
"S """"",S_4298474d,Заткнись и дай мне уже свою эссенцию!,S_4298474d,,,,
"H """"",H_ea8db36b,"АРГХ! ОНА ВЫХОДИТ! ТВОИ СИСЬКИ СДЕЛАЛИ ЭТО! Я НЕ ДУМАЛ, ЧТО ЭТО ВОЗМОЖНО! М-МОЯ ЭССЕНЦИЯ! МОЯ...",H_ea8db36b,,,,
"H """"",H_713f45a7,Не упусти ее! Прими ее всю! Я подчиняюсь твоим СИСЬКАМ!,H_713f45a7,,,,
"H """"",H_4442c6f5,ССНННИИНСССГЬЬЬГКККГИИИ!!!,H_4442c6f5,,,,
"S """"",S_6f5b4eee,!!!,S_6f5b4eee,,,,
"S """"",S_11b914b6,(Вот она! Мне нужно получить все!),S_11b914b6,,,,
"S """"",S_0ad4505b,(Как ее много. Осталось только поглотить всю... не упустить ни капли...),S_0ad4505b,,,,
"S """"",S_244850a1,"(Черт! Кажется, это только больше меня заводит, хи-хи. Неожиданная реакция.)",S_244850a1,,,,
"S """"",S_598a33b1,Мммм...,S_598a33b1,,,,
"H """"",H_d7857ce2,Даааа!!! Получай мою эссенцию!!!,H_d7857ce2,,,,
"S """"",S_ced818b6,Мнг!!!,S_ced818b6,,,,
"S """"",S_ed6e5882,*Гулп* *Гулп* *Гулп*,S_ed6e5882,,,,
"S """"",S_d95a8409,"(Ах... их эссенция, она такая разная... у каждой свой уникальный вкус... Это что-то намного лучше, хи-хи! Мое тело распирает от силы!!!)",S_d95a8409,,,,
"""""",narrator_5394dc5d,"Девушка ни на секунду не останавливалась, она продолжала поглощать эссенцию, которая пьянила ей голову. Отдаваясь приятной дрожью по всему телу.",narrator_5394dc5d,,,,
"S """"",S_c4f8d936,"(Надеюсь, во мне хватит места... Я чувствую себя иначе. Муталиск была права...)",S_c4f8d936,,,,
"""""",narrator_1e7c2d73,"Девушка машинально продолжала сдавливать член грудьми в надежде, что это поможет получить еще больше нектара.",narrator_1e7c2d73,,,,
"S """"",S_de6e44af,"Да... еще больше... я не могу остановиться, я продолжаю поглощать ее... Чувствую как она протекает... льется сквозь мое тело... сливается со всем остальным...",S_de6e44af,,,,
"S """"",S_29278217,Я не могу остановиться... ах...,S_29278217,,,,
"S """"",S_b5e9504a,(Низ моего живота распирает... Столько энергии! Я выдержу? Я определенно должна принять в себя все до последней капли...),S_b5e9504a,,,,
"centered """"",centered_0527ac01,"Сара в наслаждении закрыла глаза, позволяя себе вдоволь насладиться своим положением.",centered_0527ac01,,,,
"S """"",S_f3c53b6a,"(Я чувствую свою мощь! Никаким Владычицам со мной не сравниться, ха-ха-ха!!! Вся эта сила достанется мне... И только мне.)",S_f3c53b6a,,,,
"centered """"",centered_4f714f75,"Девушка ощущала невероятную легкость. Ничего физического больше не заставляло ее помнить о том, что она в реальности. Была только она и ее сила.",centered_4f714f75,,,,
"S """"",S_e45f7042,"(Теперь понимаю, почему Королева Клинков так сильно хочет вырваться... Чувствовать свое превосходство, ммм... Так возбуждает.)",S_e45f7042,,,,
"S """"",S_d5ad20f9,"(Скоро моего тела будет не хватать, чтобы удерживать всю эту энергию в себе! Эти лидеры, все они падут к моим ногам!)",S_d5ad20f9,,,,
"S """"",S_a86b742b,"(Они думают, что совладают со мной... Что ж, пусть попробуют, хорошо смеется тот, кто смеется последним.)",S_a86b742b,,,,
"H """"",H_c4366ab5,Ты вообще жива?,H_c4366ab5,,,,
"S """"",S_e7d48835,А??? Ммм...,S_e7d48835,,,,
"S """"",S_024c02b5,"Д-да... я здесь, ха-ха...",S_024c02b5,,,,
"H """"",H_93ac59cc,У тебя было такое пошлое выражение лица... Ты явно витала где-то не здесь.,H_93ac59cc,,,,
"S """"",S_59f8f133,Это было так... Только все хорошее здесь быстро заканчивается.,S_59f8f133,,,,
"H """"",H_2ff72833,"Я на секунду стал тебе завидовать. Ты выглядела так, будто тебе в разы приятнее, чем мне.",H_2ff72833,,,,
"S """"",S_d37f7f83,А ты что думал? Когда принимаешь эссенцию... это тяжело даже описать. Ты не ощущаешь свое тело. Ты где-то намного выше всего этого. Но не надолго.,S_d37f7f83,,,,
"H """"",H_0d82ea92,"Понимаю... Эти сиськи тоже выбивают меня из реальности, хе-хе-хе.",H_0d82ea92,,,,
"H """"",H_d7967640,"Я даже немного испугался. Подумал, что никогда не трахну такие сиськи больше....",H_d7967640,,,,
"S """"",S_3023c11a,"Все в порядке, просто... этот момент... забудь, ты все равно не поймешь.",S_3023c11a,,,,
"""""",narrator_fc0f0136,"Сара продолжала приходить в себя, ощущая прилив сил. Казалось, что она в силах свернуть горы.",narrator_fc0f0136,,,,
"S """"",S_070220d8,"(Ммм, а если так посмотреть, то у этой груди могут быть свои плюсы... правда... Я так плохо еще ее контролирую.)",S_070220d8,,,,
"""""",narrator_9e4c4882,"Девушка посмотрела на свои мокрые соски, с которых продолжало сочиться молоко. Они временами подергивались, но были твердые как камень.",narrator_9e4c4882,,,,
"H """"",H_09f5e178,"Ч-чеееерт, я говорю, твои сиськи выжали все из меня... ах... последний раз это было так давно...",H_09f5e178,,,,
"H """"",H_ca274781,"Но... хе-хе-хе, кажется, не один я тут получил массу удовольствия.",H_ca274781,,,,
"S """"",S_abd6f1fd,"(Это просто побочный эффект мутации, не более...)",S_abd6f1fd,,,,
"S """"",S_8ef7667d,"(Черт, ну и залил ты меня... Постыдился бы спускать столько даме в рот...)",S_8ef7667d,,,,
"H """"",H_a804acb1,"Ха-ха-ха, ничего не могу поделать перед твоими буферами... Ну а ты что скажешь? Оценила мою эссенцию? Никто еще не дарил тебе что-то подобное. Я уж в этом уверен.",H_a804acb1,,,,
"S """"",S_c21e8bee,(Какое самомнение... Но в чем-то он прав.),S_c21e8bee,,,,
"S """"",S_f6501eb6,"(Предыдущие эссенции были великолепны... Чем выше я поднимаюсь по этой иерархии, тем больше экстаза получаю... Когда я соберу все эссенции, ммм!!! Это может быть опасно...)",S_f6501eb6,,,,
"S """"",S_7c2bc8cf,(Это слишком дурманит мою голову! Нужно сосредоточиться...),S_7c2bc8cf,,,,
"H """"",H_ecd34c2f,"Черт... Если бы мог, я бы задержался тут надолго! Эти сиськи! Нужно передать Абатуру, чтобы он сделал мне парочку для личных нужд.",H_ecd34c2f,,,,
"S """"",S_afbb8ed6,Только попробуй. Будто он сможет повторить мои груди.,S_afbb8ed6,,,,
"S """"",S_b55faca8,*Гулп* *Гулп* *Гулп*,S_b55faca8,,,,
"S """"",S_7a5fd1d5,"Не могу не признать, но ты и правда хорошо постарался, хи-хи.",S_7a5fd1d5,,,,
"S """"",S_f7cb9fa6,"Правда, если бы еще не вся эта суматоха с сиськами...",S_f7cb9fa6,,,,
