location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"""""",narrator_b4fe4906,"Сара была готова покончить с конфликтом, который назревал между этими двоими. Настала очередь пройти очередное задание лидера.",narrator_b4fe4906,,,,
"Ze """"",Ze_f77dfec8,"Надеюсь, что ты закончила со всеми своими делами? У меня не так много терпения...",Ze_f77dfec8,,,,
"S """"",S_288a36ee,"Я полностью в твоем распоряжении. Теперь твой черед испытывать меня. Надеюсь, что ты меня не разочаруешь.",S_288a36ee,,,,
"""""",narrator_9e04eec2,"После этих слов в глазах зерга загорелся азарт, по всему его телу можно было понять, насколько сильно он жаждал этой встречи.",narrator_9e04eec2,,,,
"Ze """"",Ze_3e78833f,Твои прошлые проверки и близко не стоят с моей!,Ze_3e78833f,,,,
"""""",narrator_2462440f,"Зерглинг горделиво задрал голову, показывая все свое величие.",narrator_2462440f,,,,
"S """"",S_52caaa14,"Я прямо вся в нетерпении услышать, что ты мне приготовил.",S_52caaa14,,,,
"Ze """"",Ze_abc2d228,"Тогда иди за мной. Хочу поставить точку в вопросе о твоей недееспособности, как лидера, прямо сейчас!",Ze_abc2d228,,,,
"S """"",S_fa196dd9,(Звучит очень... самоуверенно. *Вздох* Но придется идти.),S_fa196dd9,,,,
"Ze """"",Ze_a83fff3a,"Мы на месте, хе-хе.",Ze_a83fff3a,,,,
"S """"",S_98d01a30,И куда ты меня привел?,S_98d01a30,,,,
"Ze """"",Ze_886e30c3,"Мы пришли именно туда, куда нужно.",Ze_886e30c3,,,,
"""""",narrator_7f494ca0,"Сара скептически обвела глазами дыру, к которой ее привел зерг.",narrator_7f494ca0,,,,
"S """"",S_9201445a,Ладно... А зачем мы сюда пришли?,S_9201445a,,,,
"Ze """"",Ze_655d57b1,"Для проверки, конечно же. Ты же хочешь заполучить мое доверие и, возможно, уважение? А следом и доверие всей моей стаи?",Ze_655d57b1,,,,
"S """"",S_e37977c3,Странный вопрос... Иначе бы я не стояла у какой-то странной дыры и не разговаривала с тобой.,S_e37977c3,,,,
"Ze """"",Ze_b88484ef,"Ггррр, жалкий терр... Тебе везет, что я такой благосклонный и терплю тебя.",Ze_b88484ef,,,,
"Ze """"",Ze_659d0cba,Это место поможет мне проверить стойкость твоего духа. Только сильный духом может повести мою стаю! Жалкий человеческий мусор нам не нужен.,Ze_659d0cba,,,,
"S """"",S_1d5b0b68,Дух? О чем ты вообще говоришь...,S_1d5b0b68,,,,
"S """"",S_fb891248,И как эта дыра проверит мой дух?,S_fb891248,,,,
"""""",narrator_6d2fed3f,"По спине девушки прошли мурашки от этого места. Она не понимала почему, но с этим местом явно было что-то не так.",narrator_6d2fed3f,,,,
"Ze """"",Ze_cd356983,"Это логово зерглингов. У тебя еще остался вопрос, как это место проверит твой дух?",Ze_cd356983,,,,
"S """"",S_7fb2b7ba,ЛОГОВО!?,S_7fb2b7ba,,,,
"Zeside1 """"",Zeside1_e31aba2e,"Именно! Сотни... нет, тысячи зерглингов! И все они здесь, вся моя стая.",Zeside1_e31aba2e,,,,
"S """"",S_1dc520e4,...,S_1dc520e4,,,,
"""""",narrator_cb7e7609,"Зерг был доволен реакцией девушки, которая долгое время не могла поверить, что ее привели в такоей ужасное место.",narrator_cb7e7609,,,,
"S """"",S_1af64341,"(Не удивительно, что у меня была такая странная реакция рядом с этим местом... Мое шестое чувство меня ни на секунду не подвело! Он явно хочет избавиться от меня, а не проверить...)",S_1af64341,,,,
"S """"",S_1b8247ff,Это место опасно... Для кого бы то ни было. С какой целью ты привел меня сюда?,S_1b8247ff,,,,
"Zeside1 """"",Zeside1_30bcc7dc,У меня не было никаких секретных целей! Только настоящий вожак сможет взять свою волю в кулак и преодолеть страх. Каждый проверяет свое.,Zeside1_30bcc7dc,,,,
