"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"S """"","S_c674df9c","好吧！......我已经想好了，我不能永远逃避下去，我得正视这个问题，这次我会试着好好跟它相处一次","","","","",""
"C """"","C_0ee1d048","(哇，我想知道你的勇气从何而来？)","","","","",""
"S """"","S_feea1a72","这也是没办法的事，毕竟我们都已经住在一个房间了。","","","","",""
"S """"","S_4709f008","(虽然话是这么说，但我真的要这么做吗？)","","","","",""
"S """"","S_f2764213","就这么干吧！","","","","",""
"C """"","C_4acb820f","(哇，你真的决定去安慰它吗？)","","","","",""
"S """"","S_5e29cb33","塞蒙，你是支持我的对吧！","","","","",""
"C """"","C_d7f3a4fa","(你得想好哦！那可是一个小淫棍，到时候后悔就来不及了。)","","","","",""
"C """"","C_7a1e4b17","(用你胸部帮它做吧！我相信什么东西可以抵挡你胸部的诱惑。)","","","","",""
"S """"","S_4e392490","你怎么可以提出这么恶心的建议呢？。","","","","",""
"C """"","C_2d35945d","(我只是想帮忙，随便你采不采纳。)","","","","",""
"S """"","S_0c7657de","……","","","","",""
"C """"","C_2ada4ec4","(呵呵，如果你更喜欢用你的小嘴，我也并不反对。我相信它也更喜欢你这样。)","","","","",""
"S """"","S_0c7657de_1","……","","","","",""
"S """"","S_39c9ecb3","你这个白痴，我不会做那种事的！我只会用我的手！","","","","",""
"C """"","C_fbc7572e","（……）","","","","",""
"C """"","C_fd85a382","(为什么不是你的巨乳呢？)","","","","",""
"S """"","S_65560dd3","是的。","","","","",""
"C """"","C_7e3f786c","(哈哈哈！我还是觉得用你的胸部，效果会更好的......)","","","","",""
"S """"","S_23c7c0b8","不！","","","","",""
"S """"","S_29ab6ace","西蒙！","","","","",""
"C """"","C_10867946","(反正我是无所谓，你想好了就过去吧！)","","","","",""
"S """"","S_4283e0cd","嗯，我这就过去！","","","","",""
"C """"","C_fbc7572e_1","（……）","","","","",""
"S """"","S_63beaf84","！！！","","","","",""
"S """"","S_d6f1ab0f","(它的东西，比我想象中的要大多了......)","","","","",""
"S """"","S_7f01196d","我要开始啦！","","","","",""
"S """"","S_91ae8ddc","*摩擦* *摩擦* *摩擦*","","","","",""
"Z """"","Z_0d9350d5","*汪汪汪！*","","","","",""
"S """"","S_f2764213_1","就这么干吧！","","","","",""
"S """"","S_259ad97a","(他好像非常喜欢让我帮它做这种事......)","","","","",""
"S """"","S_f20c9126","你很快就不会憋得难受了......","","","","",""
"""""","narrator_01b39fcf","*摩擦* *摩擦* *摩擦*","","","","",""
"Z """"","Z_0d9350d5_1","*汪汪汪！*","","","","",""
"S """"","S_e8363e2d","怎么样？这种节奏刚刚好吧？","","","","",""
"S """"","S_8def1989","那我就继续保持这样。","","","","",""
"""""","narrator_9b1daaec","*摩擦* *摩擦* *摩擦*","","","","",""
"S """"","S_c2e149c8","(我越来越有信心了。)","","","","",""
"""""","narrator_9b1daaec_1","*摩擦* *摩擦* *摩擦*","","","","",""
"S """"","S_ffa7c4c2","(希望，这样能增加我们彼此间的友谊。)","","","","",""
"""""","narrator_01b39fcf_1","*摩擦* *摩擦* *摩擦*","","","","",""
"S """"","S_aeed9782","(毕竟我现在已经不是刚来这里的莎拉了。)","","","","",""
"Z """"","Z_f9da8a4a","*汪汪！！汪汪！！！*","","","","",""
"Z """"","Z_808430c5","*舔-舔*","","","","",""
"S """"","S_f939e4b3","小家伙，你犯规了，你不能碰我！","","","","",""
