location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"S1 """"",S1_EeKbQRXe,,,,,,
"""""",narrator_A2dABgLX,,,,,,
"L """"",L_KrZK2oYN,,,,,,
"S1 """"",S1_9qGk5T6c,,,,,,
"S1 """"",S1_5HsgGdq5,,,,,,
"""""",narrator_NQjmxCnJ,,,,,,
"S1 """"",S1_PZbd8iA5,,,,,,
"L """"",L_MSPDRHvJ,,,,,,
"""""",narrator_WbcFMYMa,,,,,,
"L """"",L_f52bS4C9,啊！,,,,,
"S1 """"",S1_tXVVqCgx,,,,,,
"""""",narrator_8PBXRSGa,,,,,,
"S1 """"",S1_rWXRRPgP,,,,,,
"L """"",L_L4CqeE2j,,,,,,
"""""",narrator_6Gs9Xozc,,,,,,
"S1 """"",S1_t85JDbaN,,,,,,
"L """"",L_M4VNwTzp,,,,,,
"""""",narrator_qeKoy3dc,,,,,,
"S1 """"",S1_WzrVjjKG,,,,,,
"S1 """"",S1_3yBd6W7n,,,,,,
"""""",narrator_bn5k6N8h,,,,,,
"S1 """"",S1_fFYcKMCv,,,,,,
"L """"",L_NTp6nV8r,,,,,,
"""""",narrator_dM6nHboy,,,,,,
"S1 """"",S1_CyztieAd,,,,,,
"S1 """"",S1_hYYKK8tg,,,,,,
"""""",narrator_t7Ss97F2,,,,,,
"""""",narrator_e5Z8nXma,,,,,,
"S1 """"",S1_DfF7sqrV,,,,,,
"S1 """"",S1_AYorAZyN,,,,,,
"L """"",L_cqWUGisW,,,,,,
"""""",narrator_CHCthMHA,,,,,,
"L """"",L_E2MHLt3d,,,,,,
"S1 """"",S1_txJnJcfA,,,,,,
"L """"",L_aNuxU7Va,啊！,,,,,
"""""",narrator_KodZvzjZ,,,,,,
"S1 """"",S1_XFAbMDJ7,,,,,,
"L """"",L_UPu5gDGF,,,,,,
"""""",narrator_E3AXcqpQ,,,,,,
"S1 """"",S1_PcDcLvZ6,,,,,,
"L """"",L_ExVhzybv,,,,,,
"""""",narrator_PXupNqbW,,,,,,
"""""",narrator_k9BqWMfu,,,,,,
"S1 """"",S1_JzisehyU,,,,,,
"L """"",L_P9WrMYX7,,,,,,
"""""",narrator_KXXivTsY,,,,,,
"""""",narrator_9gaWuqdy,,,,,,
"S1 """"",S1_b3AVBzV7,,,,,,
"S1 """"",S1_fbK266eH,对,,,,,
"S1 """"",S1_ezhYvfhu,,,,,,
"S1 """"",S1_VBnFwuon,,,,,,
"L """"",L_hrUx6Fvi,,,,,,
"""""",narrator_JGSBxRZR,,,,,,
"L """"",L_B3vTBfzm,,,,,,
"""""",narrator_DaYxu3Ld,,,,,,
"S1 """"",S1_RYmnrdhS,……,,,,,
"""""",narrator_HPSwEagC,,,,,,
"L """"",L_WZtpVToZ,,,,,,
"S1 """"",S1_x8PzJnDY,,,,,,
"S1 """"",S1_eyz9CmTs,,,,,,
"L """"",L_JNnpAvqq,,,,,,
"""""",narrator_psGARnjo,,,,,,
"L """"",L_TG9MzPEW,,,,,,
"S1 """"",S1_KegGQtPB,,,,,,
"S1 """"",S1_ZPo4QzGY,,,,,,
"""""",narrator_3oF82DJY,,,,,,
"S1 """"",S1_hegYu9cC,,,,,,
"""""",narrator_63tTpErx,,,,,,
"L """"",L_JS4hMc9h,,,,,,
"""""",narrator_Ho6fFiVh,,,,,,
"S1 """"",S1_D7miYFGN,,,,,,
"L """"",L_CCkqiAav,,,,,,
"""""",narrator_3buhcgPj,,,,,,
"S1 """"",S1_WVLJUnkV,,,,,,
"""""",narrator_9RK23SCB,,,,,,
"L """"",L_iT6GLc5x,,,,,,
"L """"",L_NahhYxt5,,,,,,
"S1 """"",S1_chPsyyN5,,,,,,
"L """"",L_G2RXEKLu,,,,,,
"S1 """"",S1_eG6rHVLc,,,,,,
"""""",narrator_d7y3XVoT,,,,,,
"L """"",L_tXL4ggPs,,,,,,
"S1 """"",S1_aDJ3bQz5,,,,,,
"S1 """"",S1_RA3PyYXa,,,,,,
"L """"",L_WbLPS8Bc,,,,,,
"S1 """"",S1_3rR24ycp,,,,,,
"S1 """"",S1_37uEQtTB,,,,,,
"""""",narrator_W3A7tJw2,,,,,,
"L """"",L_hZY4m9rx,,,,,,
"S1 """"",S1_H6M9zAaT,,,,,,
"L """"",L_THKLpv4j,,,,,,
"L """"",L_tTkNMCxJ,,,,,,
"S1 """"",S1_cuvJDTsj,,,,,,
"""""",narrator_A7FCz98J,,,,,,
"L """"",L_4cYKwgot,,,,,,
"""""",narrator_UWwLjMJo,,,,,,
"L """"",L_p6kCkq7h,,,,,,
"S1 """"",S1_mVBLJkn5,,,,,,
"S1 """"",S1_G3fbmFRG,,,,,,
"S1 """"",S1_DjnMLFmp,,,,,,
"L """"",L_fbqPvD8j,,,,,,
"""""",narrator_NKqwJXtH,,,,,,
"S1 """"",S1_jLBseRqQ,,,,,,
"S1 """"",S1_eRspALZ4,,,,,,
"L """"",L_4FxrQ5GQ,,,,,,
"""""",narrator_AkzwABAB,,,,,,
"S1 """"",S1_Dcw4LQgV,,,,,,
"L """"",L_9jtUYsNS,,,,,,
"""""",narrator_cxJupMAN,,,,,,
"L """"",L_XDjiVCyL,,,,,,
"""""",narrator_ELNwfcaR,,,,,,
"L """"",L_Ls8QLsvr,,,,,,
"""""",narrator_sTuaLnKE,,,,,,
"S1 """"",S1_L8rQYSwm,,,,,,
"L """"",L_ZPCQtKqs,,,,,,
"L """"",L_by84DgY4,,,,,,
"""""",narrator_LherUQC2,,,,,,
"S1 """"",S1_pSitsBch,,,,,,
"L """"",L_XomknBj8,,,,,,
"S1 """"",S1_g7CAcUBz,,,,,,
"L """"",L_8PiMKUY3,,,,,,
"S1 """"",S1_trRmXyps,,,,,,
"""""",narrator_ms88bpqx,,,,,,
"S1 """"",S1_MBzbNDze,,,,,,
"L """"",L_Tp88SP3H,,,,,,
"""""",narrator_NMdWgRtu,,,,,,
"L """"",L_XDhkXbN2,,,,,,
"""""",narrator_AgENTSxG,,,,,,
"""""",narrator_CHmsKttT,,,,,,
"""""",narrator_33oMtQEv,,,,,,
"L """"",L_GYDETb8S,,,,,,
"""""",narrator_oEbtdxtK,,,,,,
"L """"",L_4LqZiTmx,,,,,,
"""""",narrator_iDofmVww,,,,,,
"L """"",L_sNDs5DY9,,,,,,
"L """"",L_ZryAcPTQ,,,,,,
"""""",narrator_rti636dw,,,,,,
"S1 """"",S1_7vnmHE8e,,,,,,
"L """"",L_VQX5WxaY,,,,,,
"L """"",L_Eu8fTtXV,,,,,,
"""""",narrator_4JNyWF8Z,,,,,,
"""""",narrator_5gRKLN7M,,,,,,
"S1 """"",S1_5S3uAtmh,,,,,,
"""""",narrator_cjJ2LEoU,,,,,,
"S1 """"",S1_cZNWrPmr,,,,,,
"S1 """"",S1_FHuYwhSj,,,,,,
"L """"",L_i8pqDMcG,,,,,,
"L """"",L_SWV7M6qt,,,,,,
"""""",narrator_YsPmaDMV,,,,,,
"L """"",L_KxHVvueR,,,,,,
"S1 """"",S1_tNPsYK6P,,,,,,
"""""",narrator_dPGTFdAz,,,,,,
"L """"",L_KRbmSqtu,,,,,,
"S1 """"",S1_Xv3MAkGj,,,,,,
"L """"",L_3ypTqgP6,,,,,,
"""""",narrator_kCiNC5Qh,,,,,,
"S1 """"",S1_7jjSDrSb,,,,,,
"L """"",L_jgBXYFmb,,,,,,
"S1 """"",S1_AKTQeNTE,,,,,,
"L """"",L_QuzeZSeN,,,,,,
"L """"",L_rceBhKZZ,,,,,,
"S1 """"",S1_NUoRNW7Q,,,,,,
"L """"",L_Nr76Qrh4,,,,,,
"S1 """"",S1_6qikWS7o,,,,,,
"L """"",L_RdYbtJHU,……,,,,,
