"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"centered """"","narrator_6ASGJy9m","","","False","","",""
"""""","narrator_Kz4xq3Er","","","False","","",""
"S """"","S_dvas9vxK","","","False","","",""
"SO """"","SO_s6tygBBi","","","False","","",""
"S """"","S_TZ6u9R6w","","","False","","",""
"S """"","S_dWG8Me9i","","","False","","",""
"""""","narrator_YsZU5Pp9","","","False","","",""
"SO """"","SO_X9otugTJ","","","False","","",""
"""""","narrator_gEPycUuP","","","False","","",""
"S """"","S_QrwLaefq","","","False","","",""
"SO """"","SO_MjJMHgkg","","","False","","",""
"""""","narrator_sTiw4qRD","","","False","","",""
"S """"","S_SF5kvgtw","","","False","","",""
"SO """"","SO_fqSEcAuw","","","False","","",""
"SO """"","SO_dxiUkAeS","","","False","","",""
"""""","narrator_XSCmM97J","","","False","","",""
"SO """"","SO_ng2F6oh3","","","False","","",""
"SO """"","SO_XiseEzZc","","","False","","",""
"SO """"","SO_XAPCpwoZ","","","False","","",""
"""""","narrator_j92SU5YN","","","False","","",""
"SO """"","SO_ibC2cqRS","","","False","","",""
"SO """"","SO_4VCM6Jip","","","False","","",""
"S """"","S_qZk4ws39","","","False","","",""
"S """"","S_DuXeyXvg","","","False","","",""
"S """"","S_asiMBgwy","","","False","","",""
"S """"","S_Q5FEdF3T","","","False","","",""
"S """"","S_fR2RU7S5","","","False","","",""
"S """"","S_Rhx3uDeS","","","False","","",""
"""""","narrator_nvjUKAC4","","","False","","",""
"SO """"","SO_FosTVTnz","","","False","","",""
"S """"","S_NoHKpvoZ","","","False","","",""
"SO """"","SO_dKzsBZmq","","","False","","",""
"S """"","S_HVRueeYR","","","False","","",""
"SO """"","SO_FoWhVTmz","","","False","","",""
"SO """"","SO_FoWdFrD","","","False","","",""
"SO """"","SO_rUMhVEmz","","","False","","",""
"""""","narrator_TqbTH5kf","","","False","","",""
"S """"","S_RXXSJeQm","","","False","","",""
"SO """"","SO_fpxdbFEB","","","False","","",""
"SO """"","SO_tu3DfAmD","","","False","","",""
"""""","narrator_KrbNwDph","","","False","","",""
"S """"","S_mJBd8vXv","","","False","","",""
"S """"","S_6BnDvgMv","","","False","","",""
"S """"","S_KxnFgJpN","","","False","","",""
"""""","narrator_J2TfQP42","","","False","","",""
"S """"","S_rBsZrrRz","","","False","","",""
"S """"","S_HqijcvBB","","","False","","",""
"S """"","S_MX7Nbyfw","","","False","","",""
"S """"","S_9X64ojrp","","","False","","",""
"SO """"","SO_tuHe3AmD","","","False","","",""
"S """"","S_EfXnfqHk","","","False","","",""
"""""","narrator_EuqTtvqM","","","False","","",""
"SO """"","SO_KqRNn4ZE","","","False","","",""
"SO """"","SO_5wtAycXM","","","False","","",""
"S """"","S_p4ShP2b2","","","False","","",""
"""""","narrator_J2oC4Swr","","","False","","",""
"S """"","S_szpueJnD","","","False","","",""
"""""","narrator_7KRG49b7","","","False","","",""
"S """"","S_STkafDyo","","","False","","",""
"""""","narrator_NUrHicWe","","","False","","",""
"SOside1 """"","SOside1_sasRDjGK","","","False","","",""
"SOside1 """"","SOside1_H5kxqbPu","","","False","","",""
"S """"","S_TRX9psTu","","","False","","",""
"""""","narrator_kDQqEhko","","","False","","",""
"S """"","S_gcGndCxi","","","False","","",""
"S """"","S_ij8Cx8ns","","","False","","",""
"SOside1 """"","SOside1_9Wzf2Fod","","","False","","",""
"SOside1 """"","SOside1_RZtKZwRe","","","False","","",""
"S """"","S_DcWp6GBu","","","False","","",""
"S """"","S_k3cHWE44","","","False","","",""
"SOside1 """"","SOside1_39ugcCRw","","","False","","",""
"""""","narrator_LRkUYdwN","","","False","","",""
"S """"","S_HJ9NSxfg","","","False","","",""
"SOside1 """"","SOside1_NhPNzNNg","","","False","","",""
"""""","narrator_SntrMQbA","","","False","","",""
"SOside1 """"","SOside1_R7MhshGp","","","False","","",""
"SOside1 """"","SOside1_nygu7buT","","","False","","",""
"SOside1 """"","SOside1_At3URJkN","","","False","","",""
"SOside1 """"","SOside1_CBugx3jD","","","False","","",""
"""""","narrator_tWCeNo7C","","","False","","",""
"S """"","S_JVN7hvkT","","","False","","",""
"SOside1 """"","SOside1_LKuiYa4Y","","","False","","",""
"S """"","S_tQFjy3H3","","","False","","",""
"S """"","S_Gnsbztv4","","","False","","",""
"""""","narrator_qrEE3xjZ","","","False","","",""
"S """"","S_J43vAyE3","","","False","","",""
"S """"","S_XtC2aFy7","","","False","","",""
"SOside1 """"","SOside1_5yiFHcng","","","False","","",""
"SOside1 """"","SOside1_PvneXrCg","","","False","","",""
"""""","narrator_kNPaF3LN","","","False","","",""
"S """"","S_B3aFKZrL","","","False","","",""
"""""","narrator_QEQoqxhJ","","","False","","",""
"""""","narrator_ohLZAGeM","","","False","","",""
"S """"","S_TVV8e9K6","","","False","","",""
"S """"","S_47wXb3yL","","","False","","",""
"""""","narrator_iAcjgPU5","","","False","","",""
"S """"","S_dq6Ywsec","","","False","","",""
"S """"","S_YTEshwbq","","","False","","",""
"S """"","S_RE82KPYS","","","False","","",""
"S """"","S_hjEoWj6g","","","False","","",""
"C """"","C_kGMEs2QP","","","False","","",""
"S """"","S_Z9M3B8us","","","False","","",""
"S """"","S_S9CsF7iQ","","","False","","",""
"S """"","S_8Yigk2fz","","","False","","",""
"C """"","C_PcfUS8vu","","","False","","",""
"S """"","S_UVakYDec","","","False","","",""
"C """"","C_8jm3kKgr","","","False","","",""
"S """"","S_8szWx3XB","","","False","","",""
"C """"","C_oVFXQLVN","","","False","","",""
"S """"","S_JbAv7aKc","","","False","","",""
"C """"","C_eQmB65Qi","","","False","","",""
"S """"","S_RPKqjrHd","","","False","","",""
"S """"","S_hx3jH4hn","","","False","","",""
"C """"","C_FjZpShyg","","","False","","",""
"C """"","C_rwt4EcKR","","","False","","",""
"S """"","S_W4e7iJKs","","","False","","",""
"""""","narrator_oE7y4izD","","","False","","",""
"S """"","S_RXNVDo5d","","","False","","",""
"S """"","S_8hFjDhgw","","","False","","",""
"S """"","S_Sfvb2mCM","","","False","","",""
"""""","narrator_GT4RntAC","","","False","","",""
"S """"","S_R8XErYDY","","","False","","",""
"""""","narrator_tXqt7GQW","","","False","","",""
"S """"","S_Kg6VcDGg","","","False","","",""
"""""","narrator_Myj7gibQ","","","False","","",""
"S """"","S_BJS7Xnue","","","False","","",""
"""""","narrator_9jxkh9fS","","","False","","",""
"S """"","S_CPXwtUxQ","","","False","","",""
"S """"","S_mWXhFTGL","","","False","","",""
"S """"","S_CWDQ7zU9","","","False","","",""
"S """"","S_modubnjn","","","False","","",""
"S """"","S_L937x2ci","","","False","","",""
"S """"","S_Sg2DezEz","","","False","","",""
"S """"","S_k2cwzxVu","","","False","","",""
"""""","narrator_JvBGd7yL","","","False","","",""
"S """"","S_HJYTKfsG","","","False","","",""
"S """"","S_SoZDvRuA","","","False","","",""
"""""","narrator_g7KB7em4","","","False","","",""
"""""","narrator_LcgxK7Lu","","","False","","",""
"S """"","S_3o4Hb8Wf","","","False","","",""
"""""","narrator_Xp7d4NZ3","","","False","","",""
"centered """"","centered_9epks8cP","","","False","","",""
"centered """"","centered_S9gub8db","","","False","","",""
"centered """"","centered_WBany22j","","","False","","",""
"""""","narrator_BnnPY4Qz","","","False","","",""
"S """"","S_GeJcW3mk","","","False","","",""
"S """"","S_mm87odBq","","","False","","",""
"""""","narrator_HVNdehZN","","","False","","",""
"S """"","S_FkV5Ar4E","","","False","","",""
"S """"","S_D3owcdJc","","","False","","",""
"S """"","S_RpKWygB9","","","False","","",""
"S """"","S_tEE99mqE","","","False","","",""
"S """"","S_deUGbPQD","","","False","","",""
"S """"","S_Btymtzoe","","","False","","",""
"S """"","S_KesXUFgS","","","False","","",""
"S """"","S_7PfLj3sk","","","False","","",""
"S """"","S_YjnAqcyy","","","False","","",""
"""""","narrator_ohKmGet5","","","False","","",""
"S """"","S_MQYsEAmH","","","False","","",""
"""""","narrator_MzENuLPr","","","False","","",""
"S """"","S_CiitjDtT","","","False","","",""
"""""","narrator_LQqp8nzy","","","False","","",""
"S """"","S_X6KQyVPE","","","False","","",""
"S """"","S_bwTLYXvy","","","False","","",""
"S """"","S_NiRfcyFo","","","False","","",""
"S """"","S_k3St4RYz","","","False","","",""
"""""","narrator_TGhgN4T7","","","False","","",""
"S """"","S_CWuuHdPg","","","False","","",""
"S """"","S_Fmftm67q","","","False","","",""
"""""","narrator_8cVnh9ke","","","False","","",""
"S """"","S_JSrY6k2M","","","False","","",""
"S """"","S_FJtzfM8V","","","False","","",""
"S """"","S_Zu2PFU7M","","","False","","",""
"""""","narrator_L6zNn6Bv","","","False","","",""
"S """"","S_M59m8etR","","","False","","",""
"S """"","S_M6LT3YsX","","","False","","",""
"""""","narrator_khc7pVbu","","","False","","",""
"S """"","S_T8uYo5Vq","","","False","","",""
"S """"","S_euTyQMyV","","","False","","",""
"S """"","S_NcMbsRjd","","","False","","",""
"S """"","S_baoEEjGz","","","False","","",""
"S """"","S_sL7iWXS9","","","False","","",""
"""""","narrator_8cX8YwjY","","","False","","",""
"S """"","S_UYnebGaB","","","False","","",""
"""""","narrator_PuzxpFLe","","","False","","",""
"S """"","S_fkGPyUhx","","","False","","",""
"S """"","S_YTeqqgcG","","","False","","",""
"""""","narrator_T9F8tGtL","","","False","","",""
"S """"","S_tL7oeZfR","","","False","","",""
"""""","narrator_WaLoVod8","","","False","","",""
"S """"","S_X7HquYMJ","","","False","","",""
"""""","narrator_9HRCLfa8","","","False","","",""
"S """"","S_eVt3HFUC","","","False","","",""
"""""","narrator_FC4Mja36","","","False","","",""
"S """"","S_ioM9MU3a","","","False","","",""
"S """"","S_AF89w38L","","","False","","",""
"S """"","S_m7foysM2","","","False","","",""
"""""","narrator_ExcGX7nt","","","False","","",""
"S """"","S_LYCiShL4","","","False","","",""
"S """"","S_bcxhdpBj","","","False","","",""
"""""","narrator_EnhU7cuv","","","False","","",""
"""""","narrator_9UhD3bLs","","","False","","",""
"S """"","S_JiwaVPgf","","","False","","",""
"""""","narrator_YP4XPQVe","","","False","","",""
"S """"","S_GQuG9j4p","","","False","","",""
"S """"","S_faDzahKQ","","","False","","",""
"S """"","S_BTdbBZbi","","","False","","",""
"S """"","S_ipKphwtT","","","False","","",""
"S """"","S_YCuMKVtQ","","","False","","",""
"""""","narrator_LLvQcMU6","","","False","","",""
"SO """"","SO_Gkso6ezk","","","False","","",""
"""""","narrator_Fonpqmua","","","False","","",""
"S """"","S_4TZVZFss","","","False","","",""
"S """"","S_CYMMdCp8","","","False","","",""
"S """"","S_EBjRxsoY","","","False","","",""
"SO """"","SO_dACWkBUy","","","False","","",""
"S """"","S_k6tt79q4","","","False","","",""
"""""","narrator_iVodL384","","","False","","",""
"SO """"","SO_aNnRKcYH","","","False","","",""
"S """"","S_pWhaPmZp","","","False","","",""
"""""","narrator_szJ6oYyA","","","False","","",""
"SO """"","SO_Z95VFL6D","","","False","","",""
"S """"","S_DNVvo2vW","","","False","","",""
"SO """"","SO_jU23hJL3","","","False","","",""
"S """"","S_RbASAEo2","","","False","","",""
"""""","narrator_aanG2UfT","","","False","","",""
"S """"","S_GP6kHCMS","","","False","","",""
"S """"","S_MtJLD9XC","","","False","","",""
"""""","narrator_UFUZ2fDA","","","False","","",""
"SO """"","SO_4hYR6oyd","","","False","","",""
"S """"","S_tdq99EmS","","","False","","",""
"S """"","S_D6j47VmM","","","False","","",""
