"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"""""","narrator_3dc3ae15","","","","","",""
"S """"","S_d0f795d1","","","","","",""
"S """"","S_34f200da","","","","","",""
"S """"","S_9b47380f","","","","","",""
"""""","narrator_00393b85","","","","","",""
"L1side3 """"","L1side3_e9d4cacd","","","","","",""
"S """"","S_bb9a6f90","……","","","","",""
"S """"","S_959f0b5f","呃？","","","","",""
"L """"","L_f269d178","","","","","",""
"S """"","S_b5b86598","","","","","",""
"""""","narrator_eb152b01","","","","","",""
"""""","narrator_5527725e","","","","","",""
"S """"","S_f1a19473","","","","","",""
"S """"","S_0143bc5a","","","","","",""
"""""","narrator_23823ec4","","","","","",""
"S """"","S_dab7d1e1","","","","","",""
"""""","narrator_39f6ddf0","","","","","",""
"L """"","L_355737f4","","","","","",""
"S """"","S_5d6f657c","呃？！","","","","",""
"S """"","S_98d8a0bf","","","","","",""
"""""","narrator_ac377376","","","","","",""
"S """"","S_2c8a5cf9","","","","","",""
"S """"","S_d2ef2f2c","","","","","",""
"""""","narrator_873d5be8","","","","","",""
"L """"","L_e51652a1","","","","","",""
"L """"","L_360df7de","","","","","",""
"S """"","S_7383a416","","","","","",""
"L """"","L_99ae1853","","","","","",""
"S """"","S_43316ab4","","","","","",""
"""""","narrator_3e7d5b2b","","","","","",""
"L """"","L_b7082e43","","","","","",""
"S """"","S_5d6f657c_1","呃？！","","","","",""
"""""","narrator_dd66e101","","","","","",""
"S """"","S_00378b3b","","","","","",""
"L """"","L_af181396","","","","","",""
"""""","narrator_01d7742c","","","","","",""
"L """"","L_f76acd74","","","","","",""
"L """"","L_fb068626","","","","","",""
"""""","narrator_a29fd03d","","","","","",""
"S """"","S_e8c4ab75","","","","","",""
"L """"","L_50854489","","","","","",""
"L """"","L_1fe66b8e","","","","","",""
"L """"","L_23c92646","","","","","",""
"""""","narrator_1dfd2bd5","","","","","",""
"L """"","L_47ef99d7","","","","","",""
"L """"","L_01fdc426","","","","","",""
"""""","narrator_a6e7710c","","","","","",""
"L """"","L_b2108213","","","","","",""
"L """"","L_9bb8a62c","","","","","",""
"L """"","L_e0abfcb5","","","","","",""
"S """"","S_876fe8bd","！！！","","","","",""
"S """"","S_5e88179c","","","","","",""
"S """"","S_7a6d6ffc","","","","","",""
"L """"","L_47c762da","","","","","",""
"""""","narrator_d2299444","","","","","",""
"S """"","S_4011f17a","","","","","",""
"S """"","S_f79d422a","","","","","",""
"L """"","L_7cf1f26a","","","","","",""
"L """"","L_d11363c9","","","","","",""
"L """"","L_f1505e44","","","","","",""
"L """"","L_e4ff3632","","","","","",""
"L """"","L_f68d7866","","","","","",""
"L """"","L_1ce33ad6","","","","","",""
"""""","narrator_71645efc","","","","","",""
"L """"","L_f1bf6149","","","","","",""
"S """"","S_d5c6db6b","","","","","",""
"L """"","L_fe9cbe4d","","","","","",""
"""""","narrator_f4cf2025","","","","","",""
"L """"","L_df545806","","","","","",""
"S """"","S_5d6f657c_2","呃？！","","","","",""
"S """"","S_e87b2eac","","","","","",""
