location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"""""",narrator_eadc5d8a,,,,,,
"S """"",S_2545a3a9,,,,,,
"S """"",S_bd2ce85b,,,,,,
"""""",narrator_527fa43a,,,,,,
"L """"",L_dc0a7b98,(Mmmm...),,,,,
"S """"",S_8a6e57d7,呃？,,,,,
"""""",narrator_aaa99aff,,,,,,
"S """"",S_6ef623f0,,,,,,
"S """"",S_0cc322c9,,,,,,
"S """"",S_da1a64d5,,,,,,
"""""",narrator_4d84623b,,,,,,
"S """"",S_c92f26bf,,,,,,
"""""",narrator_ce1efeb2,,,,,,
"L """"",L_75dd2a83,,,,,,
"""""",narrator_889b2ccc,,,,,,
"S """"",S_06b42b4c,,,,,,
"L """"",L_500f9cae,,,,,,
"S """"",S_886e5748,,,,,,
"L """"",L_7430c3ae,,,,,,
"S """"",S_e164d572,,,,,,
"S """"",S_0f2ae60f,,,,,,
"S """"",S_32e13565,,,,,,
"""""",narrator_41ebe39c,,,,,,
"S """"",S_afb53002,,,,,,
"L """"",L_c1cbff52,,,,,,
"L """"",L_9f25740f,,,,,,
"S """"",S_6453fa8e,,,,,,
"L """"",L_9996edf1,,,,,,
"S """"",S_60318e3d,,,,,,
"L """"",L_608af90c,（……）,,,,,
"S """"",S_cbde6e88,……,,,,,
"S """"",S_5e3ed276,,,,,,
"S """"",S_5e95b7a7,,,,,,
"""""",narrator_f9ead693,,,,,,
"S """"",S_572f2c61,,,,,,
"S """"",S_1b63ece5,,,,,,
"S """"",S_d99071d4,,,,,,
"S """"",S_71918a09,,,,,,
"S """"",S_44dd1e08,,,,,,
"S """"",S_4cc1004e,,,,,,
"S """"",S_ba3c99a7,,,,,,
"""""",narrator_49acef13,,,,,,
"S """"",S_4c3d8903,,,,,,
"L """"",L_608af90c_1,（……）,,,,,
"S """"",S_d42bb893,,,,,,
"S """"",S_e3afaedc,,,,,,
"""""",narrator_c115f00d,,,,,,
"S """"",S_e8e0d9c1,,,,,,
"S """"",S_89f96756,,,,,,
"S """"",S_63afccd1,,,,,,
"S """"",S_564b5199,,,,,,
"S """"",S_6e50619b,,,,,,
"L """"",L_f9b9613d,,,,,,
"""""",narrator_7aa9a4f4,,,,,,
"S """"",S_f051ca79,,,,,,
"L """"",L_68ebff1a,,,,,,
"S """"",S_eef4eb95,,,,,,
"L """"",L_608af90c_2,（……）,,,,,
"S """"",S_24ddc416,,,,,,
"L """"",L_5ff940d3,,,,,,
"L """"",L_89591bab,,,,,,
"L """"",L_62fdb552,,,,,,
"L """"",L_ae2d2579,,,,,,
"L """"",L_f23bb8cf,,,,,,
"L """"",L_7ff90d0f,,,,,,
"L """"",L_cc4926b6,,,,,,
"L """"",L_c1fa57ef,,,,,,
"L """"",L_5d29d341,,,,,,
"L """"",L_f8364a2b,,,,,,
"L """"",L_779e3dbb,(！！！),,,,,
"L """"",L_077e88c9,,,,,,
"L """"",L_0f0b8c0d,,,,,,
"L """"",L_78233d7e,（咦！！！）,,,,,
"L """"",L_066c2dcc,,,,,,
"S """"",S_dd498878,,,,,,
"L """"",L_29b3945e,,,,,,
"S """"",S_d5602081,,,,,,
"L """"",L_779e3dbb_1,(！！！),,,,,
"L """"",L_a108b443,,,,,,
"""""",narrator_38952760,,,,,,
"S """"",S_dfe8b168,,,,,,
"L """"",L_b4182864,,,,,,
"""""",narrator_760f5cb3,,,,,,
"L """"",L_f10ea78e,,,,,,
"""""",narrator_6b699b4e,,,,,,
"""""",narrator_5d94eeb5,*摩擦* *摩擦* *摩擦*,,,,,
"S """"",S_9b0ab94e,,,,,,
"""""",narrator_0aa80dfc,*摩擦* *摩擦* *摩擦*,,,,,
"L """"",L_4214e626,,,,,,
"""""",narrator_aded3eb1,,,,,,
"""""",narrator_657c5949,*噗叽* *噗叽* *啪*,,,,,
"S """"",S_2e7025e6,,,,,,
"L """"",L_d04eee63,,,,,,
"""""",narrator_7104279f,,,,,,
"""""",narrator_9d2f23aa,,,,,,
"L """"",L_75326906,,,,,,
"""""",narrator_134cd264,,,,,,
"L """"",L_daa8cda1,,,,,,
"S """"",S_58704c8d,,,,,,
"""""",narrator_7ff726a7,,,,,,
"S """"",S_f6442dde,,,,,,
"S """"",S_113a7fe2,,,,,,
"""""",narrator_8e555a90,*噗叽* *噗叽* *啪*,,,,,
"L """"",L_5f8f6bf2,,,,,,
"S """"",S_7bf9aef5,,,,,,
"S """"",S_b85182d5,,,,,,
"""""",narrator_70440866,,,,,,
"L """"",L_215b5e79,,,,,,
"S """"",S_074355dc,,,,,,
"""""",narrator_8e555a90_1,*噗叽* *噗叽* *啪*,,,,,
"L """"",L_006bf49b,,,,,,
"L """"",L_9c65a593,,,,,,
"S """"",S_6f3e6643,,,,,,
"S """"",S_792ba0fc,,,,,,
"""""",narrator_8825870d,*摩擦* *摩擦* *摩擦*,,,,,
"L """"",L_5badc0ea,,,,,,
"S """"",S_e53e64d1,,,,,,
"C """"",C_3bdace79,,,,,,
"S """"",S_30ff446a,,,,,,
"C """"",C_5a0bf54f,,,,,,
"L """"",L_079c37d0,,,,,,
"""""",narrator_b670a134,,,,,,
"S """"",S_f75ba7cb,,,,,,
"S """"",S_c146b3a4,,,,,,
"S """"",S_6b56aafd,,,,,,
"L """"",L_dec4d894,,,,,,
"S """"",S_165d2cfa,,,,,,
"""""",narrator_8bde0525,,,,,,
"L """"",L_2e702349,,,,,,
"""""",narrator_cca58322,,,,,,
"S """"",S_6feb78cc,,,,,,
"C """"",C_33f3e388,,,,,,
"S """"",S_fd5ee2dd,,,,,,
"C """"",C_2cd43859,,,,,,
"S """"",S_f4cb60aa,,,,,,
"C """"",C_782f5930,,,,,,
"S """"",S_04b72d9a,,,,,,
"C """"",C_3c2e2b02,,,,,,
"S """"",S_55c096e7,,,,,,
"C """"",C_32e80e30,,,,,,
"L """"",L_779e3dbb_2,(！！！),,,,,
"L """"",L_0e1706b4,,,,,,
"S """"",S_4b23b754,,,,,,
"L """"",L_0ae32ff7,,,,,,
"""""",narrator_fcc5d5de,,,,,,
"L """"",L_30543d59,,,,,,
"""""",narrator_f8db124f,,,,,,
"L """"",L_409bf861,,,,,,
"S """"",S_56e39c7c,,,,,,
"L """"",L_f5343e8d,,,,,,
"S """"",S_962c143a,,,,,,
"""""",narrator_c6e0c304,*Squish* * Smack* * Slurp*,,,,,
"L """"",L_5657fc59,,,,,,
"""""",narrator_af2e1d86,,,,,,
"L """"",L_a37b0248,,,,,,
"L """"",L_0f0b9057,,,,,,
"S """"",S_50e1aa9e,,,,,,
"L """"",L_615389fa,,,,,,
"S """"",S_84ad82e1,,,,,,
"S """"",S_1133c7a2,,,,,,
"""""",narrator_4614cfdd,*Squish* * Smack* * Slurp*,,,,,
"L """"",L_ef3eab33,,,,,,
"L """"",L_779eebed,,,,,,
"S """"",S_31bfd131,,,,,,
"""""",narrator_4614cfdd_1,*Squish* * Smack* * Slurp*,,,,,
"L """"",L_365ba641,,,,,,
"S """"",S_19dfb09a,！！！,,,,,
"S """"",S_8f9e59f3,,,,,,
