"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"""""","narrator_omooCGRL","","","False","","",""
"S """"","S_GVZiaXMC","","","False","","",""
"S """"","S_gSiNoNqM","","","False","","",""
"""""","narrator_9z7ErxCq","","","False","","",""
"S """"","S_pffmWz9d","","","False","","",""
"S """"","S_oeK7JzbF","","","False","","",""
"S """"","S_BPB7DzJd","","","False","","",""
"S """"","S_S6fEPgZR","","","False","","",""
"S """"","S_M6y3Dm6C","","","False","","",""
"S """"","S_eEic4AYt","","","False","","",""
"""""","narrator_9RFh7Enp","","","False","","",""
"S """"","S_WT7tWeVN","","","False","","",""
"""""","narrator_AyyRvoQ4","","","False","","",""
"S """"","S_Zj5GKTga","","","False","","",""
"S """"","S_qG5spnMB","","","False","","",""
"S """"","S_HXebydjf","","","False","","",""
"""""","narrator_qJ9oySRJ","","","False","","",""
"S """"","S_GpZNQsnX","","","False","","",""
"S """"","S_YJVw9DvR","","","False","","",""
"""""","narrator_Le4cVJ4V","","","False","","",""
"S """"","S_kv4cJPzH","","","False","","",""
"S """"","S_f5cvFq72","","","False","","",""
"S """"","S_eNDN7BEu","","","False","","",""
"""""","narrator_HGnWD584","","","False","","",""
"S """"","S_t4UA4uqF","","","False","","",""
"S """"","S_cnrHjWeB","","","False","","",""
"S """"","S_keaw9DP3","","","False","","",""
"""""","narrator_3is4X3Cm","","","False","","",""
"S """"","S_gR7ekewi","","","False","","",""
"""""","narrator_SgpUeEuv","","","False","","",""
"""""","narrator_WDeJ7giR","","","False","","",""
"S """"","S_3GhNMucH","","","False","","",""
"S """"","S_SnYBjCq8","","","False","","",""
"S """"","S_dL5snaJK","","","False","","",""
"""""","narrator_fDqHQCxz","","","False","","",""
"S """"","S_DJPLpWbz","","","False","","",""
"S """"","S_oaRRohXB","","","False","","",""
"""""","narrator_kApt5FGB","","","False","","",""
"S """"","S_M5pVFfiU","","","False","","",""
"S """"","S_TFKvxXna","","","False","","",""
"""""","narrator_4xoP9Zx2","","","False","","",""
"S """"","S_juMDQG5y","","","False","","",""
"""""","narrator_dUFkcWwv","","","False","","",""
"S """"","S_4377E8Cb","","","False","","",""
"S """"","S_kUEaPF7s","","","False","","",""
"""""","narrator_ppug6cMD","","","False","","",""
"S """"","S_hDSDncfF","","","False","","",""
"""""","narrator_3iiF4CZW","","","False","","",""
"S """"","S_h79aajL6","","","False","","",""
"S """"","S_bzjCR9so","","","False","","",""
"""""","narrator_M8Gwgy6n","","","False","","",""
"S """"","S_DJ3xpKVd","","","False","","",""
"S """"","S_REV4PNX3","","","False","","",""
