"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"L """"","L_7409269b","","","False","","",""
"S """"","S_e529eafb","","","False","","",""
"L """"","L_1483b056","","","False","","",""
"S """"","S_561a3986","","","False","","",""
"S """"","S_42b53831","","","False","","",""
"L """"","L_0e7078b8","","","False","","",""
"S """"","S_74824b26","","","False","","",""
"L """"","L_2863de9c","","","False","","",""
"S """"","S_7a281af6","","","False","","",""
"L """"","L_ecdecaf4","","","False","","",""
"S """"","S_ab966468","","","False","","",""
"L """"","L_79c1afde","","","False","","",""
"S """"","S_08732e20","","","False","","",""
"L """"","L_5542942e","","","False","","",""
"L """"","L_14c90766","","","False","","",""
"S """"","S_3d75361d","","","False","","",""
"L """"","L_1c4a498a","","","False","","",""
"S """"","S_082838d1","","","False","","",""
"""""","narrator_97a63ed9","","","False","","",""
"S """"","S_504090b0","","","False","","",""
"L """"","L_f2947235","","","False","","",""
"""""","narrator_026ba0b7","","","False","","",""
"L """"","L_b932dab5","","","False","","",""
"L """"","L_77c32195","","","False","","",""
"L """"","L_d936bea1","","","False","","",""
"S """"","S_54a4af46","","","False","","",""
"L """"","L_990924a1","","","False","","",""
"L """"","L_c269332b","","","False","","",""
"S """"","S_faa7e995","","","False","","",""
"""""","narrator_c2313114","","","False","","",""
"S """"","S_74754ed1","","","False","","",""
"L """"","L_8ab56b7a","","","False","","",""
"S """"","S_f2789a72","","","False","","",""
"L """"","L_f91cb7ca","","","False","","",""
"S """"","S_406dab7a","","","False","","",""
"L """"","L_1372bfcb","","","False","","",""
"""""","narrator_879cfb7d","","","False","","",""
"S """"","S_69112a26","","","False","","",""
"S """"","S_db1c1c8c","","","False","","",""
"L """"","L_b9543fe3","","","False","","",""
"S """"","S_5fa9e5aa","","","False","","",""
"L """"","L_ad695f8d","","","False","","",""
"""""","narrator_af4f7443","","","False","","",""
"S """"","S_25997af8","","","False","","",""
"L """"","L_68fb918c","","","False","","",""
"S """"","S_514bb024","","","False","","",""
"L """"","L_39f9a958","","","False","","",""
"S """"","S_21c4d939","","","False","","",""
"L """"","L_c97fb941","","","False","","",""
"S """"","S_2dab1cf0","","","False","","",""
"S """"","S_6f1685a7","","","False","","",""
"L """"","L_da89c847","","","False","","",""
"S """"","S_72a78174","","","False","","",""
"""""","narrator_defffd74","","","False","","",""
"S """"","S_83630689","","","False","","",""
"S """"","S_e8953136","","","False","","",""
"S """"","S_fc190dc1","","","False","","",""
"L """"","L_0412edfd","","","False","","",""
"S """"","S_f9bf8c2c","","","False","","",""
"S """"","S_62da0592","","","False","","",""
"S """"","S_bb9dcdb2","","","False","","",""
"L """"","L_fc48dcac","","","False","","",""
"L """"","L_22abab7c","","","False","","",""
"S """"","S_356c2885","","","False","","",""
"S """"","S_7a879ed1","","","False","","",""
"L """"","L_7191c354","","","False","","",""
"L """"","L_677bf643","","","False","","",""
"L """"","L_0ec24985","","","False","","",""
"L """"","L_6bcf0766","","","False","","",""
"L """"","L_3b475d7e","","","False","","",""
"L """"","L_b24f6804","","","False","","",""
"L """"","L_7b83776b","","","False","","",""
"L """"","L_de0c8da0","","","False","","",""
"L """"","L_83ce4d90","","","False","","",""
"L """"","L_ee4cb81c","","","False","","",""
"""""","narrator_f434ebc6","","","False","","",""
"S """"","S_6d019b86","","","False","","",""
"L """"","L_222450bd","","","False","","",""
"L """"","L_b2e167a1","","","False","","",""
"""""","narrator_baead47e","","","False","","",""
"L """"","L_835c63ef","","","False","","",""
"""""","narrator_ef41f359","","","False","","",""
"S """"","S_325715e3","","","False","","",""
"L """"","L_2d696f00","","","False","","",""
"S """"","S_274f0226","","","False","","",""
"L """"","L_99bd4694","","","False","","",""
"L """"","L_5d07e4db","","","False","","",""
"S """"","S_c1ffb508","","","False","","",""
"S """"","S_e1253365","","","False","","",""
"L """"","L_e6ace859","","","False","","",""
"L """"","L_803b6c4b","","","False","","",""
"L """"","L_de7101fc","","","False","","",""
"L """"","L_7e0c1381","","","False","","",""
"L """"","L_16865f8a","","","False","","",""
"S """"","S_7c0c9786","","","False","","",""
"L """"","L_9209fe96","","","False","","",""
"S """"","S_04c1e2ed","","","False","","",""
"L """"","L_f5deb2af","","","False","","",""
"S """"","S_76d95800","","","False","","",""
"S """"","S_a6a2a204","","","False","","",""
"L """"","L_53a2cccd","","","False","","",""
"L """"","L_790c183b","","","False","","",""
"S """"","S_9fdde3ff","","","False","","",""
"L """"","L_ddfb3e14","","","False","","",""
"S """"","S_5db5285e","","","False","","",""
"L """"","L_95dd2813","","","False","","",""
"S """"","S_6abb02e2","","","False","","",""
"S """"","S_99bc6656","","","False","","",""
"S """"","S_1a42aca8","","","False","","",""
"S """"","S_17f6ca1c","","","False","","",""
"""""","narrator_12427031","","","False","","",""
"S """"","S_573fb175","","","False","","",""
"L """"","L_42233617","","","False","","",""
"L """"","L_4c3b8299","","","False","","",""
"S """"","S_a3f7fe57","","","False","","",""
"L """"","L_df323f27","","","False","","",""
"S """"","S_0e0f56c6","","","False","","",""
"centered """"","centered_bc1ba3a5","","","False","","",""
"centered """"","centered_924c2d07","","","False","","",""
"S """"","S_3961c381","","","False","","",""
"L """"","L_f6e1b4fd","","","False","","",""
"S """"","S_158ccbbd","","","False","","",""
"L """"","L_40d4785f","","","False","","",""
"L """"","L_4acf4677","","","False","","",""
"L """"","L_3d5cead8","","","False","","",""
"L """"","L_8e8ef174","","","False","","",""
"L """"","L_2dd2a134","","","False","","",""
"S """"","S_022c0507","","","False","","",""
"S """"","S_b05f1f35","","","False","","",""
"L """"","L_42342747","","","False","","",""
"S """"","S_df423e9f","","","False","","",""
"S """"","S_df3b0ac0","","","False","","",""
"L """"","L_87043bec","","","False","","",""
"""""","narrator_b802652d","","","False","","",""
"S """"","S_aeab5bc1","","","False","","",""
"S """"","S_5dcec42f","","","False","","",""
"S """"","S_63701f77","","","False","","",""
"""""","narrator_7cbb5235","","","False","","",""
"S """"","S_23af42ff","","","False","","",""
"S1 """"","S1_ff3ce155","","","False","","",""
"S """"","S_efd6c992","","","False","","",""
"S """"","S_cebc157e","","","False","","",""
"""""","narrator_db441d2e","","","False","","",""
"S """"","S_1750003c","","","False","","",""
"""""","narrator_92c5413b","","","False","","",""
"S """"","S_ccea1056","","","False","","",""
"S1 """"","S1_e23b477b","","","False","","",""
"S1 """"","S1_809e032b","","","False","","",""
"""""","narrator_d2593cba","","","False","","",""
"""""","narrator_34160e81","","","False","","",""
"S1 """"","S1_918550ee","","","False","","",""
"""""","narrator_9e37a584","","","False","","",""
"S """"","S_20b7eab0","","","False","","",""
"S1 """"","S1_2786f0d7","","","False","","",""
"S1 """"","S1_c9ae351a","","","False","","",""
"S """"","S_b5b20d86","","","False","","",""
"S """"","S_efe31d7b","","","False","","",""
"""""","narrator_359ab41f","","","False","","",""
"S1 """"","S1_334029a3","","","False","","",""
"""""","narrator_a78dd02b","","","False","","",""
"""""","narrator_d2593cba_1","","","False","","",""
"S1 """"","S1_6a8b7901","","","False","","",""
"""""","narrator_c1a6b8e6","","","False","","",""
"S1 """"","S1_3fba4ee5","","","False","","",""
"""""","narrator_57cc54ec","","","False","","",""
"""""","narrator_77066e69","","","False","","",""
"S1 """"","S1_aa2dc38a","","","False","","",""
"S """"","S_3af5efb9","","","False","","",""
"S1 """"","S1_16672882","","","False","","",""
"""""","narrator_922e22d0","","","False","","",""
"S """"","S_06b1ca7b","","","False","","",""
"""""","narrator_81a6ba17","","","False","","",""
"""""","narrator_d9b55159","","","False","","",""
"S1 """"","S1_ab488739","","","False","","",""
"""""","narrator_ee26a5ab","","","False","","",""
"S1 """"","S1_4a11e79f","","","False","","",""
"""""","narrator_f3d1cf79","","","False","","",""
"S """"","S_6b022822","","","False","","",""
"S1 """"","S1_ad8335ca","","","False","","",""
"S """"","S_23439a06","","","False","","",""
"S1 """"","S1_89798c65","","","False","","",""
"""""","narrator_c204c199","","","False","","",""
"S1 """"","S1_cadd3377","","","False","","",""
"S1 """"","S1_c21fee1e","","","False","","",""
"""""","narrator_6abd7d42","","","False","","",""
"S """"","S_dbfef925","","","False","","",""
"S1 """"","S1_bcecd883","","","False","","",""
"S1 """"","S1_f6814d57","","","False","","",""
"S """"","S_eb090ceb","","","False","","",""
"""""","narrator_0e50f4a6","","","False","","",""
"S1 """"","S1_d315a4fd","","","False","","",""
"S1 """"","S1_3ef42d52","","","False","","",""
"S """"","S_044560d7","","","False","","",""
"S1 """"","S1_877d76bd","","","False","","",""
"""""","narrator_25e7df10","","","False","","",""
"S """"","S_110ae60d","","","False","","",""
"S1 """"","S1_803b85a3","","","False","","",""
"S1 """"","S1_948c90f0","","","False","","",""
"S """"","S_34d9a94d","","","False","","",""
"""""","narrator_b10c289d","","","False","","",""
"S """"","S_0c86421b","","","False","","",""
"S1 """"","S1_cde38ba8","","","False","","",""
"S """"","S_ddb0d84f","","","False","","",""
"S1 """"","S1_3cdb5101","","","False","","",""
"S """"","S_be5593a7","","","False","","",""
"S1 """"","S1_81009d95","","","False","","",""
"S1 """"","S1_ad2970d6","","","False","","",""
"S """"","S_e259b5ad","","","False","","",""
"S1 """"","S1_67709c00","","","False","","",""
"S """"","S_f8adb273","","","False","","",""
"S1 """"","S1_334c43ce","","","False","","",""
"S1 """"","S1_2749d823","","","False","","",""
"S """"","S_4d82a53f","","","False","","",""
"centered """"","centered_a3b61c02","","","False","","",""
"""""","narrator_4ee33ce0","","","False","","",""
"L """"","L_1bc578e1","","","False","","",""
"L """"","L_246457c3","","","False","","",""
"S """"","S_0b74a4c8","","","False","","",""
"L """"","L_649cd795","","","False","","",""
"S """"","S_54237721","","","False","","",""
"L """"","L_94b5cf5f","","","False","","",""
"""""","narrator_45cc9a1d","","","False","","",""
"S """"","S_e114b9d8","","","False","","",""
"L """"","L_91399b31","","","False","","",""
