location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"S """"",S_1d487d48,,,,,,
"S """"",S_728697d8,,,,,,
"S """"",S_2abf9a3f,,,,,,
"S """"",S_531a35e7,,,,,,
"""""",narrator_9b1aa754,,,,,,
"S """"",S_4dd5d9af,,,,,,
"""""",narrator_753407df,,,,,,
"S """"",S_45492c35,,,,,,
"S """"",S_aac02502,,,,,,
"""""",narrator_931111b9,,,,,,
"S """"",S_34c12609,,,,,,
"""""",narrator_0d91000f,,,,,,
"S """"",S_ecfff1f2,,,,,,
"S """"",S_5615ed5d,,,,,,
"S """"",S_6360f5e6,,,,,,
"S """"",S_43ef098c,,,,,,
"S """"",S_ebea5237,,,,,,
"""""",narrator_97692f05,,,,,,
"S """"",S_3e86aa54,,,,,,
"S """"",S_5b0a8c9a,,,,,,
"S """"",S_de993297,,,,,,
"S """"",S_50cb4029,,,,,,
"S """"",S_d92a9a05,,,,,,
"S """"",S_bd895027,,,,,,
"S """"",S_c1b0e146,,,,,,
"S """"",S_d323a0f4,,,,,,
"Z """"",Z_70a56d43,*汪汪？*,,,,,
"""""",narrator_828c55d9,,,,,,
"Z """"",Z_62cb26fe,*汪-汪-汪*,,,,,
"S """"",S_6bc0a06e,,,,,,
"S """"",S_189330d0,,,,,,
"S """"",S_db90cf45,,,,,,
"""""",narrator_aa24a056,,,,,,
"S """"",S_69b073b8,,,,,,
"S """"",S_61127870,,,,,,
"S """"",S_8144d5d3,,,,,,
"""""",narrator_c35d33fc,,,,,,
"""""",narrator_20599b6a,,,,,,
"S """"",S_99910f59,,,,,,
"""""",narrator_e9d7a604,,,,,,
"S """"",S_b106e93e,,,,,,
"S """"",S_b76dae45,,,,,,
"""""",narrator_db47d681,,,,,,
"S """"",S_afb7c440,,,,,,
"Z """"",Z_3922547c,,,,,,
"""""",narrator_68f71305,,,,,,
"S """"",S_e71716ef,,,,,,
"""""",narrator_ce1767ad,,,,,,
"""""",narrator_6a3388e2,,,,,,
"S """"",S_c41b6c26,,,,,,
"""""",narrator_27c33a21,,,,,,
"Z """"",Z_131957df,,,,,,
"S """"",S_47fa0278,,,,,,
"""""",narrator_af5a5c72,,,,,,
"S """"",S_c2663d36,,,,,,
"S """"",S_d65dba2d,,,,,,
