location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"""""",narrator_7ed1a731,,,,,,
"S1 """"",S1_26ddff3d,,,,,,
"S1 """"",S1_954f80d5,,,,,,
"""""",narrator_f97f768c,,,,,,
"S1 """"",S1_61ee369d,,,,,,
"S1 """"",S1_673dc1bf,,,,,,
"""""",narrator_d3ea1a3f,,,,,,
"Os """"",Os_1e7d9399,,,,,,
"S1 """"",S1_daaa33cb,,,,,,
"S1 """"",S1_ce8586a8,,,,,,
"S1 """"",S1_3053b5c1,,,,,,
"""""",narrator_b62aa021,,,,,,
"Os """"",Os_089ccc8c,,,,,,
"S1 """"",S1_d1d07c22,,,,,,
"S1 """"",S1_3462bc06,,,,,,
"""""",narrator_5561f620,,,,,,
"S1 """"",S1_01b05e5c,,,,,,
"S1 """"",S1_5c8245f0,,,,,,
"S1 """"",S1_ead0a654,,,,,,
"S1 """"",S1_75a5a72f,,,,,,
"S1 """"",S1_460471c0,,,,,,
"Os """"",Os_4d83cd3a,,,,,,
"Os """"",Os_29856d0c,,,,,,
"S1 """"",S1_40d49c0f,……,,,,,
"S1 """"",S1_0eae4b54,,,,,,
"""""",narrator_8e74624f,,,,,,
"S1 """"",S1_74ba5797,,,,,,
"S1 """"",S1_8036f146,,,,,,
"""""",narrator_53cd31b0,,,,,,
"Os """"",Os_f4d775df,,,,,,
"S1 """"",S1_0178e943,,,,,,
"""""",narrator_84e72188,,,,,,
"Os """"",Os_f19b91ce,,,,,,
"Os """"",Os_631c27ec,,,,,,
"Os """"",Os_11251b55,,,,,,
"""""",narrator_49982afa,,,,,,
"S1 """"",S1_6284c46d,,,,,,
"Os """"",Os_a9d457ad,,,,,,
"S1 """"",S1_9807eeee,,,,,,
"Os """"",Os_8b977a12,……,,,,,
"Os """"",Os_35a394ff,,,,,,
"S1 """"",S1_d9947886,,,,,,
"Os """"",Os_23bfcd3e,,,,,,
"Os """"",Os_3d174251,,,,,,
"S1 """"",S1_4c736cca,,,,,,
"S1 """"",S1_b1c91bdf,,,,,,
"S1 """"",S1_a381b202,,,,,,
"S1 """"",S1_618534fa,,,,,,
"""""",narrator_dec67f5e,,,,,,
"""""",narrator_6f5e71a3,,,,,,
"S1 """"",S1_7047c9ce,,,,,,
"S1 """"",S1_24673826,,,,,,
"Os """"",Os_cf6203af,,,,,,
"S1 """"",S1_242ee7c0,,,,,,
"""""",narrator_43fd2c8f,,,,,,
"S1 """"",S1_abdb2f36,,,,,,
