location,source,target,ID,fuzzy,context,translator_comments,developer_comments,gametemplate
,S_3072cdd1,!!!,,,,,,"S ""%%"""
,S_25090f94,"Кажется, я что-то нашла.",,,,,,"S ""%%"""
,C_e588db96,(!!!),,,,,,"C ""%%"""
,narrator_3c533730,"Сара увидела свернутый клочок бумаги, он находился в непроглядном месте.",,,,,,"""%%"""
,S_3072cdd1_1,!!!,,,,,,"S ""%%"""
,S_9cc66dcd,Ч-что это???,,,,,,"S ""%%"""
,S_fe583423,"Кажется, это какой-то кусок бумаги.",,,,,,"S ""%%"""
,S_d30194d0,Возможно это чертежи этой базы?,,,,,,"S ""%%"""
,C_46bc7be8,(И что бы они тут делали?),,,,,,"C ""%%"""
,S_7a2ddfe2,Откуда мне знать? И вообще это неважно!,,,,,,"S ""%%"""
,narrator_8c5e5c22,"Сара развернула клочок бумаги, на нем была нарисована очень красивая длинноволосая девушка в странном древнем наряде.",,,,,,"""%%"""
,S_f3a7b65f,Это не похоже на чертежи...,,,,,,"S ""%%"""
,S_a3e890a5,Кто это?,,,,,,"S ""%%"""
,C_dc1b2894,"(Ммм, а она секси.)",,,,,,"C ""%%"""
,S_9f723941,...,,,,,,"S ""%%"""
,S_1f28effd,(А тебя только это и беспокоит... извращенец.),,,,,,"S ""%%"""
,C_88bc939c,"(Она такая же как и ты, ты ее знала?)",,,,,,"C ""%%"""
,S_65af127e,"Нет, она одета в странную одежду, такое никто уже давным давно не носит.",,,,,,"S ""%%"""
,narrator_c3c276d5,"Сара тщательнее осмотрела рисунок, повернув его и так и сяк, даже водила по нему пальцами в попытках рассмотреть девушку.",,,,,,"""%%"""
,S_1f15b318,А в чем это он? Это какая-то белая субстанция...,,,,,,"S ""%%"""
,C_a23ed98c,"(Кажется, я знаю, что это.)",,,,,,"C ""%%"""
,C_e4fe99a4,(Эт...{w=1.0} {nw}),,,,,,"C ""%%"""
,S_3072cdd1_2,!!!,,,,,,"S ""%%"""
,S_ae3f5b03,Молчи! Я не хочу об этом знать...,,,,,,"S ""%%"""
,C_51e5f288,(...),,,,,,"C ""%%"""
,S_e556e008,Это отвратительно!,,,,,,"S ""%%"""
,C_336f86b9,"(Но да, ты все правильно подумала!)",,,,,,"C ""%%"""
,S_9f723941_1,...,,,,,,"S ""%%"""
,S_5d827bfc,"Я же тебе сказала, заткнись!",,,,,,"S ""%%"""
,C_51e5f288_1,(...),,,,,,"C ""%%"""
,S_3182c1a3,Не хочу к нему прикасаться!,,,,,,"S ""%%"""
,narrator_b5e07ebe,"Сара, закрыв глаза от отвращения, положила свиток обратно.",,,,,,"""%%"""
,narrator_d8645d89,"Она тратит на это очень много времени, но, к сожалению, ей так и не удалось ничего найти.",,,,,,"""%%"""
,narrator_31e0e010,"Сара, то ли от усталости, то ли от безысходности, садится на кровать.",,,,,,"""%%"""
,S_f5aca979,(Неужели тут и вправду ничего нет?),,,,,,"S ""%%"""
,S_b07c79b1,(Черт!),,,,,,"S ""%%"""
,S_f877f524,*Удар*,,,,,,"S ""%%"""
,narrator_f753cda2,От досады Сара вскочила с кровати и со всей силы ударила по стене.,,,,,,"""%%"""
,S_abd62307,!!!,,,,,,"S ""%%"""
,narrator_e16c0701,"К ее удивлению раздался очень странный звук. И он совсем не походил на тот, что был ранее.",,,,,,"""%%"""
,S_f10bfb21,Ты слышал это???,,,,,,"S ""%%"""
,C_6f4ad889,(Ты о чем?),,,,,,"C ""%%"""
,C_a5d25031,"(Я только, что проверил твое состоянии, мне кажется, это мог быть твой желудок.)",,,,,,"C ""%%"""
,S_7f62d457,Да нет же!,,,,,,"S ""%%"""
,S_4d6319b7,Вот тут слушай.,,,,,,"S ""%%"""
,S_b2bfa663,*Удар*{w=0.5}{nw},,,,,,"S ""%%"""
,S_4e82d01e, *Удар*,,,,,,"S ""%%"""
,C_a48d0160,"(Хм, и правда, что-то тут не так.)",,,,,,"C ""%%"""
,S_00a5cfb5,"Когда я в прошлый раз ударила стену в другом месте, то такого звука не было.",,,,,,"S ""%%"""
,S_49e7a482,Сейчас проверим...,,,,,,"S ""%%"""
,narrator_81b10b72,Сара идет в другую часть комнаты.,,,,,,"""%%"""
,S_b2bfa663_1,*Удар*{w=0.5}{nw},,,,,,"S ""%%"""
,S_4e82d01e_1, *Удар*,,,,,,"S ""%%"""
,S_2a815d05,"Да, я так и знала! Это точно мой шанс выбраться.",,,,,,"S ""%%"""
,S_22380cc4,Но с виду он не отличается от обычной стены.,,,,,,"S ""%%"""
,C_3e7dc8e0,(И что ты собираешься с ней делать?),,,,,,"C ""%%"""
,S_7ff81cf1,"Конечно же, сделать тут дыру, достаточную для того, чтобы выбраться с этой комнаты и сбежать!",,,,,,"S ""%%"""
,C_7616b480,"(Но тебе не кажется, что у тебя нет нужных инструментов для этого?)",,,,,,"C ""%%"""
,S_a0a3507e,"Мое тело и есть инструмент. Тренировки, которые мы проходили в академии призраков, сделали наши тела смертоносным оружием!",,,,,,"S ""%%"""
,C_b1e42e7a,(...),,,,,,"C ""%%"""
,C_edfa6f47,(Ну ладно. Я тебя не буду останавливать.),,,,,,"C ""%%"""
,S_2fcf4d52,"А? Я думала, ты сразу же сообщишь владычице об этом или еще хуже Стукову.",,,,,,"S ""%%"""
,C_b7660379,"(Мне просто любопытно, что у тебя из этого выйдет.)",,,,,,"C ""%%"""
,S_6beddd1f,"Смотри, чтобы твое любопытство не привело тебя к плачевному результату. Потому что как только я выберусь отсюда, следующим делом я буду искать способ убрать тебя из моей головы!",,,,,,"S ""%%"""
,C_f42cbad8,"(Мне тоже будет интересно узнать, получится ли у тебя.)",,,,,,"C ""%%"""
,S_cbe613ff,...,,,,,,"S ""%%"""
,C_f2be3e75,"(Кстати, если Стуков узнает об этом, то он обязательно примет меры.)",,,,,,"C ""%%"""
,S_abd62307_1,!!!,,,,,,"S ""%%"""
,S_3c089811,Вот черт...,,,,,,"S ""%%"""
,S_8a9ff4c8,У меня есть идея!,,,,,,"S ""%%"""
,C_24e0f050,(Неплохая идея.),,,,,,"C ""%%"""
,S_cbe613ff_1,...,,,,,,"S ""%%"""
,S_9d504d81,"Я никак не могу привыкнуть, что ты читаешь мои мысли...",,,,,,"S ""%%"""
,C_e805ede7,(В этом есть и свои плюсы.),,,,,,"C ""%%"""
,narrator_3933b710,"Сара некоторое время ходит из угла в угол комнаты, как будто пытается что-то вспомнить.",,,,,,"""%%"""
,S_9aa69596,"(Черт, где же он.)",,,,,,"S ""%%"""
,C_b1e42e7a_1,(...),,,,,,"C ""%%"""
,narrator_764d70c3,*Чпоньк*,,,,,,"""%%"""
,S_a55b2430,(!!!),,,,,,"S ""%%"""
