location,source,target,ID,fuzzy,context,translator_comments,developer_comments,gametemplate
,S_a96f11ed,"Ах, черт, снова плохой сон.",,,,,,"S ""%%"""
,narrator_9230c63e,"Еще не полностью пробудившаяся Сара устремляет свой затуманенный взгляд на вход в камеру. То, что она там увидела, полностью поразило ее. Он был полностью открыт.",,,,,,"""%%"""
,S_b4fdd8bd,(Ч-что? Серьезно?),,,,,,"S ""%%"""
,S_aca4216a,(Это не сон? Я не сплю?),,,,,,"S ""%%"""
,S_7bc8914d,(Тогда это мой шанс!),,,,,,"S ""%%"""
,narrator_617b6042,"Сара спрыгнула с кровати, из-за чего у нее в глазах потемнело и закружилась голова. Немного пошатываясь из стороны в сторону, она пришла в себя.",,,,,,"""%%"""
,S_f6790eec,"(Черт, не надо так быстро вскакивать с кровати...)",,,,,,"S ""%%"""
,C_3f30c31d,"(Ты что, хочешь попытаться сбежать?)",,,,,,"C ""%%"""
,S_6e054d6b,"(Ну да, это такая возможность. И не пытайся меня остановить!)",,,,,,"S ""%%"""
,C_4f1f74af,(Я и не собирался.),,,,,,"C ""%%"""
,S_6391a6a1,"(А??? Что-то мне это совсем не нравится, ты в последнее время какой-то странный.)",,,,,,"S ""%%"""
,C_4bc37c7e,(Да нет. Я все тот же.),,,,,,"C ""%%"""
,narrator_2c6bdf63,Сара на несколько секунд умолкла.,,,,,,"""%%"""
,S_d9b5b736,"(Ладно, нет времени разбираться, такой шанс может второй раз и не подвернуться!)",,,,,,"S ""%%"""
,narrator_4373e2c5,"Сара аккуратно вышла из своей камеры, после чего осмотрела коридор зергов.",,,,,,"""%%"""
,S_6ab3e605,"(Фу, как это мерзко... Это необычная база зергов, интересно, где это я нахожусь?)",,,,,,"S ""%%"""
,S_0e725139,"(Мне нужно все продумать. Даже если я выберусь с этой базы, что мне делать дальше? Мне нужно будет как-то выйти на связь... но с кем?)",,,,,,"S ""%%"""
,S_67f43639,"(Менгск предатель, а значит — Сынам Корхала я доверять не могу. Если они узнают, что я жива, то сделают все, чтобы я не вернулась.)",,,,,,"S ""%%"""
,S_e1bd7c92,"(Но, возможно, я смогу как-то связаться с Рейнором. Это мой единственный шанс!)",,,,,,"S ""%%"""
,S_8263f93b,...,,,,,,"S ""%%"""
,S_27566fde,"(Черт, у меня нет времени на размышления. Для начала нужно выбраться, а там уже на месте разберемся.)",,,,,,"S ""%%"""
,S_07e6be0f,"(Но я совсем не знаю, куда мне идти.)",,,,,,"S ""%%"""
,S_b3a7cb52,"Тут находится комната, где меня держат.",,,,,,"S ""%%"""
,S_75601a36,"Думаю, лучше пойти направо.",,,,,,"S ""%%"""
,S_7e11a3b3,"Думаю, лучше пойти налево.",,,,,,"S ""%%"""
,narrator_fb25fee5,Через пару минут Сара вышла на развилку.,,,,,,"""%%"""
,S_9e50610e,...,,,,,,"S ""%%"""
,S_f6859279,"(Похоже на лабиринт... что же делать? Может, есть смысл спросить у Сай'мона?)",,,,,,"S ""%%"""
,S_ebba1651,(Я уже была здесь. Куда дальше?),,,,,,"S ""%%"""
,S_0d2fc5a4,"(Сай'мон, может, ты подскажешь, куда мне нужно?)",,,,,,"S ""%%"""
,C_db0c0bcc,(Ты это меня спрашиваешь?),,,,,,"C ""%%"""
,S_09dc5bbc,"(Именно. Ты же знаешь, как отсюда выбраться. А значит — можешь мне подсказать.)",,,,,,"S ""%%"""
,C_050f2d01,"(Это твой побег, думай сама.)",,,,,,"C ""%%"""
,S_673ce2ba,(...),,,,,,"S ""%%"""
,S_80469f7d,"(Так и знала, что это глупая затея...)",,,,,,"S ""%%"""
,S_2b1cb6c9,"Думаю, лучше пойти направо.",,,,,,"S ""%%"""
,S_e46595b6,"Думаю, лучше пойти налево.",,,,,,"S ""%%"""
,S_79d3f39c,"Мне кажется, я что-то пропустила. Нужно вернуться.",,,,,,"S ""%%"""
,S_b571b85d,"Я уже довольно далеко, но по-прежнему нет ничего полезного.",,,,,,"S ""%%"""
,S_f8985d02,"Думаю, лучше пойти направо.",,,,,,"S ""%%"""
,S_622e977b,"Думаю, лучше пойти налево.",,,,,,"S ""%%"""
,S_d3e75033,"Пузыри и шипы: ничего интересного. Нет никакого смысла их рассматривать. Я ведь права, Сай'мон?",,,,,,"S ""%%"""
,C_404c538d,"(Сразу видно, ты не ценитель прекрасного. По-моему, здесь красиво, как и в любой другой комнате.)",,,,,,"C ""%%"""
,S_4eb82e5f,Красиво?! Уж точно не для меня...,,,,,,"S ""%%"""
,S_74f215e4,"Мне кажется, я что-то пропустила. Нужно вернуться.",,,,,,"S ""%%"""
,S_513e9123,Снова развилка. Да сколько же их тут?,,,,,,"S ""%%"""
,S_f99933d1,"Сай'мон, куда мне идти?",,,,,,"S ""%%"""
,C_52e3022d,(Это сложный вопрос. А куда ты хочешь попасть?),,,,,,"C ""%%"""
,S_f94f9b54,Я хочу выбраться отсюда!,,,,,,"S ""%%"""
,C_1ceb8065,(Тогда тебе нужно найти выход.),,,,,,"C ""%%"""
,S_d899e996,Ты специально?! Этот разговор бесполезен...,,,,,,"S ""%%"""
,S_898299f4,"Думаю, лучше пойти направо.",,,,,,"S ""%%"""
,S_bdb1e8fa,"Думаю, лучше пойти налево.",,,,,,"S ""%%"""
,S_e61b7264,"Мне кажется, я что-то пропустила. Нужно вернуться.",,,,,,"S ""%%"""
,S_24ea49f9,"Я уже довольно далеко зашла. Интересно, скоро ли я достигну цели?",,,,,,"S ""%%"""
,S_157e45ed,"Думаю, лучше пойти направо.",,,,,,"S ""%%"""
,S_f8abe2cf,"Думаю, лучше пойти налево.",,,,,,"S ""%%"""
,S_aa1654d6,"Мне кажется, я что-то пропустила. Нужно вернуться.",,,,,,"S ""%%"""
,narrator_5134b2f8,"Сара вышла к очередной развиле, но эта отличалась от других. С правой стороны была лестница, ведущая наверх.",,,,,,"""%%"""
,S_b6bd45a5,"Думаю, я на правильном пути. Эта лестница может привести меня к выходу!",,,,,,"S ""%%"""
,S_a34a3ca8,"Опять эта развилка с лестницей. Возможно, там выход?",,,,,,"S ""%%"""
,S_b87a94e3,"Сейчас я узнаю, куда она ведет.",,,,,,"S ""%%"""
,S_b6bd45a5_1,"Думаю, я на правильном пути. Эта лестница может привести меня к выходу!",,,,,,"S ""%%"""
,S_238fa3b9,"Думаю, лучше пойти налево.",,,,,,"S ""%%"""
,S_9ca82089,"Мне кажется, я что-то пропустила. Нужно вернуться.",,,,,,"S ""%%"""
,S_9b9f2506,"Да, глупо было надеяться, что я выйду прямиком к выходу...",,,,,,"S ""%%"""
,S_1ea383d9,Развилка. Куда же мне пойти?,,,,,,"S ""%%"""
,S_a8afcfff,"Думаю, лучше пойти направо.",,,,,,"S ""%%"""
,S_e620a17e,"Думаю, лучше пойти налево.",,,,,,"S ""%%"""
,S_5a7d68bf,"Мне кажется, я что-то пропустила. Нужно вернуться.",,,,,,"S ""%%"""
