location,source,target,ID,fuzzy,context,translator_comments,developer_comments,gametemplate
,narrator_c68dcafd,В комнату заходит Стуков.,,,,,,"""%%"""
,A_d64ee27a,"О, прекрасно выглядишь! Это говорит о том, что все-таки ты поела, да?",,,,,,"A ""%%"""
,S_78a4d054,...,,,,,,"S ""%%"""
,S_d8d532ce,Да...,,,,,,"S ""%%"""
,A_f3e4f40a,"Отлично! Другой еды здесь нет и не будет, так что продолжай есть эту питательную субстанцию. И тогда ты будешь полна сил, а они тебе тут понадобятся!",,,,,,"A ""%%"""
,A_9f7523ef,Хе-хе-хе.,,,,,,"A ""%%"""
,S_78a4d054_1,...,,,,,,"S ""%%"""
,S_32d58977,Я хочу с этим покончить как можно скорее. Я готова продолжить!,,,,,,"S ""%%"""
,A_b159e327,"Вау! Тебя прям не узнать, еда явно пошла тебе на пользу.",,,,,,"A ""%%"""
,narrator_78ab9eae,Стуков отходит в угол комнаты.,,,,,,"""%%"""
,Aside10_a2ca05a7,Начинай.,,,,,,"Aside10 ""%%"""
,S_061f5442,А?!,,,,,,"S ""%%"""
,S_09cffa61,Ты больше не станешь меня приковывать??,,,,,,"S ""%%"""
,Aside10_fdc8701a,"Нет, думаю, сейчас ты сама все сделаешь, ведь так?",,,,,,"Aside10 ""%%"""
,S_7c33d014,Я... я...,,,,,,"S ""%%"""
,S_766f29c2,"Да, я смогу!",,,,,,"S ""%%"""
,C_89235d99,(Вот это я называю 'боевой настрой'! Ахаха.),,,,,,"C ""%%"""
,Aside2_a8e41f10,Не надо так смущаться. Ты справишься.,,,,,,"Aside2 ""%%"""
,S_8f237882,Х... хорошо.,,,,,,"S ""%%"""
,narrator_e39409b7,Сара уверенно снимает верхнюю часть брони.,,,,,,"""%%"""
,narrator_20dcf49a,"Ее грудь видна, но на ней все еще есть лифчик. Сара по-прежнему немного смущается, поэтому прикрывает грудь. На ее лице загорается отчетливый румянец.",,,,,,"""%%"""
,S_78a4d054_2,...,,,,,,"S ""%%"""
,Aside11_6887af72,Охо! А я бы с радостью потискал такую прекрасную грудь!,,,,,,"Aside11 ""%%"""
,S_78a4d054_3,...,,,,,,"S ""%%"""
,S_ab3dc132,"Нет, прекрати. Ты смущаешь меня еще больше!",,,,,,"S ""%%"""
,Aside4_f584680d,Ахах!,,,,,,"Aside4 ""%%"""
,Aside11_ff75304c,"Может, сама помассируешь свою грудь? Твои соски уже набухли?",,,,,,"Aside11 ""%%"""
,S_44c55eaf,!!!,,,,,,"S ""%%"""
,S_65a21cbf,Нет! Давай просто продолжим...,,,,,,"S ""%%"""
,Aside10_a78ad56f,Ладно. Тогда убери руку.,,,,,,"Aside10 ""%%"""
,S_ae5b7317,Ах... я...,,,,,,"S ""%%"""
,S_c87fa946,Я... я не могу...,,,,,,"S ""%%"""
,S_7ad5e608,Я не стану этого делать!,,,,,,"S ""%%"""
,Aside8_79ac6726,Вот как...,,,,,,"Aside8 ""%%"""
,Aside9_3a728684,Хорошо.,,,,,,"Aside9 ""%%"""
,Aside8_ef40ce45,"Как я уже говорил, я не буду настаивать на этом.",,,,,,"Aside8 ""%%"""
,Aside8_fa033b14,"Но не забывай, чем дольше ты упираешься, тем дольше будешь оставаться тут!",,,,,,"Aside8 ""%%"""
,Aside1_714941ff,"Теперь, когда ты будешь готова, то просто нажми на кнопку и я приду.",,,,,,"Aside1 ""%%"""
,Aside1_61a9bcc9,"А теперь одевайся, на сегодня все.",,,,,,"Aside1 ""%%"""
,S_78a4d054_4,...,,,,,,"S ""%%"""
,narrator_26a794f2,Стуков выходит из комнаты. Дверь закрывается.,,,,,,"""%%"""
,narrator_f2d29b75,Довольный Стуков проходит вглубь комнаты и встает в углу.,,,,,,"""%%"""
,Aside10_245b200e,"Я готов, можешь начинать.",,,,,,"Aside10 ""%%"""
,S_ab8b5d89,(Это так странно...),,,,,,"S ""%%"""
,S_a6f4cc10,(Неужели я и вправду сделаю это?),,,,,,"S ""%%"""
,S_34c0b6ec,(Я должна это сделать!),,,,,,"S ""%%"""
,S_07874bdc,Х-хорошо...,,,,,,"S ""%%"""
,narrator_59bddfff,"Сара снимает с себя верхнюю часть брони, оставаясь в лифчике. Но она все еще сильно стесняется, поэтому прикрывается рукой.",,,,,,"""%%"""
,Aside11_f4db1a79,"Хорошая работа. А теперь давай, убери руку.",,,,,,"Aside11 ""%%"""
,Aside10_c736447c,"Охохо! Твоя грудь так возбуждающе выпирает в этом лифчике, мне это нравится!",,,,,,"Aside10 ""%%"""
,S_2f807bb1,!!!,,,,,,"S ""%%"""
,S_642259b0,Э-это все так... неловко... мне так стыдно...,,,,,,"S ""%%"""
,narrator_089e7e6a,Стуков смотрит прямиком Саре на грудь.,,,,,,"""%%"""
,S_a1f10394,Ты-ты... можешь так на них не пялиться...,,,,,,"S ""%%"""
,Aside11_523aa03c,"Девочка, как можно на них не пялиться?!",,,,,,"Aside11 ""%%"""
,Aside11_cfc3e793,На самом деле я бы хотел сделать с ними куда большее. Ха-ха-ха!,,,,,,"Aside11 ""%%"""
,S_2f807bb1_1,!!!,,,,,,"S ""%%"""
,Aside10_e937a879,Но всему свое время.,,,,,,"Aside10 ""%%"""
,Aside1_e33297b5,"Я думаю, на сегодня это все. Можешь одеваться.",,,,,,"Aside1 ""%%"""
,S_2f807bb1_2,!!!,,,,,,"S ""%%"""
,S_91463bfd,Это все?,,,,,,"S ""%%"""
,Aside3_5f80ce26,"Ахаха, да, девочка, все.",,,,,,"Aside3 ""%%"""
,narrator_6e6bdadd,Сара надевает верхнюю броню.,,,,,,"""%%"""
,Aside10_7a0706d2,"Отличная работа, встретимся завтра.",,,,,,"Aside10 ""%%"""
,narrator_7235139a,Стуков уходит.,,,,,,"""%%"""
,S_f90124ab,"(А это оказалось легче, чем я думала!)",,,,,,"S ""%%"""
,C_5e4cb6c5,"(Видишь, а ты боялась!)",,,,,,"C ""%%"""
,S_ea5eba63,(Но все равно это все странно!),,,,,,"S ""%%"""
,C_7ffa19d2,(Ты привыкнешь.),,,,,,"C ""%%"""
,S_a09f602f,...,,,,,,"S ""%%"""
,S_1ad85a21,Ах... я...,,,,,,"S ""%%"""
