location,source,target,ID,fuzzy,context,translator_comments,developer_comments,gametemplate
,C_d9037846,(Решила приступить к тренировке? Очень хорошо.),,,,,,"C ""%%"""
,S_06205f29,"Нет, просто взбрело в голову снять одежду! Конечно решила!",,,,,,"S ""%%"""
,C_e83a7023,"(Остришь? Значит, с тобой все в порядке. Я доволен.)",,,,,,"C ""%%"""
,S_c75e2324,"(На самом деле эта тренировка не такая уж ужасная. Кроме того, иногда телу нужно дышать. Или, ты думал, меня это остановит???)",,,,,,"S ""%%"""
,C_d4a19a2c,"(Наоборот, я знал, что тебя не смутит такая мелочь.)",,,,,,"C ""%%"""
,S_62b2ee38,Вот-вот!,,,,,,"S ""%%"""
,C_e2eb235d,"(Мне даже становится любопытно, на что ты еще готова ради силы.)",,,,,,"C ""%%"""
,S_41bb882a,"Надеюсь, это было сказано без каких либо пошлостей в контексте, я ведь права?",,,,,,"S ""%%"""
,C_14c6af64,"(Конечно, без них.)",,,,,,"C ""%%"""
,S_c3c2955d,Я тебе все равно не верю...,,,,,,"S ""%%"""
,C_0b039f8c,(И правильно делаешь.),,,,,,"C ""%%"""
,S_9a4828c7,"(Хоть я и нахожусь здесь уже продолжительное время, но все равно это так странно... и меня это немного заводит... мысль, что я буду все это время ходить без одежды...)",,,,,,"S ""%%"""
,C_c73a575b,"(Это хорошо. Такая новизна поможет нам преодолеть твои моральные барьеры, которые нам весьма мешают.)",,,,,,"C ""%%"""
,S_ae6a3933,На самом деле я бы хотела оставить свои барьеры... но раз другого способа получить силу нет...,,,,,,"S ""%%"""
,narrator_245ad45d,"Уткнувшись в свой планшет, в комнату вошел Стуков.",,,,,,"""%%"""
,Aside9_5c98b122,"Так-так-так, у меня сегодня прекрасное настроение и я только что закончил все свои дела, так что мы можем...",,,,,,"Aside9 ""%%"""
,narrator_fac0682f,"Стуков наконец разглядел Сару, стоящую без одежды посреди комнаты. Его глаза радостно прищурились.",,,,,,"""%%"""
,A_5ab188ce,"... провести этот день с пользой, хе-хе-хе.",,,,,,"A ""%%"""
,S_40a1beff,"(Черт, он как всегда не вовремя!)",,,,,,"S ""%%"""
,A_dc4d3067,"Я тут смотрю, ты время зря не теряешь. Это, конечно, похвально. Но что это ты тут задумала? Не помню, чтобы давал тебе такие указания.",,,,,,"A ""%%"""
,S_bb0c7833,"Это... ну, это это моя новая тренировка...",,,,,,"S ""%%"""
,S_6f4968b0,Так что я тренируюсь!,,,,,,"S ""%%"""
,A_63daa6a5,"Это какая-то специальная тренировка призрака? Ха-ха-ха, мне нравится она!",,,,,,"A ""%%"""
,S_fb44a4d7,"Нет, конечно, это была идея Сай'мона.",,,,,,"S ""%%"""
,C_e2f6a987,"(Я тут вообще ни при чем. Видимо, наша Сарочка решила соблазнить тебя своим телом.)",,,,,,"C ""%%"""
,A_819d3ca1,"Хе-хе-хе, у нее это получилось!",,,,,,"A ""%%"""
,S_bbf1bed0,"(Идиот, хватит говорить глупости, он ведь поведется...).",,,,,,"S ""%%"""
,C_94ff50d4,"(Ладно-ладно, я дал ей задание.)",,,,,,"C ""%%"""
,C_f2ea7f14,"(А она почему-то взяла и скинула с себя все свои вещи, и сказала, что не будет их надевать в течение трех дней.)",,,,,,"C ""%%"""
,S_f5e724c2,И снова врешь!,,,,,,"S ""%%"""
,A_c18f8146,"Сай'мон молодец, знает толк в тренировках, хе-хе-хе.",,,,,,"A ""%%"""
,A_09e3b192,Тебе удалось меня удивить.,,,,,,"A ""%%"""
,S_d5760b6a,!!!,,,,,,"S ""%%"""
,S_75e8e13d,"(Блин... Его член, кажется, принимает решения быстрее своего хозяина! Кажется, что член Стукова смотрит на меня, а сам он лишь болтается на другом конце...)",,,,,,"S ""%%"""
,narrator_2d9ca1e3,Эти мысли развеселили Сару и она улыбнулась.,,,,,,"""%%"""
,A_b8554494,"Вижу, и тебе нравятся тренировки, которые Сай'мон подготовил для тебя.",,,,,,"A ""%%"""
,S_648d3bc8,"Я бы не сказала, что нравятся. Но в них нет ничего такого уж мерзкого. Кто знает, что там бы Абатур приготовил для меня.",,,,,,"S ""%%"""
,A_ac8743db,И что же именно тебе нужно тренировать?,,,,,,"A ""%%"""
,S_355d9441,"Хороший вопрос... все, что мне сказал Сай'мон, так это сливаться с местной фауной...",,,,,,"S ""%%"""
,A_4684fc08,"Ммм, это действительно правильный подход и точно тебе поможет.",,,,,,"A ""%%"""
,A_220f38b8,"Тебе нужно раскрепостится, ты слишком зажата, расслабся.",,,,,,"A ""%%"""
,S_4f4fe391,"Если бы ты не ел меня своими глазами и твой 'дружок' не указывал бы прямо на 12-00, то мне бы было легче.",,,,,,"S ""%%"""
,A_df5d4053,"Хе-хе-хе, мой дружок, наоборот, должен заряжать тебя и мотивировать. Ведь нет для девушки лучшего комплимента, чем крепкий стояк. Я же правду говорю?",,,,,,"A ""%%"""
,S_a4311dba,"Но не твой стояк. Мне кажется, у тебя и на корову встанет, ты же извращенец! Увидел сиську и уже возбудился.",,,,,,"S ""%%"""
,A_15d6d27c,"Ха-ха-ха, это было сильно. Но ты немного ошибаешься. Твое тельце вызывает особо крепкий стояк. Можем прямо сейчас взять десятилитровое ведро и проверить.",,,,,,"A ""%%"""
,S_4347a523,Стояк ведром с водой???... Ч-что???,,,,,,"S ""%%"""
,A_0fc57fa0,"Ха-ха-ха, у нас на Земле это было в порядке вещей. Таким способом можно было проверить с точностью силу твоего стояка.",,,,,,"A ""%%"""
,S_82df977a,Да каким идиотам в голову придет мысль проверять силу стояка ведром с водой??? Да и вообще зачем это???,,,,,,"S ""%%"""
,A_be37447d,Ну вообще-то... я всегда побеждал... и это было одним из моих достоинств...,,,,,,"A ""%%"""
,S_30bb84a5,(Он точно больной...),,,,,,"S ""%%"""
,A_27b8c25b,"Хе-хе-хе, и знаешь, сколько литров тогда я мог поднять???",,,,,,"A ""%%"""
,S_a88d5ce9,Я не хочу этого знать!!!,,,,,,"S ""%%"""
,A_b67e9779,"Четырнадцать литров воды! Но сейчас я уверен, что и три ведра по десять литров смог бы поднять!",,,,,,"A ""%%"""
,A_ab271953,Где мои ведра?!,,,,,,"A ""%%"""
,S_68edfa6a,"Какие ведра? Ты с ума сошел? Н-не нужно ничего мерять! Я тебе на слово верю, тридцать так тридцать!",,,,,,"S ""%%"""
,A_52be9907,...,,,,,,"A ""%%"""
,A_626d985a,Т-сс... а так хотелось тряхнуть стариной... ну ладно... о чем мы говорили...,,,,,,"A ""%%"""
,A_52be9907_1,...,,,,,,"A ""%%"""
,A_e4cf38cd,"Ах, да...",,,,,,"A ""%%"""
,A_78511cfb,"Давай выпрями спину, плечи назад, выпяти свои огромные дойки, расправь булки.",,,,,,"A ""%%"""
,A_c87d971a,"Я знаю, что должно тебе помочь! Это действительно отличная идея.",,,,,,"A ""%%"""
,narrator_796fb00e,"В следующий момент Стуков гордо начал скидывать одну вещь за другой, разбрасывая их по всей комнате.",,,,,,"""%%"""
,S_d5760b6a_1,!!!,,,,,,"S ""%%"""
,S_c1512d4a,"Ты чего там напридумывал! Эй... надень обратно свои вещи...! Стой, не разбрасывай их...!",,,,,,"S ""%%"""
,A_85664d53,"О-о-ох... Так намно-о-ого лучше. Черт, как же я ненавижу тряпки! Я говорил тебе об этом?",,,,,,"A ""%%"""
,S_188c8aba,Говорил... и не один раз...,,,,,,"S ""%%"""
,A_9758a0c6,Ну вот... я ненавижу одежду...,,,,,,"A ""%%"""
,A_128e9089,"Ну что, теперь чувствуешь себя уверенней? Тебе должно стать лучше. Теперь ты не одна.",,,,,,"A ""%%"""
,S_2bf74ed2,Нет! Стало только хуже!,,,,,,"S ""%%"""
,S_4f846723,"(О... он так близко! Его член так близко, он так возбужден и, наверное, такой твердый... Если он подойдет ближе, я почувствую его аромат...)",,,,,,"S ""%%"""
,S_b5197431,(Черт! Мне почти хочется этого! Что со мной?!),,,,,,"S ""%%"""
,A_d1a0ed0c,"Ничего, нужно время, наши тела привыкнут друг к другу.",,,,,,"A ""%%"""
,A_8f73c053,"Итак, куда ты хочешь отправиться?",,,,,,"A ""%%"""
,S_3cc950ec,А??? Отправиться? Ч-что ты задумал???,,,,,,"S ""%%"""
,A_69e99cfe,"Хе-хе-хе, тебе не о чем беспокоиться, это обычная прогулка. Да и я всегда буду рядом и поддержу тебя.",,,,,,"A ""%%"""
,S_18352566,"Поддержка заключается в том, чтобы все время пялиться на меня и вилять своим членом? Это сделает только хуже!",,,,,,"S ""%%"""
,S_78c3bbdd,"Я не хочу никуда идти! Тем более, когда рядом ты... Без одежды!",,,,,,"S ""%%"""
,A_06e55976,"Не придавай этому особого значения. Представь, будто мы в одежде.",,,,,,"A ""%%"""
,S_10d34220,...,,,,,,"S ""%%"""
,S_5454947e,Ты снова это делаешь!!!,,,,,,"S ""%%"""
,A_00bef693,"Отлично, я рад, что ты согласилась. Пойдем.",,,,,,"A ""%%"""
,A_98eab60d,*Вдохнул полные легкие воздуха*,,,,,,"A ""%%"""
,A_a7a025b8,*Выдохнул*,,,,,,"A ""%%"""
,A_a52909a7,"Прекрасно, не правда ли? Свежий воздух, свобода и никаких ограничений... делай все, что тебе вздумается!",,,,,,"A ""%%"""
,S_a69bbcb6,Да нет тут никого свежего воздуха...,,,,,,"S ""%%"""
,A_c0900c2f,"Ты уже выбрала, куда мы направимся?",,,,,,"A ""%%"""
,S_b363b8b9,"Выбрала? Это вообще-то была твоя идея... Теперь ты хочешь, чтобы я выбирала, куда мы будем идти?",,,,,,"S ""%%"""
,A_bf8cac5b,Именно так.,,,,,,"A ""%%"""
,A_71edcf80,"Ты же так хотела выбраться и раз за разом лезла в стену. Теперь же у тебя появилась отличная возможность узнать что-то новое о корабле. Кто знает, возможно, ты даже выход найдешь?",,,,,,"A ""%%"""
,S_5bf855f9,"... ты серьезно? Мы же в космосе... даже если найду выход, что дальше? Мне так не выбраться отсюда.",,,,,,"S ""%%"""
,A_8479bf65,Это не меня нужно спрашивать. Ты все продолжала лезть в стену. Ха-ха-ха.,,,,,,"A ""%%"""
,S_10d34220_1,...,,,,,,"S ""%%"""
,S_abc5bb84,"Ладно, твоя взяла. Думаю ничего плохого не произойдет от этих прогулок.",,,,,,"S ""%%"""
,narrator_b7336142,*Фап-фап-фап*,,,,,,"""%%"""
,narrator_86bfa3c9,"Едва Сара открыла глаза, как увидела обнаженного Стукова. Полузерг-извращуга смотрел на нее с мерзкой улыбкой и слегка надрачивал свой крепкий член.",,,,,,"""%%"""
,A_20b42d77,Хе-хе... Доброе утро.,,,,,,"A ""%%"""
