location,source,target,ID,fuzzy,context,translator_comments,developer_comments,gametemplate
,H_370589f8,Ого-го! Кого я вижу. Неужели ты решилась на изменения в своем теле?,,,,,,"H ""%%"""
,S_dbc809da,"Как видишь. Меня таким не испугать. Даже не знаю... ты надеялся на то, что я струшу, или мечтал о том, что я решусь на мутацию?",,,,,,"S ""%%"""
,H_979f3fb3,Мои мысли останутся при мне.,,,,,,"H ""%%"""
,H_b17ad5ae,"Да и как я мог отказаться от такой возможности и позволить тебе струсить? Никто больше на всем этом корабле не выполнил бы мою маленькую просьбу так, как это сделала ты.",,,,,,"H ""%%"""
,H_d69c3ccf,"Ну же, давай, покажи мне их!",,,,,,"H ""%%"""
,narrator_5afd32ee,"Девушка на секундочку засомневалась но после все же поборола слабость и отстегнула верх брони. Бронелифчик моментально упал на землю, издавая звонкий звук, освобождая грудь.",,,,,,"""%%"""
,Hside1_6ce82feb,СИСЬКИ!!! ХЕ-ХЕ-ХЕ-ХЕ!,,,,,,"Hside1 ""%%"""
,S_49b29eb0,...,,,,,,"S ""%%"""
,Hside1_d49a52e7,Огромные БУФЕРА! ДА ТАКИМИ МОЖНО УБИТЬ КОГО-НИБУДЬ СЛУЧАЙНО!,,,,,,"Hside1 ""%%"""
,S_da94f4b0,"З-заткнись, они такие не по моей воле...",,,,,,"S ""%%"""
,S_fefb1751,"Знаешь, сколько она дискомфорта мне доставляет? Я еще не могу вернуть ее в обычную форму...",,,,,,"S ""%%"""
,Hside1_1ca2a465,"Хе-хе-хе, я только знаю, сколько она мне радости будет сейчас доставлять. Хе-хи-хе!",,,,,,"Hside1 ""%%"""
,S_79688d1b,(Он только и думает о своем...),,,,,,"S ""%%"""
,narrator_4333c8ee,"Гидралиск рассматривал грудь Сары с разных сторон и расстояния, не прекращая пошло облизываться.",,,,,,"""%%"""
,Hside1_cbf57f3b,"Мммм, вижу-вижу. Абатур проделал прекрасную работу. Все как я и планировал.",,,,,,"Hside1 ""%%"""
,S_8ec3f94d,"Кто бы сомневался, что ты не сможешь сдержаться и сам приложишь к этому руку. Слишком пошлая мутация получилась по итогу.",,,,,,"S ""%%"""
,Hside1_e8b24ca1,"Ну же, подойди ближе, я хочу как следует их рассмотреть.",,,,,,"Hside1 ""%%"""
,Hside1_7e5d5cda,"Оооо да! ОГРОМНЫЕ СИСЬКИ! Я ПРЯМО СЕЙЧАС ЧУВСТВУЮ, КАК МОЯ ЭССЕНЦИЯ БУРЛИТ ВО МНЕ!",,,,,,"Hside1 ""%%"""
,S_6fc4313b,Ага... эссенция...,,,,,,"S ""%%"""
,Hside1_72b585a2,"Черт, а ну потряси ими перед моим лицом.",,,,,,"Hside1 ""%%"""
,S_e6fcaa4b,Еще чего! Мы здесь не для этого собрались!,,,,,,"S ""%%"""
,Hside1_618da9bb,"Тс... ладно, согласен.",,,,,,"Hside1 ""%%"""
,Hside1_207cfbe4,"(Хе-хе-хе, придет время и она согласится, ее сиськи будут биться об мое лицо!... всему свое время, так даже лучше, да-а-а-а-а!)",,,,,,"Hside1 ""%%"""
,Hside1_766f8c86,ЕХЕХЕХЕХЕХХЕЕХ!!!,,,,,,"Hside1 ""%%"""
,S_ba90aa9e,С тобой все в порядке? У тебя только что было такое похотливое лицо...,,,,,,"S ""%%"""
,Hside1_8318f0c8,"Кхм, я просто был очень рад. Мне посчастливилось урвать такой экземпляр. Надеюсь, мы хорошо проведем время.",,,,,,"Hside1 ""%%"""
,S_099309c4,Конечно-конечно. Я уж точно хорошо проведу время. Когда ты подчинишься мне!,,,,,,"S ""%%"""
,S_02cb705f,Можешь в этом не сомневаться.,,,,,,"S ""%%"""
,Hside1_fd29604d,"Вот это настрой! А тебе палец в рот не клади... Может, мне не стоит доверять тебе свой член? Еще откусишь и я останусь без своего достоинства.",,,,,,"Hside1 ""%%"""
,S_6c379d7e,"Достоинство ли это, мы еще посмотрим... Но у тебя и правда есть то, что можно назвать не то что достоинством... Это настоящее сокровище!",,,,,,"S ""%%"""
,Hside1_b30eef95,"Никогда не видел, чтобы у кого-то так блестели глаза, когда он говорит об эссенции.",,,,,,"Hside1 ""%%"""
,S_50261f4e,Я не могу говорить о ней по-другому...,,,,,,"S ""%%"""
,S_dcddcf42,"Кхм, мы слишком много болтаем! Давай приступать ближе к делу.",,,,,,"S ""%%"""
,intro_f668e793,,,,,,,"intro ""%%"""
,narrator_a93f6cd2,Сара чувствовала на себе изучающий взгляд гидралиска. Он поглощал ее глазами.,,,,,,"""%%"""
,S_cd86eba4,Все никак не можешь налюбоваться? У меня вся кожа на груди начинает гореть от твоего пристального взгляда!,,,,,,"S ""%%"""
,H_aba85136,Как я могу на них не смотреть? ЭТО ЖЕ СИСЬКИ! Я все это время только о них и думал...,,,,,,"H ""%%"""
,S_83e0c544,"Хватит так пялиться! Ты раньше был более приятным оппонентом, чем сейчас.",,,,,,"S ""%%"""
,S_763ee36b,"Тем более сейчас моя главная цель - эссенция, а не ты!",,,,,,"S ""%%"""
,H_954ef8f5,"Все верно, хе-хе-хе, но это не мешает мне наслаждаться проделанной работой! Кто еще мог бы пойти на такое: заставить будущего лидера увеличить себе сиськи? Они стали такими развратными и такими горячими, прямо как я люблю.",,,,,,"H ""%%"""
,H_2f1acc0e,"В такие моменты я завидую вам, терранам. У вас есть руки, которыми вы можете их мацать. Гр...",,,,,,"H ""%%"""
,H_4d80afd0,"Как ты уже могла понять, мое тело не предназначено для такого рода утех. Тогда...",,,,,,"H ""%%"""
,S_e8a7d551,"Стой, ты не собираешься мне сейчас рассказать какую-то о-о-о-о-очень длинную и нудную историю о твоей любви к сиськам?",,,,,,"S ""%%"""
,H_2c9bb936,Гмн... конечно же нет.,,,,,,"H ""%%"""
,H_7aec468b,"В общем, у меня было очень много времени и я нашел нечто, что может помочь тебе в этом!",,,,,,"H ""%%"""
,S_2b2ef3c9,"Ну же, не тяни уже, а?",,,,,,"S ""%%"""
,H_8129538d,"Ха-ха-ха, а тебе все расскажи да покажи. Но ладно... ",,,,,,"H ""%%"""
,narrator_72a57c31,"Гидралиск еще более вальяжно развалился перед Сарой, выглядя максимально довольным.",,,,,,"""%%"""
,H_b2bebab4,Мою эссенцию обычными способами не получить.,,,,,,"H ""%%"""
,S_2377c9ce,А?,,,,,,"S ""%%"""
,H_40549351,"Конечно, я не хотел тебе сразу об этом рассказывать. Но ты сделала многое, чтобы доказать свою заинтересованность. Так что я пойду тебе навстречу.",,,,,,"H ""%%"""
,H_aeb7f2a0,"Мало просто подрочить мне классными сиськами. Мою эссенцию сдерживает защитный механизм, который не позволяет ей выйти при обычной дрочке.",,,,,,"H ""%%"""
,S_95b91384,"Ах ты проказник, ты действительно планировал скрыть это от меня...",,,,,,"S ""%%"""
,H_cf6e0c5a,"Хе-хе-хе, на самом деле это было бы прекрасно. Но, увидев твои СИСЬКИ, я... решил подчиниться.",,,,,,"H ""%%"""
,H_5a837a9a,Я не могу врать таким прелестным СИСЬКАМ!,,,,,,"H ""%%"""
,S_f5887cc5,Черт... снова ты за свое...,,,,,,"S ""%%"""
,S_01d9c40c,"И что мне тогда делать? Может, тебя убить легче, чем ублажить?",,,,,,"S ""%%"""
,S_f6505af8,А что... идея!,,,,,,"S ""%%"""
,H_cb458298,"Убить? Почему сразу убить? Какая ты кровожадная... Хотя, если речь идет об удушении...",,,,,,"H ""%%"""
,S_6abffe48,ЗАТКНИСЬ! Ни о каком удушении сиськами речи и не может быть...,,,,,,"S ""%%"""
,H_b1aab240,Тс...,,,,,,"H ""%%"""
,H_140ac2ec,"Ладно, на самом деле все не так сложно, как тебе могло показаться. Этот защитный механизм необходим для того, чтобы эссенция случайно не вышла. Так как я...",,,,,,"H ""%%"""
,S_f1c5c135,"Да-да-да, любишь сиськи, я поняла!",,,,,,"S ""%%"""
,H_a8096d9e,"Не просто сиськи, а ОГРОМНЫЕ СИИИИИСЬКИ!",,,,,,"H ""%%"""
,S_62a17ce3,...,,,,,,"S ""%%"""
