"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"","S_395dd0f6","S ""Test...""","","False","","",""
"","Aside12_5dc84602","","","False","","",""
"","S_358e5550","","","False","","",""
"","narrator_72c052a7","","","False","","",""
"","narrator_13bebb8f","","","False","","",""
"","S_ecb54477","","","False","","",""
"","A_0ab03797","","","False","","",""
"","A_79d5561f","","","False","","",""
"","A_0ab03797_1","","","False","","",""
"","S_9c8e7fa9","","","False","","",""
"","A_efb51838","","","False","","",""
"","S_8a93667b","","","False","","",""
"","S_90d3e4e0","","","False","","",""
"","S_341afef9","","","False","","",""
"","A_ed1485b1","","","False","","",""
"","S_3b6a4d8b","","","False","","",""
"","A_b588c3a2","","","False","","",""
"","S_5fd5d204","","","False","","",""
"","S_6a1b84f0","","","False","","",""
"","A_316840c8","","","False","","",""
"","S_3b6a4d8b_1","","","False","","",""
"","S_3060d774","","","False","","",""
"","A_00521dd8","","","False","","",""
"","S_3b6a4d8b_2","","","False","","",""
"","S_49e64e1f","","","False","","",""
"","narrator_fe6ef1b0","","","False","","",""
"","S_51e9d89f","","","False","","",""
"","A_a39a7394","","","False","","",""
"","A_ab992740","","","False","","",""
"","A_ea39978f","","","False","","",""
"","S_e1c373bd","","","False","","",""
"","S_6a961463","","","False","","",""
"","C_462f1d5d","","","False","","",""
"","S_9d7e6b2c","","","False","","",""
"","narrator_bb649ff6","","","False","","",""
"","S_5fd5d204_1","","","False","","",""
"","S_987e2eaf","","","False","","",""
"","A_93dc04ce","","","False","","",""
"","C_36dc685e","","","False","","",""
"","S_1fbec3b0","","","False","","",""
"","C_a907751c","","","False","","",""
"","A_6ce60788","","","False","","",""
"","S_96ee733d","","","False","","",""
"","A_9883d2f1","","","False","","",""
"","A_112eaeaf","","","False","","",""
"","A_4a3407a8","","","False","","",""
"","A_cddb7e05","","","False","","",""
"","A_596af930","","","False","","",""
"","A_a58a8a7c","","","False","","",""
"","A_a578d141","","","False","","",""
"","A_e477c056","","","False","","",""
"","narrator_e2454712","","","False","","",""
"","narrator_575f75e7","","","False","","",""
"","S_3b6a4d8b_3","","","False","","",""
"","S_d1655d6a","","","False","","",""
"","C_3ce06f97","","","False","","",""
"","S_5fd5d204_2","","","False","","",""
"","S_3ca14acf","","","False","","",""
"","C_462085a0","","","False","","",""
"","S_3b6a4d8b_4","","","False","","",""
"","narrator_97588a43","","","False","","",""
"","narrator_31831ac2","","","False","","",""
"","narrator_53133e41","","","False","","",""
"","S_1c1e51aa","","","False","","",""
"","S_30bf7049","","","False","","",""
"","narrator_72fee977","","","False","","",""
"","S_1c1e51aa_1","","","False","","",""
"","S_8612d63c","","","False","","",""
"","S_bab952cd","","","False","","",""
"","S_1c1e51aa_2","","","False","","",""
"","S_45fdd8f4","","","False","","",""
"","C_471ad3af","","","False","","",""
"","S_1c1e51aa_3","","","False","","",""
"","narrator_005af759","","","False","","",""
"","S_854d48c0","","","False","","",""
"","S_71cf3f4d","","","False","","",""
"","S_1790b651","","","False","","",""
"","C_a4c530fa","","","False","","",""
"","S_854d48c0_1","","","False","","",""
"","S_64705a8c","","","False","","",""
"","narrator_f85e0f8f","","","False","","",""
"","narrator_c72f3e1b","","","False","","",""
"","S_fc0bbc70","","","False","","",""
"","narrator_3c64bd39","","","False","","",""
"","S_b1dc9158","","","False","","",""
"","S_4879015e","","","False","","",""
"","C_df1b9044","","","False","","",""
"","S_85235c13","","","False","","",""
"","narrator_c3e70261","","","False","","",""
"","narrator_81a8d9d4","","","False","","",""
"","S_6792dbb4","","","False","","",""
"","S_fb66fca7","","","False","","",""
"","C_80d66212","","","False","","",""
"","S_85235c13_1","","","False","","",""
"","S_db5f8309","","","False","","",""
"","Shpd_be12b560","","","False","","",""
"","Shpd_7e6ceb80","","","False","","",""
"","Shpd_9c27547b","","","False","","",""
"","narrator_98dfb0b6","","","False","","",""
"","A_0a5d6e38","","","False","","",""
"","S_30a92c9a","","","False","","",""
"","A_e624b820","","","False","","",""
"","A_b596e4a7","","","False","","",""
"","S_5ef02730","","","False","","",""
"","S_811daa9c","","","False","","",""
"","A_4bca7e0f","","","False","","",""
"","S_eda3b53d","","","False","","",""
"","A_55ee5727","","","False","","",""
"","S_bf0e23ef","","","False","","",""
"","S_7987d40f","","","False","","",""
"","A_af08750d","","","False","","",""
"","S_4d387d21","","","False","","",""
"","A_8e7673ff","","","False","","",""
"","S_dd382079","","","False","","",""
"","A_e87c63e2","","","False","","",""
"","S_3504d3af","","","False","","",""
"","A_408ed100","","","False","","",""
"","narrator_e91f1933","","","False","","",""
"","A_f1a0cf89","","","False","","",""
"","S_a65ccb2d","","","False","","",""
"","A_992fdeeb","","","False","","",""
"","A_c12779ac","","","False","","",""
"","S_c13f171c","","","False","","",""
"","A_13518968","","","False","","",""
"","S_b35cbf3a","","","False","","",""
"","S_2ccd8eba","","","False","","",""
"","A_849edf1d","","","False","","",""
"","S_e2d1b790","","","False","","",""
"","A_517745c4","","","False","","",""
"","S_1986ac67","","","False","","",""
"","A_ad94b06e","","","False","","",""
"","A_4197136e","","","False","","",""
"","S_b34dd558","","","False","","",""
"","S_5ef02730_1","","","False","","",""
"","S_b08cfc3c","","","False","","",""
"","S_b3e72f45","","","False","","",""
"","A_b8a2e69f","","","False","","",""
"","narrator_dc382763","","","False","","",""
"","S_b35cbf3a_1","","","False","","",""
"","S_0c392600","","","False","","",""
"","A_f7d17aa7","","","False","","",""
"","A_1302b59b","","","False","","",""
"","S_5ef02730_2","","","False","","",""
"","S_f40621b6","","","False","","",""
"","A_4bef13e5","","","False","","",""
"","S_6d09c65c","","","False","","",""
"","A_9ea8ddc3","","","False","","",""
"","S_5ef02730_3","","","False","","",""
"","S_b08cfc3c_1","","","False","","",""
"","S_77e13597","","","False","","",""
"","A_79f9e321","","","False","","",""
"","A_5d8d8e05","","","False","","",""
"","S_5ef02730_4","","","False","","",""
"","S_b08cfc3c_2","","","False","","",""
"","S_35a99a5c","","","False","","",""
"","S_fc7449e5","","","False","","",""
"","S_5ef02730_5","","","False","","",""
"","A_0337d086","","","False","","",""
"","S_93ef58ba","","","False","","",""
"","A_6638cf10","","","False","","",""
"","S_5ef02730_6","","","False","","",""
"","A_53c7ff2e","","","False","","",""
"","S_5ef02730_7","","","False","","",""
"","S_b08cfc3c_3","","","False","","",""
"","S_3c94426a","","","False","","",""
"","A_d5bff81b","","","False","","",""
"","S_5ef02730_8","","","False","","",""
"","S_a3007646","","","False","","",""
"","narrator_dc382763_1","","","False","","",""
"","S_c5d40c99","","","False","","",""
"","A_97be699e","","","False","","",""
"","A_45f91c48","","","False","","",""
"","S_5ef02730_9","","","False","","",""
"","S_17583b37","","","False","","",""
"","A_c7b847c4","","","False","","",""
"","S_b35cbf3a_2","","","False","","",""
"","S_6ed874a9","","","False","","",""
"","S_5a95753a","","","False","","",""
"","A_cfdd0188","","","False","","",""
"","S_0fc4848c","","","False","","",""
"","A_a3bb1134","","","False","","",""
"","A_4cdac570","","","False","","",""
"","A_78b32541","","","False","","",""
"","A_63a5cc36","","","False","","",""
"","A_38ec2ea0","","","False","","",""
"","A_0c8f0380","","","False","","",""
"","A_46b15e41","","","False","","",""
"","A_311bb343","","","False","","",""
